frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.061,MIDDLE,0,,,,,,,,0
1,0.097,MIDDLE,0,,,,,,,,0
2,0.128,MIDDLE,0,,,,,,,,0
3,0.158,MIDDLE,0,,,,,,,,0
4,0.192,MIDDLE,0,,,,,,,,0
5,0.227,MIDDLE,0,,,,,,,,0
6,0.264,MIDDLE,0,,,,,,,,0
7,0.295,MIDDLE,0,,,,,,,,0
8,0.325,MIDDLE,0,,,,,,,,0
9,0.359,MIDDLE,0,,,,,,,,0
10,0.393,MIDDLE,0,,,,,,,,0
11,0.429,MIDDLE,0,,,,,,,,0
12,0.461,MIDDLE,0,,,,,,,,0
13,0.491,MIDDLE,0,,,,,,,,0
14,0.525,MIDDLE,0,,,,,,,,0
15,0.56,MIDDLE,0,,,,,,,,0
16,0.596,MIDDLE,0,,,,,,,,0
17,0.628,MIDDLE,0,,,,,,,,0
18,0.658,MIDDLE,0,,,,,,,,0
19,0.692,MIDDLE,0,,,,,,,,0
20,0.727,MIDDLE,0,,,,,,,,0
21,0.763,MIDDLE,0,,,,,,,,0
22,0.794,MIDDLE,0,,,,,,,,0
23,0.825,MIDDLE,0,,,,,,,,0
24,0.858,MIDDLE,0,,,,,,,,0
25,0.894,MIDDLE,0,,,,,,,,0
26,0.93,MIDDLE,0,,,,,,,,0
27,0.973,MIDDLE,0,,,,,,,,0
28,1.002,MIDDLE,1,1227.7,8,1154.6,89.5,1111.5,249,-0.4778,0
29,1.025,MIDDLE,1,1157.9,37.5,1119.0,100.1,1058.1,298.4,-0.3309,0
30,1.059,MIDDLE,1,1054.2,75.4,1041.6,122.5,1002.8,311.8,-0.2599,0
31,1.095,MIDDLE,1,984.7,104.6,978.6,150.3,967.3,307.4,-0.2985,0
32,1.128,MIDDLE,1,934.9,111,934.2,168.9,944.1,313.2,-0.3983,0
33,1.165,MIDDLE,1,883.4,105.2,899.6,183.4,921.7,312.3,-0.587,0
34,1.195,MIDDLE,1,846.1,100.2,874.6,189.6,904.8,315.5,-0.6729,0
35,1.223,MIDDLE,1,815.0,98.2,853.8,191.1,894.7,313.3,-0.6961,0
36,1.256,MIDDLE,1,794.6,97.2,836.1,192.1,881.1,312.9,-0.7088,0
37,1.291,MIDDLE,1,776.0,93,823.0,190.8,871.0,309,-0.7254,0
38,1.325,MIDDLE,1,764.5,89.2,812.5,188.1,862.6,307,-0.7149,0
39,1.361,MIDDLE,1,751.9,116.7,803.3,185.4,855.5,313.8,-0.4741,0
40,1.398,MIDDLE,1,734.4,192.4,801.2,186.7,855.5,323.1,0.0402,0
41,1.429,MIDDLE,1,731.5,246,800.8,186.8,855.0,323.3,0.4079,0
