frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.016,MIDDLE,0,,,,,,,,0
1,0.047,MIDDLE,0,,,,,,,,0
2,0.082,MIDDLE,0,,,,,,,,0
3,0.113,MIDDLE,0,,,,,,,,0
4,0.143,MIDDLE,0,,,,,,,,0
5,0.178,MIDDLE,0,,,,,,,,0
6,0.212,MIDDLE,0,,,,,,,,0
7,0.248,MIDDLE,0,,,,,,,,0
8,0.28,MIDDLE,0,,,,,,,,0
9,0.31,MIDDLE,0,,,,,,,,0
10,0.344,MIDDLE,0,,,,,,,,0
11,0.379,MIDDLE,0,,,,,,,,0
12,0.416,MIDDLE,0,,,,,,,,0
13,0.456,MIDDLE,0,,,,,,,,0
14,0.471,MIDDLE,0,,,,,,,,0
15,0.505,MIDDLE,0,,,,,,,,0
16,0.539,MIDDLE,0,,,,,,,,0
17,0.572,MIDDLE,0,,,,,,,,0
18,0.607,MIDDLE,0,,,,,,,,0
19,0.641,MIDDLE,0,,,,,,,,0
20,0.677,MIDDLE,0,,,,,,,,0
21,0.712,MIDDLE,0,,,,,,,,0
22,0.747,MIDDLE,0,,,,,,,,0
23,0.777,MIDDLE,0,,,,,,,,0
24,0.825,MIDDLE,1,1105.9,-238,1038.1,26.6,999.5,302.9,-0.9299,0
25,0.848,MIDDLE,1,1019.6,-63.8,999.5,49.1,914.6,309.6,-0.4752,0
26,0.884,MIDDLE,1,861.4,74,911.7,96.4,850.6,325.4,-0.1037,0
27,0.915,MIDDLE,1,789.7,138.4,845.7,151.1,832.8,335.5,-0.0724,0
28,0.943,MIDDLE,1,742.2,191.5,809.8,188.5,817.7,355.2,0.0182,0
29,0.976,MIDDLE,1,709.1,223.2,793.1,184.3,818.3,358.1,0.2086,0
30,1.012,MIDDLE,1,690.0,251.6,782.3,180,817.5,350.8,0.3899,0
31,1.045,MIDDLE,1,677.7,278.3,769.4,200.7,804.9,357.6,0.4856,0
32,1.081,MIDDLE,1,660.0,293.5,757.4,222.5,798.9,364.8,0.4801,0
33,1.119,MIDDLE,1,645.6,306,745.8,242.5,797.3,367.8,0.4657,0
34,1.149,MIDDLE,1,635.5,318.9,733.6,254.2,789.7,370.7,0.4937,0
35,1.176,MIDDLE,1,633.0,331.3,732.8,261.9,788.4,372.1,0.5406,0
36,1.21,MIDDLE,1,634.9,349.3,727.9,265.1,777.1,366,0.687,0
37,1.245,MIDDLE,1,638.6,365.1,729.3,269,790.6,371.3,0.7721,0
38,1.279,MIDDLE,1,640.2,377,732.4,270.7,800.7,375.2,0.841,0
39,1.319,MIDDLE,1,643.5,394.7,733.1,266.7,795.8,375.8,0.9764,0
40,1.354,MIDDLE,1,647.5,411.4,734.9,265.8,798.2,372.4,1.1438,0
41,1.384,MIDDLE,1,651.1,434.7,735.5,267.9,801.4,383.5,1.272,0
42,1.415,MIDDLE,1,652.8,443.6,737.1,272.8,810.0,387.1,1.304,0
