frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,MIDDLE,0,,,,,,,,0
1,0.059,MIDDLE,0,,,,,,,,0
2,0.094,MIDDLE,0,,,,,,,,0
3,0.128,MIDDLE,0,,,,,,,,0
4,0.165,MIDDLE,0,,,,,,,,0
5,0.196,MIDDLE,0,,,,,,,,0
6,0.227,MIDDLE,0,,,,,,,,0
7,0.26,MIDDLE,0,,,,,,,,0
8,0.295,MIDDLE,0,,,,,,,,0
9,0.332,MIDDLE,0,,,,,,,,0
10,0.363,MIDDLE,0,,,,,,,,0
11,0.393,MIDDLE,0,,,,,,,,0
12,0.427,MIDDLE,0,,,,,,,,0
13,0.461,MIDDLE,0,,,,,,,,0
14,0.498,MIDDLE,0,,,,,,,,0
15,0.529,MIDDLE,0,,,,,,,,0
16,0.56,MIDDLE,0,,,,,,,,0
17,0.594,MIDDLE,0,,,,,,,,0
18,0.628,MIDDLE,0,,,,,,,,0
19,0.665,MIDDLE,0,,,,,,,,0
20,0.697,MIDDLE,0,,,,,,,,0
21,0.727,MIDDLE,0,,,,,,,,0
22,0.761,MIDDLE,0,,,,,,,,0
23,0.811,MIDDLE,0,,,,,,,,0
24,0.831,MIDDLE,0,,,,,,,,0
25,0.862,MIDDLE,0,,,,,,,,0
26,0.893,MIDDLE,0,,,,,,,,0
27,0.927,MIDDLE,0,,,,,,,,0
28,0.978,MIDDLE,1,1019.4,344.9,1018.7,186.4,1015.4,302.6,1.1378,0
29,0.999,MIDDLE,1,1008.4,351.6,1007.2,198,987.6,334.7,1.1429,0
30,1.03,MIDDLE,1,985.7,363,989.2,216.9,974.1,343.4,1.107,0
31,1.056,MIDDLE,1,970.2,370,975.6,228.5,963.8,344.5,1.1491,0
32,1.089,MIDDLE,1,957.3,372.7,963.5,238,951.6,350.8,1.099,0
33,1.123,MIDDLE,1,948.8,377.6,955.2,245.8,956.1,349.9,1.1356,0
34,1.158,MIDDLE,1,940.6,381.8,946.7,246.5,945.4,353.4,1.0617,0
35,1.193,MIDDLE,1,933.6,389.3,940.5,248.4,940.5,363.1,1.0696,0
36,1.229,MIDDLE,1,928.6,398.2,934.2,247.1,936.8,359.7,1.1609,0
37,1.263,MIDDLE,1,921.8,407.5,932.5,246.9,938.2,362,1.2158,0
38,1.297,MIDDLE,1,915.0,419.1,929.3,246.2,937.0,364.2,1.2937,0
39,1.322,MIDDLE,1,911.3,429.5,926.6,246.5,933.3,363.7,1.3781,0
40,1.356,MIDDLE,1,908.9,445.6,922.7,248.2,935.7,372.3,1.4729,0
41,1.39,MIDDLE,1,909.3,456.5,920.2,252.3,938.3,381.3,1.5266,0
42,1.425,MIDDLE,1,908.5,462.1,918.5,257.1,943.3,384.5,1.5145,0
43,1.459,MIDDLE,1,906.2,465.8,915.8,260,939.6,382.5,1.5457,0
44,1.494,MIDDLE,1,902.5,467.8,914.4,263.8,942.9,383.9,1.5593,0
45,1.53,MIDDLE,1,898.1,468.9,911.3,268.6,937.9,388.1,1.5645,0
46,1.564,MIDDLE,1,890.5,469.1,905.4,273.8,925.0,387.3,1.5824,0
47,1.589,MIDDLE,1,880.5,469,898.0,278.6,916.4,388.3,1.6097,0
48,1.623,MIDDLE,1,862.0,468.3,885.9,284.9,910.6,397.8,1.5095,0
49,1.657,MIDDLE,1,836.9,468.2,872.0,292.5,899.2,404,1.436,0
50,1.691,MIDDLE,1,809.0,469.2,853.1,296.7,891.5,407.4,1.3987,0
51,1.727,MIDDLE,1,777.0,468,825.2,298.5,885.7,409.1,1.3402,0
52,1.761,MIDDLE,1,736.3,467.4,797.5,298.6,861.7,401.7,1.3557,0
53,1.798,MIDDLE,1,697.5,465.4,765.5,299.5,837.2,402.5,1.2995,0
54,1.83,MIDDLE,1,663.0,462.3,743.8,300.3,832.1,406,1.2328,0
55,1.858,MIDDLE,1,628.6,456.6,723.8,301,812.4,406.1,1.1512,0
56,1.891,MIDDLE,1,599.6,453.9,694.6,302.4,783.2,400.1,1.1944,0
57,1.927,MIDDLE,1,572.4,452.5,670.6,303.7,759.1,401.6,1.1853,0
58,1.96,MIDDLE,1,546.2,452,654.0,305.7,747.3,396.3,1.1888,0
59,1.995,MIDDLE,1,521.1,453.6,636.9,307.2,735.1,397.9,1.1766,0
60,2.033,MIDDLE,1,499.2,455,625.7,308.7,729.3,396.5,1.16,0
61,2.064,MIDDLE,1,479.4,455.6,614.5,308.7,719.8,396.6,1.0948,0
62,2.089,MIDDLE,1,463.9,456.1,604.7,309.4,713.2,394.7,1.0967,0
63,2.123,MIDDLE,1,448.8,456.2,596.1,308.7,707.5,390,1.1109,0
64,2.157,MIDDLE,1,436.4,456.2,587.0,308.6,699.9,385.3,1.0746,0
65,2.192,MIDDLE,1,425.1,454.5,580.6,307.9,698.9,381.6,1.0295,0
66,2.227,MIDDLE,1,416.8,454.6,576.6,307.8,700.4,380.4,0.9831,0
67,2.262,MIDDLE,1,407.8,455.8,572.2,306.8,699.0,377.5,0.9849,0
68,2.298,MIDDLE,1,399.4,458,568.9,306.7,700.7,375.1,0.9839,0
69,2.33,MIDDLE,1,390.6,461.7,565.8,307.4,700.3,373.5,0.9552,0
70,2.358,MIDDLE,1,381.2,463.2,562.5,308.3,698.2,368.9,0.9319,0
71,2.392,MIDDLE,1,367.3,464.5,555.3,311.2,696.0,361.9,0.903,0
72,2.426,MIDDLE,1,354.0,466.9,551.6,312.8,698.8,359.6,0.8712,0
73,2.461,MIDDLE,1,347.4,470.6,548.1,314.2,697.9,359.6,0.8372,0
74,2.496,MIDDLE,1,344.2,474.4,547.4,314.1,701.7,359,0.8424,0
75,2.532,MIDDLE,1,341.8,479.1,549.1,310.6,705.1,366.8,0.8823,0
76,2.564,MIDDLE,1,344.7,486.1,554.6,305.3,723.2,376.9,0.9755,0
77,2.591,MIDDLE,1,347.6,491.5,558.9,300.6,737.7,372.6,1.0522,0
78,2.625,MIDDLE,1,352.7,495.9,564.2,292.2,737.4,376.3,1.0907,0
79,2.659,MIDDLE,1,356.0,495.8,567.5,284.9,736.5,377.4,1.1316,0
80,2.694,MIDDLE,1,359.6,495.9,568.1,279,732.2,367.2,1.1863,0
81,2.729,MIDDLE,1,364.6,492.7,566.2,277.2,725.1,358.9,1.1272,0
82,2.766,MIDDLE,1,370.0,491,564.4,272.2,717.5,362.1,1.2048,0
