frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.025,MIDDLE,0,,,,,,,,0
1,0.058,MIDDLE,0,,,,,,,,0
2,0.095,MIDDLE,0,,,,,,,,0
3,0.126,MIDDLE,0,,,,,,,,0
4,0.156,MIDDLE,0,,,,,,,,0
5,0.19,MIDDLE,0,,,,,,,,0
6,0.225,MIDDLE,0,,,,,,,,0
7,0.262,MIDDLE,0,,,,,,,,0
8,0.293,MIDDLE,0,,,,,,,,0
9,0.323,MIDDLE,0,,,,,,,,0
10,0.357,MIDDLE,0,,,,,,,,0
11,0.393,MIDDLE,0,,,,,,,,0
12,0.425,MIDDLE,0,,,,,,,,0
13,0.457,MIDDLE,0,,,,,,,,0
14,0.49,MIDDLE,0,,,,,,,,0
15,0.525,MIDDLE,0,,,,,,,,0
16,0.57,MIDDLE,0,,,,,,,,0
17,0.59,MIDDLE,0,,,,,,,,0
18,0.624,MIDDLE,0,,,,,,,,0
19,0.66,MIDDLE,0,,,,,,,,0
20,0.695,MIDDLE,0,,,,,,,,0
21,0.726,MIDDLE,0,,,,,,,,0
22,0.767,MIDDLE,1,1168.9,-222.3,1132.9,18.5,1103.0,276.9,-0.8967,0
23,0.79,MIDDLE,1,1158.2,-190.5,1088.0,29.5,983.6,274.2,-0.9059,0
24,0.826,MIDDLE,1,1083.0,-89,1006.7,63.4,964.7,271.1,-0.7475,0
25,0.86,MIDDLE,1,956.7,-1.3,946.6,97.2,918.5,279.3,-0.522,0
26,0.895,MIDDLE,1,896.0,36.3,911.4,115.7,909.2,291.5,-0.428,0
27,0.931,MIDDLE,1,848.7,61.5,880.2,128.1,891.8,292.1,-0.3678,0
28,0.961,MIDDLE,1,816.7,83.1,858.4,139.5,877.8,294.1,-0.3324,0
29,0.989,MIDDLE,1,800.7,100.5,843.5,148.3,866.7,296.1,-0.2892,0
30,1.022,MIDDLE,1,785.8,119.5,833.9,155.9,862.0,296.1,-0.2296,0
31,1.057,MIDDLE,1,779.7,128.6,827.7,159.8,856.0,300.9,-0.199,0
32,1.091,MIDDLE,1,781.0,132.3,822.9,162.7,854.9,300.4,-0.1937,0
33,1.126,MIDDLE,1,780.7,133.3,819.3,164.9,854.4,299.8,-0.2029,0
34,1.164,MIDDLE,1,781.4,135.1,816.7,165.9,852.7,300.5,-0.1979,0
35,1.195,MIDDLE,1,781.2,136.8,815.2,167.2,850.7,301.7,-0.1979,0
36,1.222,MIDDLE,1,781.7,138.1,813.6,168.5,849.3,302.3,-0.1983,0
37,1.255,MIDDLE,1,781.4,139.5,812.1,170.3,850.8,304.5,-0.2028,0
38,1.29,MIDDLE,1,778.7,145.3,811.2,171.4,850.7,308,-0.1724,0
39,1.325,MIDDLE,1,778.6,150.9,812.2,175.5,850.0,306.6,-0.1672,0
40,1.36,MIDDLE,1,778.2,156.3,812.1,178.4,848.1,311.9,-0.1513,0
41,1.394,MIDDLE,1,775.6,161.7,811.1,183.4,849.9,316.1,-0.1486,0
42,1.422,MIDDLE,1,771.9,167.7,810.5,188.3,850.7,320.5,-0.1436,0
43,1.455,MIDDLE,1,766.8,184.6,809.4,195.2,854.6,327.8,-0.0754,0
44,1.491,MIDDLE,1,763.4,208.2,810.0,201.4,852.5,336.5,0.0479,0
45,1.524,MIDDLE,1,762.5,236.6,811.0,201.1,852.0,342.4,0.2318,0
46,1.56,MIDDLE,1,760.8,283.8,813.5,229,857.9,349,0.4472,0
47,1.594,MIDDLE,1,762.6,319.5,815.6,258,851.9,358.2,0.555,0
48,1.623,MIDDLE,1,766.0,337.7,818.7,259.2,859.1,349.7,0.7021,0
49,1.656,MIDDLE,1,769.8,344.9,824.3,254.5,859.6,348,0.757,0
50,1.69,MIDDLE,1,780.5,336.1,827.4,245.7,855.1,334.6,0.7718,0
51,1.724,MIDDLE,1,786.8,315.1,829.4,230.1,851.1,333.6,0.582,0
52,1.76,MIDDLE,1,788.4,286.9,833.5,218.9,862.6,317,0.5432,0
53,1.797,MIDDLE,1,795.8,225.6,833.2,202.3,860.1,307.1,0.172,0
54,1.828,MIDDLE,1,799.0,173.7,832.4,178.2,856.2,294.2,-0.0308,0
55,1.855,MIDDLE,1,797.4,135,830.9,155.2,855.3,281.3,-0.13,0
56,1.889,MIDDLE,1,797.3,110.7,829.4,137.3,852.2,275.4,-0.1674,0
57,1.924,MIDDLE,1,796.7,100.2,828.1,130.1,852.1,275.2,-0.1889,0
58,1.958,MIDDLE,1,794.2,106.1,826.5,132.9,852.3,281.8,-0.1719,0
59,1.994,MIDDLE,1,792.7,122.3,825.5,142.3,856.7,292,-0.1343,0
60,2.032,MIDDLE,1,794.2,142.2,825.9,154.1,858.3,305.1,-0.0862,0
61,2.063,MIDDLE,1,794.7,177.8,827.9,171.6,864.9,315.9,0.048,0
62,2.088,MIDDLE,1,796.7,224.1,831.8,184.6,864.4,323.3,0.3012,0
63,2.123,MIDDLE,1,803.6,262.7,837.1,191.3,864.1,323.8,0.5184,0
64,2.156,MIDDLE,1,811.9,283.2,843.4,204.7,866.8,324.2,0.6117,0
65,2.192,MIDDLE,1,820.1,279.5,849.3,204.4,872.5,319.3,0.5868,0
66,2.225,MIDDLE,1,826.1,265.1,853.5,208.9,870.5,318.2,0.4781,0
67,2.26,MIDDLE,1,837.1,248.5,857.6,208.4,871.5,305.4,0.3573,0
68,2.299,MIDDLE,1,847.6,217,862.2,199.9,881.4,294.7,0.1368,0
69,2.328,MIDDLE,1,856.8,179.2,866.2,188.5,880.3,286,-0.0685,0
70,2.356,MIDDLE,1,864.9,146.2,869.2,169.5,883.6,277,-0.161,0
71,2.389,MIDDLE,1,874.8,119.5,873.8,150.6,880.4,270.2,-0.212,0
72,2.424,MIDDLE,1,884.5,104.3,878.4,138.5,883.5,267.1,-0.2266,0
73,2.458,MIDDLE,1,894.9,101.3,883.5,135.3,888.2,271.3,-0.2248,0
74,2.494,MIDDLE,1,900.2,111.8,889.0,140.2,891.6,279.5,-0.1921,0
75,2.53,MIDDLE,1,908.5,129.9,894.3,150.3,902.1,286.6,-0.1545,0
76,2.561,MIDDLE,1,915.3,167.2,900.5,168.6,910.2,298.7,-0.0113,0
77,2.589,MIDDLE,1,922.5,217.8,907.1,196.4,920.4,304.5,0.2138,0
78,2.623,MIDDLE,1,929.7,267.7,916.7,221,932.8,312.1,0.468,0
79,2.658,MIDDLE,1,939.7,290.7,921.0,226.5,930.8,316.7,0.6059,0
80,2.692,MIDDLE,1,942.4,295.6,922.5,228.1,930.8,318.4,0.63,0
81,2.728,MIDDLE,1,942.3,286.9,922.9,226.8,929.1,306.2,0.5949,0
