frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.031,MIDDLE,0,,,,,,,,0
1,0.06,MIDDLE,0,,,,,,,,0
2,0.09,MIDDLE,0,,,,,,,,0
3,0.124,MIDDLE,0,,,,,,,,0
4,0.158,MIDDLE,0,,,,,,,,0
5,0.195,MIDDLE,0,,,,,,,,0
6,0.226,MIDDLE,0,,,,,,,,0
7,0.256,MIDDLE,0,,,,,,,,0
8,0.291,MIDDLE,0,,,,,,,,0
9,0.325,MIDDLE,0,,,,,,,,0
10,0.362,MIDDLE,0,,,,,,,,0
11,0.395,MIDDLE,0,,,,,,,,0
12,0.42,MIDDLE,0,,,,,,,,0
13,0.454,MIDDLE,0,,,,,,,,0
14,0.488,MIDDLE,0,,,,,,,,0
15,0.522,MIDDLE,0,,,,,,,,0
16,0.557,MIDDLE,0,,,,,,,,0
17,0.594,MIDDLE,0,,,,,,,,0
18,0.626,MIDDLE,0,,,,,,,,0
19,0.657,MIDDLE,0,,,,,,,,0
20,0.691,MIDDLE,0,,,,,,,,0
21,0.745,MIDDLE,1,1287.7,23.8,1142.5,131.5,1046.2,313.5,-0.5216,0
22,0.766,MIDDLE,1,1263.4,37.5,1109.1,138.1,993.2,338.1,-0.5013,0
23,0.795,MIDDLE,1,1168.1,79.9,1030.6,162.3,953.5,350.2,-0.4433,0
24,0.822,MIDDLE,1,1004.3,134.7,967.1,189.6,920.2,355.4,-0.3194,0
25,0.857,MIDDLE,1,941.4,181.9,917.1,217,894.6,363.7,-0.2277,0
26,0.891,MIDDLE,1,902.3,213.5,888.4,238.6,872.7,366.1,-0.1861,0
27,0.925,MIDDLE,1,867.0,232.6,863.5,253.2,856.5,369.1,-0.1627,0
28,0.96,MIDDLE,1,841.2,244.7,842.9,266.3,844.9,376.5,-0.1786,0
29,0.997,MIDDLE,1,819.1,256.9,826.3,274,833.1,380.2,-0.1468,0
30,1.028,MIDDLE,1,797.0,269.1,812.7,279.2,823.1,380.7,-0.0873,0
31,1.055,MIDDLE,1,785.1,275.2,802.4,284,814.1,385.2,-0.0747,0
32,1.09,MIDDLE,1,775.4,283.5,795.3,289.5,812.3,390.2,-0.0516,0
33,1.125,MIDDLE,1,767.9,292.8,788.9,293.6,810.6,391.9,-0.0072,0
34,1.159,MIDDLE,1,755.2,302.9,782.1,298.5,804.1,398.8,0.0382,0
35,1.194,MIDDLE,1,748.4,315.4,778.4,304.2,796.4,401.2,0.0993,0
36,1.232,MIDDLE,1,746.8,325.4,776.4,311.3,794.5,405.1,0.1302,0
37,1.262,MIDDLE,1,747.7,335,775.8,313.8,793.8,407.2,0.1937,0
38,1.289,MIDDLE,1,745.6,343.1,776.1,315.4,794.3,405.9,0.2602,0
39,1.323,MIDDLE,1,741.9,352.9,775.7,316.5,792.0,406.2,0.3455,0
