frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.061,MIDDLE,0,,,,,,,,0
1,0.097,MIDDLE,0,,,,,,,,0
2,0.128,MIDDLE,0,,,,,,,,0
3,0.158,MIDDLE,0,,,,,,,,0
4,0.192,MIDDLE,0,,,,,,,,0
5,0.227,MIDDLE,0,,,,,,,,0
6,0.264,MIDDLE,0,,,,,,,,0
7,0.295,MIDDLE,0,,,,,,,,0
8,0.325,MIDDLE,0,,,,,,,,0
9,0.359,MIDDLE,0,,,,,,,,0
10,0.393,MIDDLE,0,,,,,,,,0
11,0.429,MIDDLE,0,,,,,,,,0
12,0.461,MIDDLE,0,,,,,,,,0
13,0.491,MIDDLE,0,,,,,,,,0
14,0.525,MIDDLE,0,,,,,,,,0
15,0.56,MIDDLE,0,,,,,,,,0
16,0.596,MIDDLE,0,,,,,,,,0
17,0.628,MIDDLE,0,,,,,,,,0
18,0.658,MIDDLE,0,,,,,,,,0
19,0.692,MIDDLE,0,,,,,,,,0
20,0.727,MIDDLE,0,,,,,,,,0
21,0.763,MIDDLE,0,,,,,,,,0
22,0.794,MIDDLE,0,,,,,,,,0
23,0.825,MIDDLE,0,,,,,,,,0
24,0.858,MIDDLE,0,,,,,,,,0
25,0.894,MIDDLE,0,,,,,,,,0
26,0.93,MIDDLE,0,,,,,,,,0
27,0.973,MIDDLE,0,,,,,,,,0
28,1.002,MIDDLE,1,52.3,8,125.4,89.5,168.5,249,-0.4778,0
29,1.025,MIDDLE,1,122.1,37.5,161,100.1,221.9,298.4,-0.3309,0
30,1.059,MIDDLE,1,225.8,75.4,238.4,122.5,277.2,311.8,-0.2599,0
31,1.095,MIDDLE,1,295.3,104.6,301.4,150.3,312.7,307.4,-0.2985,0
32,1.128,MIDDLE,1,345.1,111,345.8,168.9,335.9,313.2,-0.3983,0
33,1.165,MIDDLE,1,396.6,105.2,380.4,183.4,358.3,312.3,-0.587,0
34,1.195,MIDDLE,1,433.9,100.2,405.4,189.6,375.2,315.5,-0.6729,0
35,1.223,MIDDLE,1,465,98.2,426.2,191.1,385.3,313.3,-0.6961,0
36,1.256,MIDDLE,1,485.4,97.2,443.9,192.1,398.9,312.9,-0.7088,0
37,1.291,MIDDLE,1,504,93,457,190.8,409,309,-0.7254,0
38,1.325,MIDDLE,1,515.5,89.2,467.5,188.1,417.4,307,-0.7149,0
39,1.361,MIDDLE,1,528.1,116.7,476.7,185.4,424.5,313.8,-0.4741,0
40,1.398,MIDDLE,1,545.6,192.4,478.8,186.7,424.5,323.1,0.0402,0
41,1.429,MIDDLE,1,548.5,246,479.2,186.8,425,323.3,0.4079,0
