frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.016,MIDDLE,0,,,,,,,,0
1,0.047,MIDDLE,0,,,,,,,,0
2,0.082,MIDDLE,0,,,,,,,,0
3,0.113,MIDDLE,0,,,,,,,,0
4,0.143,MIDDLE,0,,,,,,,,0
5,0.178,MIDDLE,0,,,,,,,,0
6,0.212,MIDDLE,0,,,,,,,,0
7,0.248,MIDDLE,0,,,,,,,,0
8,0.28,MIDDLE,0,,,,,,,,0
9,0.31,MIDDLE,0,,,,,,,,0
10,0.344,MIDDLE,0,,,,,,,,0
11,0.379,MIDDLE,0,,,,,,,,0
12,0.416,MIDDLE,0,,,,,,,,0
13,0.456,MIDDLE,0,,,,,,,,0
14,0.471,MIDDLE,0,,,,,,,,0
15,0.505,MIDDLE,0,,,,,,,,0
16,0.539,MIDDLE,0,,,,,,,,0
17,0.572,MIDDLE,0,,,,,,,,0
18,0.607,MIDDLE,0,,,,,,,,0
19,0.641,MIDDLE,0,,,,,,,,0
20,0.677,MIDDLE,0,,,,,,,,0
21,0.712,MIDDLE,0,,,,,,,,0
22,0.747,MIDDLE,0,,,,,,,,0
23,0.777,MIDDLE,0,,,,,,,,0
24,0.825,MIDDLE,1,174.1,-238,241.9,26.6,280.5,302.9,-0.9299,0
25,0.848,MIDDLE,1,260.4,-63.8,280.5,49.1,365.4,309.6,-0.4752,0
26,0.884,MIDDLE,1,418.6,74,368.3,96.4,429.4,325.4,-0.1037,0
27,0.915,MIDDLE,1,490.3,138.4,434.3,151.1,447.2,335.5,-0.0724,0
28,0.943,MIDDLE,1,537.8,191.5,470.2,188.5,462.3,355.2,0.0182,0
29,0.976,MIDDLE,1,570.9,223.2,486.9,184.3,461.7,358.1,0.2086,0
30,1.012,MIDDLE,1,590,251.6,497.7,180,462.5,350.8,0.3899,0
31,1.045,MIDDLE,1,602.3,278.3,510.6,200.7,475.1,357.6,0.4856,0
32,1.081,MIDDLE,1,620,293.5,522.6,222.5,481.1,364.8,0.4801,0
33,1.119,MIDDLE,1,634.4,306,534.2,242.5,482.7,367.8,0.4657,0
34,1.149,MIDDLE,1,644.5,318.9,546.4,254.2,490.3,370.7,0.4937,0
35,1.176,MIDDLE,1,647,331.3,547.2,261.9,491.6,372.1,0.5406,0
36,1.21,MIDDLE,1,645.1,349.3,552.1,265.1,502.9,366,0.687,0
37,1.245,MIDDLE,1,641.4,365.1,550.7,269,489.4,371.3,0.7721,0
38,1.279,MIDDLE,1,639.8,377,547.6,270.7,479.3,375.2,0.841,0
39,1.319,MIDDLE,1,636.5,394.7,546.9,266.7,484.2,375.8,0.9764,0
40,1.354,MIDDLE,1,632.5,411.4,545.1,265.8,481.8,372.4,1.1438,0
41,1.384,MIDDLE,1,628.9,434.7,544.5,267.9,478.6,383.5,1.272,0
42,1.415,MIDDLE,1,627.2,443.6,542.9,272.8,470,387.1,1.304,0
