frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,MIDDLE,0,,,,,,,,0
1,0.059,MIDDLE,0,,,,,,,,0
2,0.094,MIDDLE,0,,,,,,,,0
3,0.128,MIDDLE,0,,,,,,,,0
4,0.165,MIDDLE,0,,,,,,,,0
5,0.196,MIDDLE,0,,,,,,,,0
6,0.227,MIDDLE,0,,,,,,,,0
7,0.26,MIDDLE,0,,,,,,,,0
8,0.295,MIDDLE,0,,,,,,,,0
9,0.332,MIDDLE,0,,,,,,,,0
10,0.363,MIDDLE,0,,,,,,,,0
11,0.393,MIDDLE,0,,,,,,,,0
12,0.427,MIDDLE,0,,,,,,,,0
13,0.461,MIDDLE,0,,,,,,,,0
14,0.498,MIDDLE,0,,,,,,,,0
15,0.529,MIDDLE,0,,,,,,,,0
16,0.56,MIDDLE,0,,,,,,,,0
17,0.594,MIDDLE,0,,,,,,,,0
18,0.628,MIDDLE,0,,,,,,,,0
19,0.665,MIDDLE,0,,,,,,,,0
20,0.697,MIDDLE,0,,,,,,,,0
21,0.727,MIDDLE,0,,,,,,,,0
22,0.761,MIDDLE,0,,,,,,,,0
23,0.811,MIDDLE,0,,,,,,,,0
24,0.831,MIDDLE,0,,,,,,,,0
25,0.862,MIDDLE,0,,,,,,,,0
26,0.893,MIDDLE,0,,,,,,,,0
27,0.927,MIDDLE,0,,,,,,,,0
28,0.978,MIDDLE,1,260.6,344.9,261.3,186.4,264.6,302.6,1.1378,0
29,0.999,MIDDLE,1,271.6,351.6,272.8,198,292.4,334.7,1.1429,0
30,1.03,MIDDLE,1,294.3,363,290.8,216.9,305.9,343.4,1.107,0
31,1.056,MIDDLE,1,309.8,370,304.4,228.5,316.2,344.5,1.1491,0
32,1.089,MIDDLE,1,322.7,372.7,316.5,238,328.4,350.8,1.099,0
33,1.123,MIDDLE,1,331.2,377.6,324.8,245.8,323.9,349.9,1.1356,0
34,1.158,MIDDLE,1,339.4,381.8,333.3,246.5,334.6,353.4,1.0617,0
35,1.193,MIDDLE,1,346.4,389.3,339.5,248.4,339.5,363.1,1.0696,0
36,1.229,MIDDLE,1,351.4,398.2,345.8,247.1,343.2,359.7,1.1609,0
37,1.263,MIDDLE,1,358.2,407.5,347.5,246.9,341.8,362,1.2158,0
38,1.297,MIDDLE,1,365,419.1,350.7,246.2,343,364.2,1.2937,0
39,1.322,MIDDLE,1,368.7,429.5,353.4,246.5,346.7,363.7,1.3781,0
40,1.356,MIDDLE,1,371.1,445.6,357.3,248.2,344.3,372.3,1.4729,0
41,1.39,MIDDLE,1,370.7,456.5,359.8,252.3,341.7,381.3,1.5266,0
42,1.425,MIDDLE,1,371.5,462.1,361.5,257.1,336.7,384.5,1.5145,0
43,1.459,MIDDLE,1,373.8,465.8,364.2,260,340.4,382.5,1.5457,0
44,1.494,MIDDLE,1,377.5,467.8,365.6,263.8,337.1,383.9,1.5593,0
45,1.53,MIDDLE,1,381.9,468.9,368.7,268.6,342.1,388.1,1.5645,0
46,1.564,MIDDLE,1,389.5,469.1,374.6,273.8,355,387.3,1.5824,0
47,1.589,MIDDLE,1,399.5,469,382,278.6,363.6,388.3,1.6097,0
48,1.623,MIDDLE,1,418,468.3,394.1,284.9,369.4,397.8,1.5095,0
49,1.657,MIDDLE,1,443.1,468.2,408,292.5,380.8,404,1.436,0
50,1.691,MIDDLE,1,471,469.2,426.9,296.7,388.5,407.4,1.3987,0
51,1.727,MIDDLE,1,503,468,454.8,298.5,394.3,409.1,1.3402,0
52,1.761,MIDDLE,1,543.7,467.4,482.5,298.6,418.3,401.7,1.3557,0
53,1.798,MIDDLE,1,582.5,465.4,514.5,299.5,442.8,402.5,1.2995,0
54,1.83,MIDDLE,1,617,462.3,536.2,300.3,447.9,406,1.2328,0
55,1.858,MIDDLE,1,651.4,456.6,556.2,301,467.6,406.1,1.1512,0
56,1.891,MIDDLE,1,680.4,453.9,585.4,302.4,496.8,400.1,1.1944,0
57,1.927,MIDDLE,1,707.6,452.5,609.4,303.7,520.9,401.6,1.1853,0
58,1.96,MIDDLE,1,733.8,452,626,305.7,532.7,396.3,1.1888,0
59,1.995,MIDDLE,1,758.9,453.6,643.1,307.2,544.9,397.9,1.1766,0
60,2.033,MIDDLE,1,780.8,455,654.3,308.7,550.7,396.5,1.16,0
61,2.064,MIDDLE,1,800.6,455.6,665.5,308.7,560.2,396.6,1.0948,0
62,2.089,MIDDLE,1,816.1,456.1,675.3,309.4,566.8,394.7,1.0967,0
63,2.123,MIDDLE,1,831.2,456.2,683.9,308.7,572.5,390,1.1109,0
64,2.157,MIDDLE,1,843.6,456.2,693,308.6,580.1,385.3,1.0746,0
65,2.192,MIDDLE,1,854.9,454.5,699.4,307.9,581.1,381.6,1.0295,0
66,2.227,MIDDLE,1,863.2,454.6,703.4,307.8,579.6,380.4,0.9831,0
67,2.262,MIDDLE,1,872.2,455.8,707.8,306.8,581,377.5,0.9849,0
68,2.298,MIDDLE,1,880.6,458,711.1,306.7,579.3,375.1,0.9839,0
69,2.33,MIDDLE,1,889.4,461.7,714.2,307.4,579.7,373.5,0.9552,0
70,2.358,MIDDLE,1,898.8,463.2,717.5,308.3,581.8,368.9,0.9319,0
71,2.392,MIDDLE,1,912.7,464.5,724.7,311.2,584,361.9,0.903,0
72,2.426,MIDDLE,1,926,466.9,728.4,312.8,581.2,359.6,0.8712,0
73,2.461,MIDDLE,1,932.6,470.6,731.9,314.2,582.1,359.6,0.8372,0
74,2.496,MIDDLE,1,935.8,474.4,732.6,314.1,578.3,359,0.8424,0
75,2.532,MIDDLE,1,938.2,479.1,730.9,310.6,574.9,366.8,0.8823,0
76,2.564,MIDDLE,1,935.3,486.1,725.4,305.3,556.8,376.9,0.9755,0
77,2.591,MIDDLE,1,932.4,491.5,721.1,300.6,542.3,372.6,1.0522,0
78,2.625,MIDDLE,1,927.3,495.9,715.8,292.2,542.6,376.3,1.0907,0
79,2.659,MIDDLE,1,924,495.8,712.5,284.9,543.5,377.4,1.1316,0
80,2.694,MIDDLE,1,920.4,495.9,711.9,279,547.8,367.2,1.1863,0
81,2.729,MIDDLE,1,915.4,492.7,713.8,277.2,554.9,358.9,1.1272,0
82,2.766,MIDDLE,1,910,491,715.6,272.2,562.5,362.1,1.2048,0
83,2.797,MIDDLE,1,899.3,490,718.1,269.3,571.7,357.7,1.3716,0
