frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.025,MIDDLE,0,,,,,,,,0
1,0.058,MIDDLE,0,,,,,,,,0
2,0.095,MIDDLE,0,,,,,,,,0
3,0.126,MIDDLE,0,,,,,,,,0
4,0.156,MIDDLE,0,,,,,,,,0
5,0.19,MIDDLE,0,,,,,,,,0
6,0.225,MIDDLE,0,,,,,,,,0
7,0.262,MIDDLE,0,,,,,,,,0
8,0.293,MIDDLE,0,,,,,,,,0
9,0.323,MIDDLE,0,,,,,,,,0
10,0.357,MIDDLE,0,,,,,,,,0
11,0.393,MIDDLE,0,,,,,,,,0
12,0.425,MIDDLE,0,,,,,,,,0
13,0.457,MIDDLE,0,,,,,,,,0
14,0.49,MIDDLE,0,,,,,,,,0
15,0.525,MIDDLE,0,,,,,,,,0
16,0.57,MIDDLE,0,,,,,,,,0
17,0.59,MIDDLE,0,,,,,,,,0
18,0.624,MIDDLE,0,,,,,,,,0
19,0.66,MIDDLE,0,,,,,,,,0
20,0.695,MIDDLE,0,,,,,,,,0
21,0.726,MIDDLE,0,,,,,,,,0
22,0.767,MIDDLE,1,111.1,-222.3,147.1,18.5,177,276.9,-0.8967,0
23,0.79,MIDDLE,1,121.8,-190.5,192,29.5,296.4,274.2,-0.9059,0
24,0.826,MIDDLE,1,197,-89,273.3,63.4,315.3,271.1,-0.7475,0
25,0.86,MIDDLE,1,323.3,-1.3,333.4,97.2,361.5,279.3,-0.522,0
26,0.895,MIDDLE,1,384,36.3,368.6,115.7,370.8,291.5,-0.428,0
27,0.931,MIDDLE,1,431.3,61.5,399.8,128.1,388.2,292.1,-0.3678,0
28,0.961,MIDDLE,1,463.3,83.1,421.6,139.5,402.2,294.1,-0.3324,0
29,0.989,MIDDLE,1,479.3,100.5,436.5,148.3,413.3,296.1,-0.2892,0
30,1.022,MIDDLE,1,494.2,119.5,446.1,155.9,418,296.1,-0.2296,0
31,1.057,MIDDLE,1,500.3,128.6,452.3,159.8,424,300.9,-0.199,0
32,1.091,MIDDLE,1,499,132.3,457.1,162.7,425.1,300.4,-0.1937,0
33,1.126,MIDDLE,1,499.3,133.3,460.7,164.9,425.6,299.8,-0.2029,0
34,1.164,MIDDLE,1,498.6,135.1,463.3,165.9,427.3,300.5,-0.1979,0
35,1.195,MIDDLE,1,498.8,136.8,464.8,167.2,429.3,301.7,-0.1979,0
36,1.222,MIDDLE,1,498.3,138.1,466.4,168.5,430.7,302.3,-0.1983,0
37,1.255,MIDDLE,1,498.6,139.5,467.9,170.3,429.2,304.5,-0.2028,0
38,1.29,MIDDLE,1,501.3,145.3,468.8,171.4,429.3,308,-0.1724,0
39,1.325,MIDDLE,1,501.4,150.9,467.8,175.5,430,306.6,-0.1672,0
40,1.36,MIDDLE,1,501.8,156.3,467.9,178.4,431.9,311.9,-0.1513,0
41,1.394,MIDDLE,1,504.4,161.7,468.9,183.4,430.1,316.1,-0.1486,0
42,1.422,MIDDLE,1,508.1,167.7,469.5,188.3,429.3,320.5,-0.1436,0
43,1.455,MIDDLE,1,513.2,184.6,470.6,195.2,425.4,327.8,-0.0754,0
44,1.491,MIDDLE,1,516.6,208.2,470,201.4,427.5,336.5,0.0479,0
45,1.524,MIDDLE,1,517.5,236.6,469,201.1,428,342.4,0.2318,0
46,1.56,MIDDLE,1,519.2,283.8,466.5,229,422.1,349,0.4472,0
47,1.594,MIDDLE,1,517.4,319.5,464.4,258,428.1,358.2,0.555,0
48,1.623,MIDDLE,1,514,337.7,461.3,259.2,420.9,349.7,0.7021,0
49,1.656,MIDDLE,1,510.2,344.9,455.7,254.5,420.4,348,0.757,0
50,1.69,MIDDLE,1,499.5,336.1,452.6,245.7,424.9,334.6,0.7718,0
51,1.724,MIDDLE,1,493.2,315.1,450.6,230.1,428.9,333.6,0.582,0
52,1.76,MIDDLE,1,491.6,286.9,446.5,218.9,417.4,317,0.5432,0
53,1.797,MIDDLE,1,484.2,225.6,446.8,202.3,419.9,307.1,0.172,0
54,1.828,MIDDLE,1,481,173.7,447.6,178.2,423.8,294.2,-0.0308,0
55,1.855,MIDDLE,1,482.6,135,449.1,155.2,424.7,281.3,-0.13,0
56,1.889,MIDDLE,1,482.7,110.7,450.6,137.3,427.8,275.4,-0.1674,0
57,1.924,MIDDLE,1,483.3,100.2,451.9,130.1,427.9,275.2,-0.1889,0
58,1.958,MIDDLE,1,485.8,106.1,453.5,132.9,427.7,281.8,-0.1719,0
59,1.994,MIDDLE,1,487.3,122.3,454.5,142.3,423.3,292,-0.1343,0
60,2.032,MIDDLE,1,485.8,142.2,454.1,154.1,421.7,305.1,-0.0862,0
61,2.063,MIDDLE,1,485.3,177.8,452.1,171.6,415.1,315.9,0.048,0
62,2.088,MIDDLE,1,483.3,224.1,448.2,184.6,415.6,323.3,0.3012,0
63,2.123,MIDDLE,1,476.4,262.7,442.9,191.3,415.9,323.8,0.5184,0
64,2.156,MIDDLE,1,468.1,283.2,436.6,204.7,413.2,324.2,0.6117,0
65,2.192,MIDDLE,1,459.9,279.5,430.7,204.4,407.5,319.3,0.5868,0
66,2.225,MIDDLE,1,453.9,265.1,426.5,208.9,409.5,318.2,0.4781,0
67,2.26,MIDDLE,1,442.9,248.5,422.4,208.4,408.5,305.4,0.3573,0
68,2.299,MIDDLE,1,432.4,217,417.8,199.9,398.6,294.7,0.1368,0
69,2.328,MIDDLE,1,423.2,179.2,413.8,188.5,399.7,286,-0.0685,0
70,2.356,MIDDLE,1,415.1,146.2,410.8,169.5,396.4,277,-0.161,0
71,2.389,MIDDLE,1,405.2,119.5,406.2,150.6,399.6,270.2,-0.212,0
72,2.424,MIDDLE,1,395.5,104.3,401.6,138.5,396.5,267.1,-0.2266,0
73,2.458,MIDDLE,1,385.1,101.3,396.5,135.3,391.8,271.3,-0.2248,0
74,2.494,MIDDLE,1,379.8,111.8,391,140.2,388.4,279.5,-0.1921,0
75,2.53,MIDDLE,1,371.5,129.9,385.7,150.3,377.9,286.6,-0.1545,0
76,2.561,MIDDLE,1,364.7,167.2,379.5,168.6,369.8,298.7,-0.0113,0
77,2.589,MIDDLE,1,357.5,217.8,372.9,196.4,359.6,304.5,0.2138,0
78,2.623,MIDDLE,1,350.3,267.7,363.3,221,347.2,312.1,0.468,0
79,2.658,MIDDLE,1,340.3,290.7,359,226.5,349.2,316.7,0.6059,0
80,2.692,MIDDLE,1,337.6,295.6,357.5,228.1,349.2,318.4,0.63,0
81,2.728,MIDDLE,1,337.7,286.9,357.1,226.8,350.9,306.2,0.5949,0
82,2.766,MIDDLE,1,341.2,265.7,358.2,221.7,358,298.8,0.4223,0
