frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.031,MIDDLE,0,,,,,,,,0
1,0.06,MIDDLE,0,,,,,,,,0
2,0.09,MIDDLE,0,,,,,,,,0
3,0.124,MIDDLE,0,,,,,,,,0
4,0.158,MIDDLE,0,,,,,,,,0
5,0.195,MIDDLE,0,,,,,,,,0
6,0.226,MIDDLE,0,,,,,,,,0
7,0.256,MIDDLE,0,,,,,,,,0
8,0.291,MIDDLE,0,,,,,,,,0
9,0.325,MIDDLE,0,,,,,,,,0
10,0.362,MIDDLE,0,,,,,,,,0
11,0.395,MIDDLE,0,,,,,,,,0
12,0.42,MIDDLE,0,,,,,,,,0
13,0.454,MIDDLE,0,,,,,,,,0
14,0.488,MIDDLE,0,,,,,,,,0
15,0.522,MIDDLE,0,,,,,,,,0
16,0.557,MIDDLE,0,,,,,,,,0
17,0.594,MIDDLE,0,,,,,,,,0
18,0.626,MIDDLE,0,,,,,,,,0
19,0.657,MIDDLE,0,,,,,,,,0
20,0.691,MIDDLE,0,,,,,,,,0
21,0.745,MIDDLE,1,-7.7,23.8,137.5,131.5,233.8,313.5,-0.5216,0
22,0.766,MIDDLE,1,16.6,37.5,170.9,138.1,286.8,338.1,-0.5013,0
23,0.795,MIDDLE,1,111.9,79.9,249.4,162.3,326.5,350.2,-0.4433,0
24,0.822,MIDDLE,1,275.7,134.7,312.9,189.6,359.8,355.4,-0.3194,0
25,0.857,MIDDLE,1,338.6,181.9,362.9,217,385.4,363.7,-0.2277,0
26,0.891,MIDDLE,1,377.7,213.5,391.6,238.6,407.3,366.1,-0.1861,0
27,0.925,MIDDLE,1,413,232.6,416.5,253.2,423.5,369.1,-0.1627,0
28,0.96,MIDDLE,1,438.8,244.7,437.1,266.3,435.1,376.5,-0.1786,0
29,0.997,MIDDLE,1,460.9,256.9,453.7,274,446.9,380.2,-0.1468,0
30,1.028,MIDDLE,1,483,269.1,467.3,279.2,456.9,380.7,-0.0873,0
31,1.055,MIDDLE,1,494.9,275.2,477.6,284,465.9,385.2,-0.0747,0
32,1.09,MIDDLE,1,504.6,283.5,484.7,289.5,467.7,390.2,-0.0516,0
33,1.125,MIDDLE,1,512.1,292.8,491.1,293.6,469.4,391.9,-0.0072,0
34,1.159,MIDDLE,1,524.8,302.9,497.9,298.5,475.9,398.8,0.0382,0
35,1.194,MIDDLE,1,531.6,315.4,501.6,304.2,483.6,401.2,0.0993,0
36,1.232,MIDDLE,1,533.2,325.4,503.6,311.3,485.5,405.1,0.1302,0
37,1.262,MIDDLE,1,532.3,335,504.2,313.8,486.2,407.2,0.1937,0
38,1.289,MIDDLE,1,534.4,343.1,503.9,315.4,485.7,405.9,0.2602,0
39,1.323,MIDDLE,1,538.1,352.9,504.3,316.5,488,406.2,0.3455,0
40,1.358,MIDDLE,1,540,362.1,503.6,314.4,484.4,404.8,0.4397,0
