frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.026,PINKY,0,,,,,,,,0
1,0.055,PINKY,0,,,,,,,,0
2,0.088,PINKY,0,,,,,,,,0
3,0.122,PINKY,0,,,,,,,,0
4,0.158,PINKY,0,,,,,,,,0
5,0.19,PINKY,0,,,,,,,,0
6,0.22,PINKY,0,,,,,,,,0
7,0.254,PINKY,0,,,,,,,,0
8,0.289,PINKY,0,,,,,,,,0
9,0.326,PINKY,0,,,,,,,,0
10,0.356,PINKY,0,,,,,,,,0
11,0.387,PINKY,0,,,,,,,,0
12,0.421,PINKY,0,,,,,,,,0
13,0.456,PINKY,0,,,,,,,,0
14,0.493,PINKY,0,,,,,,,,0
15,0.523,PINKY,0,,,,,,,,0
16,0.565,PINKY,0,,,,,,,,0
17,0.588,PINKY,0,,,,,,,,0
18,0.636,PINKY,0,,,,,,,,0
19,0.673,PINKY,1,1238.8,265.1,1232.4,234.2,1073.4,342.9,0.1957,0
20,0.693,PINKY,1,1344.3,232.6,1215.9,235.5,988.1,337.3,-0.017,0
21,0.725,PINKY,1,1295.2,220.6,1150.4,237.4,952.7,329.6,-0.111,0
22,0.752,PINKY,1,1181.4,213.7,1067.9,242.4,892.9,338.9,-0.1977,0
23,0.786,PINKY,1,1089.8,199.2,998.8,243.5,855.6,340.3,-0.3144,0
24,0.82,PINKY,1,1008.7,190.4,948.2,243.1,835.5,344.7,-0.3784,0
25,0.854,PINKY,1,949.5,186.3,903.6,241.8,808.9,342.2,-0.4168,0
26,0.89,PINKY,1,930.7,167.4,870.6,239.4,788.9,333.1,-0.5527,0
27,0.926,PINKY,1,903.7,153.2,841.3,237.7,769.2,332.1,-0.6675,0
28,0.958,PINKY,1,881.1,144.6,822.8,235.7,758.0,319.2,-0.7785,0
29,0.986,PINKY,1,863.6,136,808.0,232.4,747.9,310.2,-0.8548,0
30,1.02,PINKY,1,844.9,129.8,794.5,227.8,736.5,305.8,-0.8592,0
31,1.054,PINKY,1,831.6,126.6,783.2,224,727.8,301.8,-0.8541,0
32,1.089,PINKY,1,820.6,125,774.2,219.7,718.4,297.8,-0.8311,0
33,1.125,PINKY,1,813.3,125,767.9,217.8,712.5,297.4,-0.8314,0
34,1.16,PINKY,1,810.2,126,765.5,217.4,707.9,299.4,-0.8306,0
35,1.192,PINKY,1,811.0,129,764.6,218.7,708.2,302.9,-0.8273,0
36,1.22,PINKY,1,812.3,132.6,764.7,220.8,708.4,305.1,-0.8358,0
37,1.253,PINKY,1,815.2,135.3,765.9,223.3,707.8,306.5,-0.8406,0
38,1.288,PINKY,1,818.0,138.6,766.9,226.4,708.8,308.8,-0.8193,0
39,1.323,PINKY,1,820.1,143.4,767.0,230.2,709.5,313.3,-0.8252,0
40,1.358,PINKY,1,821.9,148.6,767.2,233.5,710.3,314.6,-0.8049,0
41,1.393,PINKY,1,822.3,150.6,766.8,235.6,710.6,313.2,-0.8009,0
42,1.426,PINKY,1,820.9,150.9,765.4,236.6,709.7,311.8,-0.8116,0
43,1.453,PINKY,1,818.3,150.9,762.9,237.3,705.7,312.4,-0.84,0
44,1.487,PINKY,1,813.7,152,759.0,237.6,702.7,309.6,-0.8352,0
45,1.521,PINKY,1,806.3,154.9,753.9,238.3,697.8,309.9,-0.8432,0
46,1.556,PINKY,1,797.1,160.5,746.8,241.2,691.3,312.5,-0.8615,0
47,1.591,PINKY,1,787.8,168.4,738.7,245.5,684.5,316.4,-0.8326,0
48,1.627,PINKY,1,777.0,176.7,729.2,251.8,679.6,320.2,-0.8565,0
49,1.659,PINKY,1,765.3,182.9,721.4,256.5,671.8,323.5,-0.8373,0
50,1.687,PINKY,1,750.9,191.9,716.3,260.7,668.3,328.2,-0.7849,0
51,1.72,PINKY,1,738.1,211.7,708.4,272.2,662.5,342.8,-0.7214,0
52,1.755,PINKY,1,725.9,248.5,700.9,285.7,658.7,353.2,-0.457,0
53,1.79,PINKY,1,719.2,290,692.8,311.8,651.0,372.6,-0.2955,0
54,1.825,PINKY,1,715.1,319.5,692.7,331.1,661.9,386.5,-0.1518,0
55,1.86,PINKY,1,713.5,341.8,691.2,344.8,660.4,393.9,-0.0377,0
56,1.892,PINKY,1,709.0,346.4,690.5,351.6,662.6,396,-0.0616,0
57,1.92,PINKY,1,702.4,335,686.5,347.6,660.2,390.8,-0.1605,0
58,1.954,PINKY,1,690.2,320.1,679.9,337.5,651.1,380.3,-0.2207,0
59,1.988,PINKY,1,684.6,307.8,671.7,329.7,640.5,366.3,-0.2774,0
60,2.023,PINKY,1,677.6,276.5,665.1,315.2,633.2,347.1,-0.4854,0
61,2.058,PINKY,1,669.5,234.7,660.8,293.1,628.5,332.1,-0.7043,0
62,2.093,PINKY,1,662.0,204.1,656.3,271.8,626.4,316.9,-0.8005,0
63,2.126,PINKY,1,656.5,186.9,651.5,261.2,622.6,311.6,-0.9054,0
64,2.153,PINKY,1,651.0,180.5,647.0,257,620.4,312,-0.9396,0
65,2.187,PINKY,1,646.2,186.5,643.1,260,619.9,319.2,-0.9422,0
66,2.221,PINKY,1,644.3,200.5,642.4,265.3,619.3,329.9,-0.8,0
67,2.256,PINKY,1,641.2,212.7,639.8,272.7,616.2,339.4,-0.7844,0
68,2.292,PINKY,1,640.5,244.5,639.4,283.7,619.4,349,-0.5048,0
69,2.327,PINKY,1,639.0,268.8,641.0,293.9,623.9,355.1,-0.2977,0
70,2.359,PINKY,1,637.9,274.6,641.7,299.2,626.4,355.8,-0.2969,0
71,2.387,PINKY,1,637.9,272.5,642.1,299.2,625.5,348.9,-0.3474,0
72,2.421,PINKY,1,638.8,262.8,642.2,293.9,623.5,338.1,-0.3976,0
73,2.454,PINKY,1,639.1,246.4,642.8,282.9,624.0,326.1,-0.4568,0
74,2.489,PINKY,1,639.9,218.1,644.0,265.3,624.5,315.4,-0.5605,0
75,2.525,PINKY,1,639.4,191.6,645.6,248.7,624.1,304.8,-0.6701,0
76,2.561,PINKY,1,638.9,174.8,646.7,238.1,623.7,300.2,-0.7451,0
77,2.593,PINKY,1,638.0,168.4,647.4,232.8,623.4,298.6,-0.7566,0
78,2.62,PINKY,1,637.3,172.5,647.7,234.4,622.4,303.6,-0.7626,0
79,2.654,PINKY,1,637.3,184.2,647.4,241.3,622.4,312.5,-0.741,0
80,2.688,PINKY,1,640.3,202.5,647.3,249,623.0,321.3,-0.6282,0
81,2.723,PINKY,1,642.2,238.3,648.8,266.8,625.6,336.3,-0.396,0
82,2.758,PINKY,1,643.3,276,653.6,279.2,636.1,346.1,-0.0397,0
83,2.794,PINKY,1,644.0,297.5,660.3,287.1,646.6,348.2,0.1217,0
84,2.826,PINKY,1,645.5,294.6,664.1,286.4,644.6,347.2,0.0979,0
85,2.853,PINKY,1,648.1,283.6,667.0,283.9,643.9,341.3,-0.0046,0
86,2.887,PINKY,1,656.3,270.1,671.2,277.5,642.6,327.2,-0.0885,0
87,2.921,PINKY,1,664.5,245.7,673.7,266.5,645.1,315.4,-0.2486,0
88,2.956,PINKY,1,676.6,213.3,677.7,252.4,645.9,303.8,-0.4649,0
89,2.992,PINKY,1,687.4,192.2,683.0,242.4,648.3,300.2,-0.5831,0
90,3.028,PINKY,1,697.8,187.4,687.6,241.1,653.7,304.7,-0.6528,0
91,3.059,PINKY,1,705.9,196.4,692.7,244.6,658.4,307.8,-0.6304,0
92,3.087,PINKY,1,705.8,207.5,697.5,248.7,664.7,322.7,-0.5268,0
93,3.121,PINKY,1,714.8,241.9,704.1,261.2,671.8,337.2,-0.2594,0
94,3.156,PINKY,1,725.6,272.5,711.9,278.8,678.1,351.1,-0.0823,0
95,3.19,PINKY,1,735.8,281.3,716.6,289.4,679.5,353.9,-0.1057,0
96,3.225,PINKY,1,737.6,279,720.3,289.5,678.8,346.6,-0.1338,0
97,3.261,PINKY,1,738.5,266.5,722.9,281.7,680.5,334.3,-0.1806,0
98,3.293,PINKY,1,743.1,253.5,726.7,271.8,681.9,323.9,-0.1991,0
99,3.32,PINKY,1,757.7,222,730.9,259.2,687.7,312,-0.4164,0
100,3.354,PINKY,1,774.0,185.1,737.3,241.5,685.4,301.1,-0.6223,0
101,3.389,PINKY,1,786.2,161.9,745.4,227.7,685.3,293.4,-0.7021,0
102,3.423,PINKY,1,797.9,157.6,753.4,223,691.2,294.6,-0.7041,0
103,3.459,PINKY,1,809.7,165.4,761.8,224.9,698.5,294.5,-0.6734,0
104,3.494,PINKY,1,821.4,181.5,768.4,231.5,705.0,300.8,-0.5891,0
105,3.527,PINKY,1,823.1,200.4,771.7,238.2,705.4,313.4,-0.4531,0
106,3.554,PINKY,1,822.1,222,773.5,249.6,710.3,322.5,-0.3424,0
107,3.588,PINKY,1,823.5,234.7,774.0,257.6,711.4,325,-0.2753,0
108,3.622,PINKY,1,828.1,229.2,776.9,256.2,710.9,314.5,-0.3088,0
109,3.657,PINKY,1,836.8,217.8,778.4,250.5,712.9,299.4,-0.3811,0
110,3.692,PINKY,1,842.9,185.7,783.6,238.6,713.3,286,-0.591,0
111,3.727,PINKY,1,849.8,150.4,792.4,218.3,722.2,278.1,-0.682,0
112,3.76,PINKY,1,859.3,133.8,801.2,204.6,724.0,276.4,-0.6855,0
113,3.788,PINKY,1,870.1,132.7,810.2,201.3,730.6,277.4,-0.6847,0
114,3.821,PINKY,1,884.9,144.7,820.9,206.8,739.0,283.1,-0.6593,0
115,3.856,PINKY,1,901.6,157.1,830.0,215.4,750.1,295.3,-0.6486,0
116,3.89,PINKY,1,913.1,200.1,838.7,231.2,757.5,312.4,-0.3512,0
117,3.925,PINKY,1,917.9,237.7,845.0,254.7,765.1,322.3,-0.2005,0
118,3.961,PINKY,1,919.7,256.9,848.9,270.8,771.1,319.8,-0.1737,0
119,3.993,PINKY,1,927.3,252.2,853.5,270.3,764.9,318.6,-0.2054,0
120,4.021,PINKY,1,932.5,240.4,858.9,263,768.5,308.2,-0.2336,0
121,4.055,PINKY,1,939.1,229,860.6,255.8,764.4,297.3,-0.2813,0
122,4.089,PINKY,1,943.1,199.3,861.5,243.5,762.9,292.2,-0.46,0
123,4.123,PINKY,1,948.3,172.1,865.4,228.3,765.3,286.1,-0.5516,0
124,4.159,PINKY,1,953.5,158.8,870.0,219.7,769.2,285.4,-0.5995,0
125,4.194,PINKY,1,958.2,166.9,872.8,221.8,770.5,293.3,-0.5548,0
126,4.227,PINKY,1,961.8,179.4,875.3,228.7,776.2,302.7,-0.5313,0
127,4.254,PINKY,1,964.2,209.7,878.1,239.3,785.3,308.6,-0.3257,0
128,4.288,PINKY,1,965.8,250.9,882.5,259,798.0,317.9,-0.0982,0
129,4.322,PINKY,1,965.1,275.9,882.9,273.2,792.6,319.9,0.0311,0
130,4.357,PINKY,1,965.8,273.9,885.2,273.8,792.9,315.8,0.0016,0
131,4.392,PINKY,1,968.6,257.4,888.4,266.3,787.9,306.8,-0.092,0
132,4.428,PINKY,1,972.8,240.4,889.7,258.6,787.2,294.9,-0.1865,0
133,4.46,PINKY,1,977.5,205.9,889.4,242.5,782.9,284.4,-0.3719,0
134,4.487,PINKY,1,984.5,170,893.5,220.4,791.9,273.1,-0.4837,0
135,4.522,PINKY,1,993.7,140.6,900.1,200.1,795.0,265.7,-0.5517,0
136,4.556,PINKY,1,1004.2,125.8,907.4,189.7,799.2,261.8,-0.5825,0
137,4.591,PINKY,1,1013.7,126,914.0,189.2,805.9,267.6,-0.5834,0
138,4.626,PINKY,1,1020.9,143,920.1,196.2,813.7,275.6,-0.5091,0
139,4.661,PINKY,1,1026.0,156.6,927.5,205.4,822.6,283.6,-0.4864,0
140,4.694,PINKY,1,1036.3,190.2,938.0,216.5,832.3,290,-0.264,0
141,4.721,PINKY,1,1044.1,222.5,946.2,228.1,843.7,299.7,-0.0562,0
142,4.755,PINKY,1,1058.6,237.7,956.7,236.2,848.9,297.8,0.0142,0
143,4.789,PINKY,1,1071.2,229.6,965.2,237.1,849.9,294.5,-0.0713,0
144,4.824,PINKY,1,1080.3,215.3,966.1,232.7,849.8,287.6,-0.1703,0
145,4.86,PINKY,1,1086.2,194.8,969.0,225.5,854.5,277.7,-0.2797,0
146,4.895,PINKY,1,1088.2,160,970.6,211.2,851.9,271.6,-0.4526,0
147,4.927,PINKY,1,1090.5,127.5,971.2,195.2,849.8,262.7,-0.575,0
148,4.954,PINKY,1,1090.9,108.9,970.6,184.6,845.1,260.4,-0.6253,0
149,4.988,PINKY,1,1089.8,101,969.5,179.6,844.2,262.9,-0.6445,0
150,5.023,PINKY,1,1087.4,105.3,967.0,184.3,840.9,272.3,-0.661,0
151,5.057,PINKY,1,1084.3,119.1,964.2,192,837.6,282.6,-0.6337,0
152,5.093,PINKY,1,1081.1,129.3,960.7,202.3,834.8,291.8,-0.6464,0
153,5.128,PINKY,1,1075.9,158.2,955.4,217.9,832.2,299.2,-0.5531,0
154,5.161,PINKY,1,1065.3,189.3,947.8,230,826.0,298.6,-0.3936,0
155,5.189,PINKY,1,1048.1,212.1,939.5,235.1,822.6,299,-0.231,0
156,5.222,PINKY,1,1031.4,217.8,930.6,236.2,816.2,295.8,-0.1868,0
157,5.259,PINKY,1,1019.3,207.1,922.7,233.6,808.7,294,-0.2607,0
158,5.291,PINKY,1,1013.4,195.1,917.9,228.9,807.3,290.5,-0.3208,0
159,5.326,PINKY,1,1008.0,185,913.1,224.6,802.3,288,-0.3666,0
160,5.361,PINKY,1,1002.8,163.9,907.6,219.3,796.3,290.6,-0.504,0
161,5.394,PINKY,1,1001.3,157.1,902.8,216.9,791.7,292.7,-0.5459,0
162,5.421,PINKY,1,998.9,163.5,897.3,219.2,789.6,298.4,-0.5386,0
163,5.455,PINKY,1,991.0,186.5,891.2,226.2,787.3,301.8,-0.4085,0
164,5.49,PINKY,1,985.0,221.6,886.2,241.3,790.5,309.1,-0.2188,0
165,5.524,PINKY,1,986.9,237.3,884.1,253.8,791.5,311.8,-0.1807,0
166,5.56,PINKY,1,990.6,239,882.5,262.6,790.2,311.1,-0.2594,0
167,5.595,PINKY,1,993.6,226,885.3,264,793.3,310.1,-0.3977,0
168,5.627,PINKY,1,994.0,218.4,884.9,262,784.3,308,-0.434,0
169,5.655,PINKY,1,993.4,206.3,882.1,258.8,778.5,305.2,-0.5308,0
170,5.689,PINKY,1,989.0,194.4,877.7,254.8,771.9,300.6,-0.5942,0
171,5.723,PINKY,1,978.7,193.7,871.0,251.6,770.1,297.8,-0.5978,0
172,5.757,PINKY,1,958.1,200.2,859.8,249.8,764.2,298.7,-0.5311,0
173,5.793,PINKY,1,926.2,218.9,847.6,248.7,759.8,301.7,-0.3332,0
174,5.828,PINKY,1,905.3,245.4,841.1,248.9,757.3,306.4,-0.0394,0
175,5.861,PINKY,1,896.4,260.6,837.2,249.8,759.0,306.1,0.1255,0
176,5.888,PINKY,1,904.0,249.5,835.5,252.2,755.1,309.6,-0.0322,0
177,5.922,PINKY,1,910.9,240.1,835.3,253,754.6,306.9,-0.1455,0
178,5.956,PINKY,1,913.6,222.9,834.6,252.2,752.2,305.7,-0.3186,0
179,5.991,PINKY,1,912.7,201.1,832.3,250.3,750.5,304.1,-0.5304,0
180,6.027,PINKY,1,908.6,181.9,828.4,246.6,744.9,303.4,-0.685,0
181,6.062,PINKY,1,903.2,177.4,821.8,243.5,742.2,301,-0.725,0
182,6.094,PINKY,1,888.5,186,812.6,242.8,737.4,305.2,-0.6359,0
183,6.122,PINKY,1,864.5,195.5,803.9,244.7,735.0,306.7,-0.5793,0
184,6.156,PINKY,1,836.0,222.9,795.1,246.1,735.1,312.5,-0.279,0
185,6.19,PINKY,1,817.6,248.3,788.7,247.7,732.4,309.2,0.0068,0
186,6.225,PINKY,1,815.3,247,785.9,250.3,729.5,309.8,-0.0407,0
187,6.26,PINKY,1,816.4,237.7,783.2,251.1,724.5,309.4,-0.1588,0
188,6.296,PINKY,1,822.1,230.3,779.7,251,722.8,308.1,-0.2438,0
189,6.328,PINKY,1,824.7,220.9,777.0,249.8,719.7,306.8,-0.339,0
190,6.355,PINKY,1,823.5,213.8,772.9,249.3,718.4,307.1,-0.4231,0
191,6.389,PINKY,1,809.8,214.2,769.4,248.5,720.2,306.4,-0.4033,0
192,6.424,PINKY,1,779.3,231.3,763.8,249,716.3,307.3,-0.2194,0
193,6.458,PINKY,1,760.5,256.4,761.6,248.3,718.3,304.6,0.1034,0
194,6.493,PINKY,1,753.5,274.2,758.2,248,714.6,305.7,0.3314,0
195,6.529,PINKY,1,758.9,262.7,754.0,253.2,710.3,307.2,0.1302,0
196,6.561,PINKY,1,766.9,253.2,755.0,253.8,710.6,309.4,-0.0074,0
197,6.588,PINKY,1,771.8,237.8,754.2,253.1,708.4,310.7,-0.1783,0
198,6.622,PINKY,1,777.7,207.1,753.9,251.4,706.3,306,-0.5147,0
199,6.656,PINKY,1,785.3,186.6,752.8,247.8,704.6,304.9,-0.6834,0
200,6.691,PINKY,1,789.8,175.3,751.5,243.5,703.1,301.1,-0.7479,0
201,6.726,PINKY,1,792.0,175.9,749.0,242.5,701.0,304,-0.7419,0
202,6.762,PINKY,1,784.5,191.5,747.5,242.8,706.4,304.8,-0.6144,0
203,6.795,PINKY,1,769.4,211.9,742.1,246.9,703.5,304.8,-0.4853,0
204,6.822,PINKY,1,752.2,243.6,739.4,247.9,698.1,308,-0.054,0
205,6.856,PINKY,1,737.2,288,738.2,249.2,701.8,305.8,0.484,0
206,6.89,PINKY,1,731.8,295.5,737.1,253.2,701.5,309,0.5249,0
207,6.925,PINKY,1,739.4,275.9,735.5,257,697.8,314.1,0.2302,0
208,6.96,PINKY,1,746.5,261.9,734.6,256.2,696.0,309.7,0.072,0
209,6.995,PINKY,1,750.5,238.1,735.6,253.3,695.2,303.4,-0.1807,0
210,7.028,PINKY,1,761.1,204.4,736.7,251.4,695.7,303.1,-0.5605,0
211,7.055,PINKY,1,768.4,183.5,737.3,247.1,696.0,298.7,-0.7343,0
212,7.089,PINKY,1,775.5,162.4,738.1,240.8,695.4,296.6,-0.8751,0
213,7.124,PINKY,1,780.6,149.4,738.8,236,697.4,298,-0.9496,0
214,7.158,PINKY,1,785.6,149.5,740.0,234.7,698.4,300.9,-0.9237,0
