frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,PINKY,0,,,,,,,,0
1,0.06,PINKY,0,,,,,,,,0
2,0.093,PINKY,0,,,,,,,,0
3,0.13,PINKY,0,,,,,,,,0
4,0.161,PINKY,0,,,,,,,,0
5,0.192,PINKY,0,,,,,,,,0
6,0.226,PINKY,0,,,,,,,,0
7,0.262,PINKY,0,,,,,,,,0
8,0.294,PINKY,0,,,,,,,,0
9,0.325,PINKY,0,,,,,,,,0
10,0.359,PINKY,0,,,,,,,,0
11,0.394,PINKY,0,,,,,,,,0
12,0.43,PINKY,0,,,,,,,,0
13,0.461,PINKY,0,,,,,,,,0
14,0.492,PINKY,0,,,,,,,,0
15,0.526,PINKY,0,,,,,,,,0
16,0.561,PINKY,0,,,,,,,,0
17,0.597,PINKY,0,,,,,,,,0
18,0.628,PINKY,0,,,,,,,,0
19,0.659,PINKY,0,,,,,,,,0
20,0.693,PINKY,0,,,,,,,,0
21,0.728,PINKY,0,,,,,,,,0
22,0.762,PINKY,0,,,,,,,,0
23,0.803,PINKY,0,,,,,,,,0
24,0.839,PINKY,0,,,,,,,,0
25,0.86,PINKY,0,,,,,,,,0
26,0.912,PINKY,1,1416.9,172.5,1190.4,223.6,971.9,275.3,-0.3057,0
27,0.933,PINKY,1,1387.9,180.1,1154.9,226.4,923.5,292.3,-0.281,0
28,0.964,PINKY,1,1260.7,201,1075.9,232.9,898.6,302.5,-0.2285,0
29,0.991,PINKY,1,1131.8,218.1,1000.6,239,856.0,313.9,-0.1486,0
30,1.026,PINKY,1,1038.9,248.9,953.3,252.1,834.1,325.9,-0.0232,0
31,1.061,PINKY,1,965.8,305.7,928.2,278.2,838.8,337.9,0.2108,0
32,1.095,PINKY,1,884.1,341.2,917.1,290.2,864.1,352.5,0.4348,0
33,1.131,PINKY,1,833.0,389.2,866.3,304.6,841.9,342.9,0.6375,0
34,1.17,PINKY,1,799.7,413.7,833.2,306.5,821.2,340.1,0.8493,0
35,1.201,PINKY,1,782.3,421.4,815.4,309.7,813.7,337,0.844,0
36,1.234,PINKY,1,770.3,419.1,803.4,314.1,807.3,342.7,0.8,0
37,1.268,PINKY,1,761.9,415.1,793.9,320.3,800.8,341.6,0.6124,0
38,1.3,PINKY,1,761.9,408,786.9,320.3,791.7,341.2,0.5551,0
39,1.335,PINKY,1,760.9,402.9,782.8,319.5,781.6,347.2,0.576,0
40,1.367,PINKY,1,764.2,403.7,788.2,318.9,790.8,354.5,0.6612,0
41,1.401,PINKY,1,768.6,407,792.6,321,795.1,360.5,0.686,0
42,1.434,PINKY,1,767.7,420.9,790.6,323.1,790.5,357.2,0.8322,0
43,1.468,PINKY,1,765.6,442.3,790.0,328.7,794.5,358.7,1.035,0
44,1.5,PINKY,1,764.9,449.4,788.6,332.7,792.3,360.6,1.0077,0
45,1.534,PINKY,1,765.0,452.7,787.6,337.5,790.0,359.3,0.9403,0
46,1.568,PINKY,1,764.9,454.3,786.3,340.6,788.4,359.1,0.9113,0
47,1.601,PINKY,1,764.3,455,784.8,342.6,785.8,359.7,0.8506,0
48,1.634,PINKY,1,763.7,454.8,783.2,344.9,783.1,359.6,0.785,0
49,1.669,PINKY,1,763.2,453.7,780.6,346.4,779.4,359.3,0.7193,0
50,1.7,PINKY,1,762.4,452.6,776.9,345.2,773.7,354.5,0.6956,0
51,1.733,PINKY,1,762.2,452.5,773.5,344.4,772.7,351.3,0.7043,0
52,1.768,PINKY,1,761.9,452.8,771.8,342.7,776.2,344.3,0.6878,0
53,1.801,PINKY,1,761.8,452.5,770.7,343.4,774.4,345.6,0.655,0
54,1.835,PINKY,1,763.2,451,769.7,340.5,774.2,341,0.7094,0
55,1.867,PINKY,1,764.0,451.4,769.8,339.2,774.2,338.7,0.7342,0
56,1.902,PINKY,1,765.0,451.6,772.5,335.1,783.5,339.5,0.7201,0
57,1.935,PINKY,1,767.5,451.9,776.9,333.8,798.9,339.9,0.754,0
58,1.967,PINKY,1,771.0,453.5,785.7,332.8,810.0,347.1,0.7944,0
59,2.002,PINKY,1,772.9,454.6,794.8,334.4,812.4,348.4,0.7437,0
60,2.034,PINKY,1,772.9,456,801.6,337.8,817.7,352.3,0.7187,0
61,2.068,PINKY,1,772.6,457.8,805.0,342.8,818.1,351.6,0.7036,0
62,2.101,PINKY,1,774.0,459.7,805.8,349.4,816.7,353.2,0.6924,0
63,2.135,PINKY,1,775.1,459.9,804.5,354,813.5,354.6,0.6587,0
64,2.168,PINKY,1,774.6,459.5,801.5,358.1,807.2,352.9,0.626,0
65,2.201,PINKY,1,773.7,458,799.1,362.4,801.5,351.6,0.6016,0
66,2.234,PINKY,1,772.8,456.8,796.3,364.4,799.3,352.8,0.5832,0
67,2.269,PINKY,1,772.1,455.4,792.0,365,791.7,354.4,0.5791,0
68,2.3,PINKY,1,771.3,455,786.7,363.5,788.7,351.3,0.616,0
69,2.334,PINKY,1,769.4,454.3,780.1,362.1,782.9,348.4,0.6392,0
70,2.369,PINKY,1,768.4,454,770.5,360.3,767.9,347.5,0.6863,0
71,2.4,PINKY,1,767.1,453.4,763.3,358.2,763.4,344.5,0.6388,0
72,2.435,PINKY,1,765.6,452.8,753.4,356.7,750.2,339.6,0.5966,0
73,2.466,PINKY,1,763.7,453.2,745.9,356.2,750.6,334.2,0.6089,0
74,2.501,PINKY,1,763.3,454.2,740.2,355.3,748.2,330.6,0.6634,0
75,2.537,PINKY,1,761.3,454.7,735.6,354.7,745.4,328.5,0.6459,0
76,2.567,PINKY,1,757.3,454.9,730.4,353.6,739.9,325.9,0.6619,0
77,2.601,PINKY,1,749.4,454.6,724.5,351.6,733.8,322,0.6774,0
78,2.635,PINKY,1,738.5,454.4,716.4,347.9,729.9,319.5,0.7774,0
79,2.667,PINKY,1,708.8,453.8,706.6,342.9,727.6,311.3,0.882,0
80,2.701,PINKY,1,527.2,418,629.7,330.6,697.1,309.1,0.8835,0
81,2.736,PINKY,1,472.3,375.3,572.7,324.2,663.1,322.8,0.6897,0
82,2.767,PINKY,1,470.0,378.4,561.7,327.5,665.6,317.3,0.6222,0
83,2.801,PINKY,1,504.9,389.6,571.1,330.7,677.9,319.4,0.6692,0
84,2.837,PINKY,1,492.0,386,570.0,332.5,679.6,320.4,0.669,0
85,2.866,PINKY,1,529.2,394,594.9,332.2,708.0,321.1,0.7168,0
86,2.901,PINKY,1,533.9,395.6,593.2,333.9,700.5,319.7,0.7384,0
87,2.936,PINKY,0,,,,,,,,0
88,2.982,PINKY,1,762.7,452.4,786.7,355.4,802.4,349.8,0.7635,0
