frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.018,PINKY,0,,,,,,,,0
1,0.048,PINKY,0,,,,,,,,0
2,0.077,PINKY,0,,,,,,,,0
3,0.111,PINKY,0,,,,,,,,0
4,0.146,PINKY,0,,,,,,,,0
5,0.182,PINKY,0,,,,,,,,0
6,0.213,PINKY,0,,,,,,,,0
7,0.243,PINKY,0,,,,,,,,0
8,0.278,PINKY,0,,,,,,,,0
9,0.312,PINKY,0,,,,,,,,0
10,0.349,PINKY,0,,,,,,,,0
11,0.38,PINKY,0,,,,,,,,0
12,0.41,PINKY,0,,,,,,,,0
13,0.445,PINKY,0,,,,,,,,0
14,0.479,PINKY,0,,,,,,,,0
15,0.515,PINKY,0,,,,,,,,0
16,0.547,PINKY,0,,,,,,,,0
17,0.577,PINKY,0,,,,,,,,0
18,0.611,PINKY,0,,,,,,,,0
19,0.647,PINKY,0,,,,,,,,0
20,0.682,PINKY,0,,,,,,,,0
21,0.713,PINKY,0,,,,,,,,0
22,0.744,PINKY,0,,,,,,,,0
23,0.777,PINKY,0,,,,,,,,0
24,0.812,PINKY,0,,,,,,,,0
25,0.849,PINKY,0,,,,,,,,0
26,0.88,PINKY,0,,,,,,,,0
27,0.91,PINKY,0,,,,,,,,0
28,0.956,PINKY,1,1438.8,124.9,1296.6,206.4,1080.8,297.2,-0.4757,0
29,0.98,PINKY,1,1425.3,138.9,1266.7,214.4,1038.9,328.7,-0.4468,0
30,1.016,PINKY,1,1360.8,158.7,1191.0,230.9,1000.7,333.7,-0.4387,0
31,1.048,PINKY,1,1316.8,168.9,1123.5,241.2,951.0,326,-0.435,0
32,1.075,PINKY,1,1213.7,197,1058.3,257.7,913.2,339.2,-0.4083,0
33,1.109,PINKY,1,1104.8,240.1,997.9,279.5,876.3,354.1,-0.3085,0
34,1.143,PINKY,1,1028.1,268.2,959.5,279.6,861.1,370,-0.0832,0
35,1.177,PINKY,1,976.9,293.1,929.3,299.4,866.4,392.6,-0.0511,0
36,1.213,PINKY,1,943.8,319.5,904.9,324.4,853.6,402.5,-0.0381,0
37,1.25,PINKY,1,906.1,342.3,884.5,339.9,849.7,404.2,0.0207,0
38,1.281,PINKY,1,884.5,367.9,870.9,350.2,851.3,420.3,0.1394,0
39,1.308,PINKY,1,862.3,387.3,863.3,360.2,860.8,407,0.1692,0
40,1.342,PINKY,1,845.7,405.9,861.2,369.7,872.3,406.6,0.2196,0
41,1.377,PINKY,1,829.6,429.8,850.1,370,858.8,403.1,0.4068,0
42,1.411,PINKY,1,818.1,460.5,842.8,372.3,861.7,398.7,0.6284,0
43,1.446,PINKY,1,811.1,474.3,838.2,378.5,850.9,391.8,0.6449,0
44,1.483,PINKY,1,812.4,477.1,835.9,381.4,850.3,396.5,0.6552,0
45,1.516,PINKY,1,811.8,478.9,834.2,381.3,848.3,391.4,0.7347,0
46,1.542,PINKY,1,811.1,478.7,830.9,381.3,842.2,388.5,0.6944,0
47,1.576,PINKY,1,809.9,478,826.0,384.2,834.3,389.6,0.6177,0
48,1.61,PINKY,1,810.5,477.9,821.8,386.7,827.3,389,0.5923,0
49,1.644,PINKY,1,809.6,478.3,818.6,386.7,824.9,389,0.6535,0
50,1.681,PINKY,1,803.3,477.5,816.3,387.1,824.7,391.9,0.6285,0
51,1.717,PINKY,1,797.3,476.3,813.5,389.3,820.7,393,0.5803,0
52,1.748,PINKY,1,792.2,475.6,810.1,391.6,821.7,396.7,0.5688,0
53,1.775,PINKY,1,784.9,476.4,808.5,392,821.6,394.3,0.5877,0
54,1.809,PINKY,1,773.0,476.8,804.4,393.3,819.3,396.4,0.547,0
55,1.844,PINKY,1,762.4,478.6,798.7,392.2,816.0,400.1,0.6209,0
56,1.878,PINKY,1,750.9,479.1,792.6,390.7,814.0,395.9,0.6656,0
57,1.913,PINKY,1,740.1,480.3,784.1,392.2,810.3,400.7,0.5719,0
58,1.951,PINKY,1,733.3,479.8,775.3,393.8,802.3,400.6,0.5385,0
59,1.981,PINKY,1,725.1,479.6,768.5,394.3,797.8,400.4,0.5346,0
60,2.009,PINKY,1,716.2,480.1,763.4,393.4,795.9,401.3,0.5558,0
61,2.045,PINKY,1,704.0,479.7,758.8,391.3,794.1,401.3,0.6065,0
