frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,PINKY,0,,,,,,,,0
1,0.056,PINKY,0,,,,,,,,0
2,0.091,PINKY,0,,,,,,,,0
3,0.127,PINKY,0,,,,,,,,0
4,0.159,PINKY,0,,,,,,,,0
5,0.19,PINKY,0,,,,,,,,0
6,0.224,PINKY,0,,,,,,,,0
7,0.26,PINKY,0,,,,,,,,0
8,0.296,PINKY,0,,,,,,,,0
9,0.327,PINKY,0,,,,,,,,0
10,0.357,PINKY,0,,,,,,,,0
11,0.391,PINKY,0,,,,,,,,0
12,0.426,PINKY,0,,,,,,,,0
13,0.462,PINKY,0,,,,,,,,0
14,0.493,PINKY,0,,,,,,,,0
15,0.524,PINKY,0,,,,,,,,0
16,0.558,PINKY,0,,,,,,,,0
17,0.593,PINKY,0,,,,,,,,0
18,0.629,PINKY,0,,,,,,,,0
19,0.66,PINKY,0,,,,,,,,0
20,0.69,PINKY,0,,,,,,,,0
21,0.724,PINKY,0,,,,,,,,0
22,0.759,PINKY,0,,,,,,,,0
23,0.795,PINKY,0,,,,,,,,0
24,0.827,PINKY,0,,,,,,,,0
25,0.857,PINKY,0,,,,,,,,0
26,0.902,PINKY,0,,,,,,,,0
27,0.939,PINKY,0,,,,,,,,0
28,0.961,PINKY,0,,,,,,,,0
29,1.006,PINKY,1,1451.8,136.3,1301.8,218.1,1099.4,305.3,-0.5153,0
30,1.026,PINKY,1,1436.8,155.2,1266.8,228.5,1020.0,326.2,-0.4732,0
31,1.06,PINKY,1,1377.2,177.7,1188.6,242.6,983.2,328.1,-0.4264,0
32,1.094,PINKY,1,1314.5,184.7,1116.9,253.4,948.4,331,-0.502,0
33,1.13,PINKY,1,1210.5,189.4,1049.3,264.6,895.1,330.7,-0.5894,0
34,1.161,PINKY,1,1134.1,195.4,997.0,274.6,872.5,345.2,-0.6876,0
35,1.189,PINKY,1,1071.0,202.3,959.9,282.2,852.4,344.5,-0.7447,0
36,1.223,PINKY,1,1025.6,207.4,930.1,285,840.1,349.3,-0.731,0
37,1.257,PINKY,1,989.6,213.7,908.7,286.9,831.5,345,-0.69,0
38,1.291,PINKY,1,955.0,218.9,893.1,284.9,829.8,342.8,-0.6153,0
39,1.327,PINKY,1,925.4,220.7,880.2,279,823.5,341.8,-0.5285,0
40,1.364,PINKY,1,901.9,221.5,867.2,274,814.3,335,-0.4888,0
41,1.395,PINKY,1,887.0,220.9,851.8,271.9,801.1,330.5,-0.5054,0
42,1.422,PINKY,1,870.2,220.8,840.2,268.9,791.5,327.3,-0.4873,0
43,1.456,PINKY,1,858.4,217.9,827.6,265.8,782.7,324.6,-0.4995,0
44,1.491,PINKY,1,844.4,214.8,820.7,260.4,778.3,319.9,-0.47,0
45,1.524,PINKY,1,835.0,211.1,813.5,254.1,770.3,317.3,-0.4294,0
46,1.56,PINKY,1,826.4,206.6,806.9,249.4,765.3,312.2,-0.4391,0
47,1.597,PINKY,1,816.6,206,803.2,242.6,762.4,313.3,-0.3494,0
48,1.628,PINKY,1,809.9,205.8,799.3,238.8,761.2,311.9,-0.3204,0
49,1.656,PINKY,1,804.4,205.9,795.4,236.9,755.1,308.3,-0.3093,0
50,1.689,PINKY,1,800.5,205.9,791.5,235.2,753.0,309,-0.2937,0
51,1.725,PINKY,1,798.6,205.1,788.1,234.8,747.0,307.3,-0.3004,0
52,1.758,PINKY,1,796.0,203.9,785.4,233.2,745.1,306.5,-0.2916,0
53,1.793,PINKY,1,793.3,202.7,783.0,232.1,744.5,304.3,-0.3,0
54,1.832,PINKY,1,789.6,199.9,780.1,231.5,741.4,303.1,-0.3249,0
55,1.862,PINKY,1,789.3,193.7,777.4,230.9,741.3,296.8,-0.3963,0
56,1.889,PINKY,1,788.2,183.8,774.2,229.9,736.6,290.2,-0.5224,0
57,1.923,PINKY,1,784.6,172.5,771.3,227.8,735.1,286.1,-0.6198,0
58,1.957,PINKY,1,780.6,166.8,769.1,226,733.8,286.2,-0.658,0
59,1.991,PINKY,1,775.6,168.7,766.9,225.3,732.1,290.8,-0.62,0
60,2.027,PINKY,1,769.4,177.2,765.6,226.8,729.6,301.6,-0.5201,0
61,2.064,PINKY,1,766.4,196,762.1,233.7,729.7,312.8,-0.4228,0
62,2.096,PINKY,1,765.9,226.1,759.1,249.8,727.4,324.5,-0.2873,0
63,2.123,PINKY,1,765.7,251.9,759.8,266.5,734.2,335.2,-0.172,0
64,2.156,PINKY,1,766.5,272.8,761.5,280.3,737.1,345.8,-0.0858,0
65,2.191,PINKY,1,769.9,285,763.0,286.2,742.6,347.2,-0.0145,0
66,2.225,PINKY,1,770.5,289.3,764.2,286.3,745.4,348.9,0.0329,0
67,2.261,PINKY,1,768.4,282.8,764.3,284.8,742.5,344.8,-0.0216,0
68,2.298,PINKY,1,765.6,273.7,762.2,281.8,738.8,334.9,-0.0934,0
69,2.329,PINKY,1,764.1,266.2,760.0,277.5,736.2,324.4,-0.1313,0
70,2.356,PINKY,1,763.3,254.9,758.0,272.1,729.0,315.4,-0.1984,0
71,2.389,PINKY,1,761.4,234.6,758.3,255.5,726.8,305.3,-0.2249,0
72,2.425,PINKY,1,759.3,210.4,758.7,239.2,731.8,295.5,-0.306,0
73,2.459,PINKY,1,758.1,189.1,758.7,229.3,730.2,285.9,-0.4317,0
74,2.495,PINKY,1,757.9,172.8,758.3,223.3,729.1,282.9,-0.5504,0
75,2.532,PINKY,1,758.4,161.6,758.0,220.2,728.7,279.5,-0.6356,0
76,2.563,PINKY,1,758.7,158.4,757.6,218.4,727.9,278.2,-0.6593,0
77,2.59,PINKY,1,759.0,161.7,757.2,218.7,726.7,280.2,-0.6365,0
78,2.623,PINKY,1,758.2,170.8,758.0,219.7,729.2,288,-0.5445,0
79,2.658,PINKY,1,756.9,179.6,757.8,224.8,728.8,298.2,-0.5135,0
80,2.691,PINKY,1,756.9,204,756.6,235.2,730.4,309.9,-0.3711,0
81,2.728,PINKY,1,755.0,235,755.7,250.7,729.4,319.4,-0.1825,0
82,2.764,PINKY,1,754.1,259.6,755.4,264.5,733.5,329.6,-0.0572,0
83,2.795,PINKY,1,753.7,277.6,756.4,277.4,739.7,338.4,0.0018,0
84,2.823,PINKY,1,753.5,289.5,757.7,283.2,745.7,338.3,0.0723,0
85,2.857,PINKY,1,752.7,293.6,758.9,282.3,745.1,337.9,0.1254,0
86,2.892,PINKY,1,752.6,289.4,758.9,281.2,741.3,334.2,0.0932,0
87,2.925,PINKY,1,752.6,280.1,758.8,278,738.2,326.2,0.0235,0
88,2.961,PINKY,1,751.9,270.8,758.6,273.9,733.5,317.5,-0.0364,0
89,2.998,PINKY,1,753.1,251.1,758.9,265.4,734.5,309.1,-0.162,0
90,3.029,PINKY,1,753.6,227.5,759.8,251,735.8,295.4,-0.2678,0
91,3.056,PINKY,1,753.8,201.9,760.1,237.4,732.6,284.8,-0.4109,0
92,3.089,PINKY,1,753.7,177.7,759.5,224,728.7,279.4,-0.5211,0
93,3.125,PINKY,1,753.3,161.8,758.8,214.9,727.3,275.4,-0.5907,0
94,3.158,PINKY,1,752.5,158,758.0,208.6,729.3,270.5,-0.5618,0
95,3.194,PINKY,1,749.0,161,756.8,205.3,728.4,267.8,-0.5009,0
96,3.232,PINKY,1,743.0,172.5,756.0,204.6,731.1,266.7,-0.356,0
97,3.263,PINKY,1,732.2,181.5,754.7,204.7,731.5,271.4,-0.258,0
98,3.289,PINKY,1,723.7,201.2,753.9,205.3,728.9,275.9,-0.0434,0
99,3.323,PINKY,1,715.3,228.3,754.0,206.9,727.8,278.9,0.226,0
100,3.358,PINKY,1,710.5,248.4,754.7,208.6,729.1,282.8,0.4234,0
101,3.392,PINKY,1,708.6,258.2,755.3,210.5,731.3,285,0.5048,0
102,3.427,PINKY,1,709.9,260.3,755.9,212.5,734.1,285.7,0.5007,0
