frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.027,PINKY,0,,,,,,,,0
1,0.06,PINKY,0,,,,,,,,0
2,0.095,PINKY,0,,,,,,,,0
3,0.126,PINKY,0,,,,,,,,0
4,0.157,PINKY,0,,,,,,,,0
5,0.191,PINKY,0,,,,,,,,0
6,0.226,PINKY,0,,,,,,,,0
7,0.262,PINKY,0,,,,,,,,0
8,0.293,PINKY,0,,,,,,,,0
9,0.324,PINKY,0,,,,,,,,0
10,0.358,PINKY,0,,,,,,,,0
11,0.393,PINKY,0,,,,,,,,0
12,0.43,PINKY,0,,,,,,,,0
13,0.461,PINKY,0,,,,,,,,0
14,0.492,PINKY,0,,,,,,,,0
15,0.526,PINKY,0,,,,,,,,0
16,0.575,PINKY,0,,,,,,,,0
17,0.595,PINKY,0,,,,,,,,0
18,0.627,PINKY,0,,,,,,,,0
19,0.658,PINKY,0,,,,,,,,0
20,0.692,PINKY,0,,,,,,,,0
21,0.726,PINKY,0,,,,,,,,0
22,0.763,PINKY,0,,,,,,,,0
23,0.794,PINKY,0,,,,,,,,0
24,0.825,PINKY,0,,,,,,,,0
25,0.872,PINKY,0,,,,,,,,0
26,0.907,PINKY,1,1332.4,58.6,1122.5,132,942.2,223.1,-0.44,0
27,0.93,PINKY,1,1307.6,70.7,1102.0,134.9,888.2,234.5,-0.3968,0
28,0.966,PINKY,1,1221.0,87.3,1041.2,142.2,850.4,241.3,-0.3634,0
29,0.995,PINKY,1,1146.8,98.3,987.7,151,812.6,254.6,-0.3671,0
30,1.021,PINKY,1,1083.5,108,937.6,157.8,783.5,250.8,-0.3639,0
31,1.055,PINKY,1,1013.7,117.3,884.2,167.3,747.2,262.9,-0.379,0
32,1.089,PINKY,1,953.0,131.4,838.9,178.2,715.6,268.3,-0.3718,0
33,1.124,PINKY,1,905.7,143,801.8,186.9,692.0,270.7,-0.3471,0
34,1.158,PINKY,1,856.6,152.8,768.7,196.4,672.2,276.4,-0.3626,0
35,1.192,PINKY,1,816.0,166.5,742.5,207.4,653.9,285.9,-0.3525,0
36,1.229,PINKY,1,780.3,181.8,722.4,216.5,637.1,292.4,-0.3035,0
37,1.262,PINKY,1,752.5,195.2,704.4,228.5,632.4,303.1,-0.307,0
38,1.288,PINKY,1,732.6,208.5,691.4,239.7,625.1,310.7,-0.3141,0
39,1.321,PINKY,1,710.8,221,683.4,251.4,625.7,316.2,-0.3232,0
40,1.355,PINKY,1,703.7,233.5,676.8,262.1,624.3,321.9,-0.3011,0
41,1.39,PINKY,1,698.0,247.8,670.5,271.9,623.3,326.3,-0.2605,0
42,1.424,PINKY,1,698.6,263,664.7,277.8,616.9,331,-0.1628,0
43,1.46,PINKY,1,693.5,272.3,661.7,286.8,616.4,336.6,-0.1565,0
44,1.495,PINKY,1,687.2,281.3,661.2,293,616.0,342.2,-0.128,0
45,1.529,PINKY,1,681.0,284.3,657.2,299.1,615.5,345.6,-0.168,0
46,1.555,PINKY,1,671.7,296.4,655.6,301.2,617.5,347.6,-0.0547,0
47,1.588,PINKY,1,672.6,303.7,654.3,303.9,613.7,348.7,-0.002,0
48,1.623,PINKY,1,669.8,308.7,653.2,307.8,614.0,353.9,0.0102,0
49,1.657,PINKY,1,670.0,315.3,652.6,312.1,613.7,354.7,0.0353,0
50,1.692,PINKY,1,669.1,322.6,651.2,316.7,608.8,359.9,0.0709,0
51,1.726,PINKY,1,671.2,329.6,649.8,321.2,609.1,359.5,0.1032,0
52,1.763,PINKY,1,673.2,341.6,645.9,326.3,602.0,368.7,0.1794,0
53,1.796,PINKY,1,641.6,334.3,640.6,324.8,623.8,374,0.116,0
54,1.821,PINKY,1,649.4,387.5,643.3,331.1,618.0,368.8,0.6984,1
55,1.855,PINKY,1,654.9,432.8,648.1,334.6,620.4,364.6,1.1678,0
56,1.889,PINKY,1,655.5,446.5,652.5,337.5,625.4,360.4,1.3623,0
57,1.924,PINKY,1,656.9,450.1,654.6,340.5,627.4,362.7,1.3291,0
58,1.958,PINKY,1,657.2,450,656.2,342,635.5,362.4,1.2387,0
59,1.993,PINKY,1,658.7,434.7,656.4,344.7,633.6,369.7,1.0347,0
60,2.029,PINKY,1,660.2,422.1,654.0,346.3,618.4,371.7,0.823,0
61,2.063,PINKY,1,661.3,410.4,653.0,348.6,618.3,370.4,0.6825,0
62,2.09,PINKY,1,661.6,397.9,652.5,348.7,624.7,367.9,0.4839,0
63,2.124,PINKY,1,660.2,384.3,653.0,347.2,639.4,370.7,0.2891,0
64,2.16,PINKY,1,661.5,376.6,652.4,346.6,635.1,375.8,0.2384,0
65,2.194,PINKY,1,662.2,375.8,652.5,348.7,631.9,378.8,0.248,0
66,2.229,PINKY,1,664.5,374.3,651.8,350.4,623.5,376.3,0.2317,0
67,2.266,PINKY,1,666.2,375.4,651.5,352.2,625.0,379,0.2128,0
68,2.297,PINKY,1,664.2,378.7,650.2,357.7,626.0,386.9,0.2241,0
69,2.321,PINKY,1,662.4,391.9,650.5,361.4,616.3,387.1,0.3513,1
70,2.355,PINKY,1,655.6,424.8,653.7,359.1,633.9,376.6,0.7637,0
71,2.389,PINKY,1,650.4,444.8,655.2,358,639.2,375.3,0.9784,0
72,2.424,PINKY,1,646.9,451.2,656.7,358,644.5,379.2,1.0279,0
73,2.458,PINKY,1,646.6,453.8,657.9,357.1,647.6,375.3,1.0093,0
74,2.493,PINKY,1,645.2,454.3,658.7,359,653.8,374.9,1.0681,0
75,2.53,PINKY,1,643.9,448.1,659.3,358.3,654.0,377.9,0.8074,0
76,2.566,PINKY,1,644.8,439.4,658.1,357.7,650.3,390.4,0.7155,0
77,2.597,PINKY,1,647.1,418.8,656.7,358.6,633.4,386.7,0.4736,0
78,2.624,PINKY,1,650.7,402.4,656.5,357.9,639.1,388,0.3781,0
79,2.658,PINKY,1,653.6,391.5,655.7,357.2,636.2,385.7,0.2763,0
80,2.692,PINKY,1,656.7,384.4,654.7,356,639.3,381.9,0.2076,0
81,2.727,PINKY,1,658.1,373.7,651.0,353.8,627.4,383.9,0.1561,0
82,2.762,PINKY,1,658.4,370.5,649.1,355,631.3,384.4,0.1236,0
