frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.026,PINKY,0,,,,,,,,0
1,0.055,PINKY,0,,,,,,,,0
2,0.088,PINKY,0,,,,,,,,0
3,0.122,PINKY,0,,,,,,,,0
4,0.158,PINKY,0,,,,,,,,0
5,0.19,PINKY,0,,,,,,,,0
6,0.22,PINKY,0,,,,,,,,0
7,0.254,PINKY,0,,,,,,,,0
8,0.289,PINKY,0,,,,,,,,0
9,0.326,PINKY,0,,,,,,,,0
10,0.356,PINKY,0,,,,,,,,0
11,0.387,PINKY,0,,,,,,,,0
12,0.421,PINKY,0,,,,,,,,0
13,0.456,PINKY,0,,,,,,,,0
14,0.493,PINKY,0,,,,,,,,0
15,0.523,PINKY,0,,,,,,,,0
16,0.565,PINKY,0,,,,,,,,0
17,0.588,PINKY,0,,,,,,,,0
18,0.636,PINKY,0,,,,,,,,0
19,0.673,PINKY,1,41.2,265.1,47.6,234.2,206.6,342.9,0.1957,0
20,0.693,PINKY,1,-64.3,232.6,64.1,235.5,291.9,337.3,-0.017,0
21,0.725,PINKY,1,-15.2,220.6,129.6,237.4,327.3,329.6,-0.111,0
22,0.752,PINKY,1,98.6,213.7,212.1,242.4,387.1,338.9,-0.1977,0
23,0.786,PINKY,1,190.2,199.2,281.2,243.5,424.4,340.3,-0.3144,0
24,0.82,PINKY,1,271.3,190.4,331.8,243.1,444.5,344.7,-0.3784,0
25,0.854,PINKY,1,330.5,186.3,376.4,241.8,471.1,342.2,-0.4168,0
26,0.89,PINKY,1,349.3,167.4,409.4,239.4,491.1,333.1,-0.5527,0
27,0.926,PINKY,1,376.3,153.2,438.7,237.7,510.8,332.1,-0.6675,0
28,0.958,PINKY,1,398.9,144.6,457.2,235.7,522,319.2,-0.7785,0
29,0.986,PINKY,1,416.4,136,472,232.4,532.1,310.2,-0.8548,0
30,1.02,PINKY,1,435.1,129.8,485.5,227.8,543.5,305.8,-0.8592,0
31,1.054,PINKY,1,448.4,126.6,496.8,224,552.2,301.8,-0.8541,0
32,1.089,PINKY,1,459.4,125,505.8,219.7,561.6,297.8,-0.8311,0
33,1.125,PINKY,1,466.7,125,512.1,217.8,567.5,297.4,-0.8314,0
34,1.16,PINKY,1,469.8,126,514.5,217.4,572.1,299.4,-0.8306,0
35,1.192,PINKY,1,469,129,515.4,218.7,571.8,302.9,-0.8273,0
36,1.22,PINKY,1,467.7,132.6,515.3,220.8,571.6,305.1,-0.8358,0
37,1.253,PINKY,1,464.8,135.3,514.1,223.3,572.2,306.5,-0.8406,0
38,1.288,PINKY,1,462,138.6,513.1,226.4,571.2,308.8,-0.8193,0
39,1.323,PINKY,1,459.9,143.4,513,230.2,570.5,313.3,-0.8252,0
40,1.358,PINKY,1,458.1,148.6,512.8,233.5,569.7,314.6,-0.8049,0
41,1.393,PINKY,1,457.7,150.6,513.2,235.6,569.4,313.2,-0.8009,0
42,1.426,PINKY,1,459.1,150.9,514.6,236.6,570.3,311.8,-0.8116,0
43,1.453,PINKY,1,461.7,150.9,517.1,237.3,574.3,312.4,-0.84,0
44,1.487,PINKY,1,466.3,152,521,237.6,577.3,309.6,-0.8352,0
45,1.521,PINKY,1,473.7,154.9,526.1,238.3,582.2,309.9,-0.8432,0
46,1.556,PINKY,1,482.9,160.5,533.2,241.2,588.7,312.5,-0.8615,0
47,1.591,PINKY,1,492.2,168.4,541.3,245.5,595.5,316.4,-0.8326,0
48,1.627,PINKY,1,503,176.7,550.8,251.8,600.4,320.2,-0.8565,0
49,1.659,PINKY,1,514.7,182.9,558.6,256.5,608.2,323.5,-0.8373,0
50,1.687,PINKY,1,529.1,191.9,563.7,260.7,611.7,328.2,-0.7849,0
51,1.72,PINKY,1,541.9,211.7,571.6,272.2,617.5,342.8,-0.7214,0
52,1.755,PINKY,1,554.1,248.5,579.1,285.7,621.3,353.2,-0.457,0
53,1.79,PINKY,1,560.8,290,587.2,311.8,629,372.6,-0.2955,0
54,1.825,PINKY,1,564.9,319.5,587.3,331.1,618.1,386.5,-0.1518,0
55,1.86,PINKY,1,566.5,341.8,588.8,344.8,619.6,393.9,-0.0377,0
56,1.892,PINKY,1,571,346.4,589.5,351.6,617.4,396,-0.0616,0
57,1.92,PINKY,1,577.6,335,593.5,347.6,619.8,390.8,-0.1605,0
58,1.954,PINKY,1,589.8,320.1,600.1,337.5,628.9,380.3,-0.2207,0
59,1.988,PINKY,1,595.4,307.8,608.3,329.7,639.5,366.3,-0.2774,0
60,2.023,PINKY,1,602.4,276.5,614.9,315.2,646.8,347.1,-0.4854,0
61,2.058,PINKY,1,610.5,234.7,619.2,293.1,651.5,332.1,-0.7043,0
62,2.093,PINKY,1,618,204.1,623.7,271.8,653.6,316.9,-0.8005,0
63,2.126,PINKY,1,623.5,186.9,628.5,261.2,657.4,311.6,-0.9054,0
64,2.153,PINKY,1,629,180.5,633,257,659.6,312,-0.9396,0
65,2.187,PINKY,1,633.8,186.5,636.9,260,660.1,319.2,-0.9422,0
66,2.221,PINKY,1,635.7,200.5,637.6,265.3,660.7,329.9,-0.8,0
67,2.256,PINKY,1,638.8,212.7,640.2,272.7,663.8,339.4,-0.7844,0
68,2.292,PINKY,1,639.5,244.5,640.6,283.7,660.6,349,-0.5048,0
69,2.327,PINKY,1,641,268.8,639,293.9,656.1,355.1,-0.2977,0
70,2.359,PINKY,1,642.1,274.6,638.3,299.2,653.6,355.8,-0.2969,0
71,2.387,PINKY,1,642.1,272.5,637.9,299.2,654.5,348.9,-0.3474,0
72,2.421,PINKY,1,641.2,262.8,637.8,293.9,656.5,338.1,-0.3976,0
73,2.454,PINKY,1,640.9,246.4,637.2,282.9,656,326.1,-0.4568,0
74,2.489,PINKY,1,640.1,218.1,636,265.3,655.5,315.4,-0.5605,0
75,2.525,PINKY,1,640.6,191.6,634.4,248.7,655.9,304.8,-0.6701,0
76,2.561,PINKY,1,641.1,174.8,633.3,238.1,656.3,300.2,-0.7451,0
77,2.593,PINKY,1,642,168.4,632.6,232.8,656.6,298.6,-0.7566,0
78,2.62,PINKY,1,642.7,172.5,632.3,234.4,657.6,303.6,-0.7626,0
79,2.654,PINKY,1,642.7,184.2,632.6,241.3,657.6,312.5,-0.741,0
80,2.688,PINKY,1,639.7,202.5,632.7,249,657,321.3,-0.6282,0
81,2.723,PINKY,1,637.8,238.3,631.2,266.8,654.4,336.3,-0.396,0
82,2.758,PINKY,1,636.7,276,626.4,279.2,643.9,346.1,-0.0397,0
83,2.794,PINKY,1,636,297.5,619.7,287.1,633.4,348.2,0.1217,0
84,2.826,PINKY,1,634.5,294.6,615.9,286.4,635.4,347.2,0.0979,0
85,2.853,PINKY,1,631.9,283.6,613,283.9,636.1,341.3,-0.0046,0
86,2.887,PINKY,1,623.7,270.1,608.8,277.5,637.4,327.2,-0.0885,0
87,2.921,PINKY,1,615.5,245.7,606.3,266.5,634.9,315.4,-0.2486,0
88,2.956,PINKY,1,603.4,213.3,602.3,252.4,634.1,303.8,-0.4649,0
89,2.992,PINKY,1,592.6,192.2,597,242.4,631.7,300.2,-0.5831,0
90,3.028,PINKY,1,582.2,187.4,592.4,241.1,626.3,304.7,-0.6528,0
91,3.059,PINKY,1,574.1,196.4,587.3,244.6,621.6,307.8,-0.6304,0
92,3.087,PINKY,1,574.2,207.5,582.5,248.7,615.3,322.7,-0.5268,0
93,3.121,PINKY,1,565.2,241.9,575.9,261.2,608.2,337.2,-0.2594,0
94,3.156,PINKY,1,554.4,272.5,568.1,278.8,601.9,351.1,-0.0823,0
95,3.19,PINKY,1,544.2,281.3,563.4,289.4,600.5,353.9,-0.1057,0
96,3.225,PINKY,1,542.4,279,559.7,289.5,601.2,346.6,-0.1338,0
97,3.261,PINKY,1,541.5,266.5,557.1,281.7,599.5,334.3,-0.1806,0
98,3.293,PINKY,1,536.9,253.5,553.3,271.8,598.1,323.9,-0.1991,0
99,3.32,PINKY,1,522.3,222,549.1,259.2,592.3,312,-0.4164,0
100,3.354,PINKY,1,506,185.1,542.7,241.5,594.6,301.1,-0.6223,0
101,3.389,PINKY,1,493.8,161.9,534.6,227.7,594.7,293.4,-0.7021,0
102,3.423,PINKY,1,482.1,157.6,526.6,223,588.8,294.6,-0.7041,0
103,3.459,PINKY,1,470.3,165.4,518.2,224.9,581.5,294.5,-0.6734,0
104,3.494,PINKY,1,458.6,181.5,511.6,231.5,575,300.8,-0.5891,0
105,3.527,PINKY,1,456.9,200.4,508.3,238.2,574.6,313.4,-0.4531,0
106,3.554,PINKY,1,457.9,222,506.5,249.6,569.7,322.5,-0.3424,0
107,3.588,PINKY,1,456.5,234.7,506,257.6,568.6,325,-0.2753,0
108,3.622,PINKY,1,451.9,229.2,503.1,256.2,569.1,314.5,-0.3088,0
109,3.657,PINKY,1,443.2,217.8,501.6,250.5,567.1,299.4,-0.3811,0
110,3.692,PINKY,1,437.1,185.7,496.4,238.6,566.7,286,-0.591,0
111,3.727,PINKY,1,430.2,150.4,487.6,218.3,557.8,278.1,-0.682,0
112,3.76,PINKY,1,420.7,133.8,478.8,204.6,556,276.4,-0.6855,0
113,3.788,PINKY,1,409.9,132.7,469.8,201.3,549.4,277.4,-0.6847,0
114,3.821,PINKY,1,395.1,144.7,459.1,206.8,541,283.1,-0.6593,0
115,3.856,PINKY,1,378.4,157.1,450,215.4,529.9,295.3,-0.6486,0
116,3.89,PINKY,1,366.9,200.1,441.3,231.2,522.5,312.4,-0.3512,0
117,3.925,PINKY,1,362.1,237.7,435,254.7,514.9,322.3,-0.2005,0
118,3.961,PINKY,1,360.3,256.9,431.1,270.8,508.9,319.8,-0.1737,0
119,3.993,PINKY,1,352.7,252.2,426.5,270.3,515.1,318.6,-0.2054,0
120,4.021,PINKY,1,347.5,240.4,421.1,263,511.5,308.2,-0.2336,0
121,4.055,PINKY,1,340.9,229,419.4,255.8,515.6,297.3,-0.2813,0
122,4.089,PINKY,1,336.9,199.3,418.5,243.5,517.1,292.2,-0.46,0
123,4.123,PINKY,1,331.7,172.1,414.6,228.3,514.7,286.1,-0.5516,0
124,4.159,PINKY,1,326.5,158.8,410,219.7,510.8,285.4,-0.5995,0
125,4.194,PINKY,1,321.8,166.9,407.2,221.8,509.5,293.3,-0.5548,0
126,4.227,PINKY,1,318.2,179.4,404.7,228.7,503.8,302.7,-0.5313,0
127,4.254,PINKY,1,315.8,209.7,401.9,239.3,494.7,308.6,-0.3257,0
128,4.288,PINKY,1,314.2,250.9,397.5,259,482,317.9,-0.0982,0
129,4.322,PINKY,1,314.9,275.9,397.1,273.2,487.4,319.9,0.0311,0
130,4.357,PINKY,1,314.2,273.9,394.8,273.8,487.1,315.8,0.0016,0
131,4.392,PINKY,1,311.4,257.4,391.6,266.3,492.1,306.8,-0.092,0
132,4.428,PINKY,1,307.2,240.4,390.3,258.6,492.8,294.9,-0.1865,0
133,4.46,PINKY,1,302.5,205.9,390.6,242.5,497.1,284.4,-0.3719,0
134,4.487,PINKY,1,295.5,170,386.5,220.4,488.1,273.1,-0.4837,0
135,4.522,PINKY,1,286.3,140.6,379.9,200.1,485,265.7,-0.5517,0
136,4.556,PINKY,1,275.8,125.8,372.6,189.7,480.8,261.8,-0.5825,0
137,4.591,PINKY,1,266.3,126,366,189.2,474.1,267.6,-0.5834,0
138,4.626,PINKY,1,259.1,143,359.9,196.2,466.3,275.6,-0.5091,0
139,4.661,PINKY,1,254,156.6,352.5,205.4,457.4,283.6,-0.4864,0
140,4.694,PINKY,1,243.7,190.2,342,216.5,447.7,290,-0.264,0
141,4.721,PINKY,1,235.9,222.5,333.8,228.1,436.3,299.7,-0.0562,0
142,4.755,PINKY,1,221.4,237.7,323.3,236.2,431.1,297.8,0.0142,0
143,4.789,PINKY,1,208.8,229.6,314.8,237.1,430.1,294.5,-0.0713,0
144,4.824,PINKY,1,199.7,215.3,313.9,232.7,430.2,287.6,-0.1703,0
145,4.86,PINKY,1,193.8,194.8,311,225.5,425.5,277.7,-0.2797,0
146,4.895,PINKY,1,191.8,160,309.4,211.2,428.1,271.6,-0.4526,0
147,4.927,PINKY,1,189.5,127.5,308.8,195.2,430.2,262.7,-0.575,0
148,4.954,PINKY,1,189.1,108.9,309.4,184.6,434.9,260.4,-0.6253,0
149,4.988,PINKY,1,190.2,101,310.5,179.6,435.8,262.9,-0.6445,0
150,5.023,PINKY,1,192.6,105.3,313,184.3,439.1,272.3,-0.661,0
151,5.057,PINKY,1,195.7,119.1,315.8,192,442.4,282.6,-0.6337,0
152,5.093,PINKY,1,198.9,129.3,319.3,202.3,445.2,291.8,-0.6464,0
153,5.128,PINKY,1,204.1,158.2,324.6,217.9,447.8,299.2,-0.5531,0
154,5.161,PINKY,1,214.7,189.3,332.2,230,454,298.6,-0.3936,0
155,5.189,PINKY,1,231.9,212.1,340.5,235.1,457.4,299,-0.231,0
156,5.222,PINKY,1,248.6,217.8,349.4,236.2,463.8,295.8,-0.1868,0
157,5.259,PINKY,1,260.7,207.1,357.3,233.6,471.3,294,-0.2607,0
158,5.291,PINKY,1,266.6,195.1,362.1,228.9,472.7,290.5,-0.3208,0
159,5.326,PINKY,1,272,185,366.9,224.6,477.7,288,-0.3666,0
160,5.361,PINKY,1,277.2,163.9,372.4,219.3,483.7,290.6,-0.504,0
161,5.394,PINKY,1,278.7,157.1,377.2,216.9,488.3,292.7,-0.5459,0
162,5.421,PINKY,1,281.1,163.5,382.7,219.2,490.4,298.4,-0.5386,0
163,5.455,PINKY,1,289,186.5,388.8,226.2,492.7,301.8,-0.4085,0
164,5.49,PINKY,1,295,221.6,393.8,241.3,489.5,309.1,-0.2188,0
165,5.524,PINKY,1,293.1,237.3,395.9,253.8,488.5,311.8,-0.1807,0
166,5.56,PINKY,1,289.4,239,397.5,262.6,489.8,311.1,-0.2594,0
167,5.595,PINKY,1,286.4,226,394.7,264,486.7,310.1,-0.3977,0
168,5.627,PINKY,1,286,218.4,395.1,262,495.7,308,-0.434,0
169,5.655,PINKY,1,286.6,206.3,397.9,258.8,501.5,305.2,-0.5308,0
170,5.689,PINKY,1,291,194.4,402.3,254.8,508.1,300.6,-0.5942,0
171,5.723,PINKY,1,301.3,193.7,409,251.6,509.9,297.8,-0.5978,0
172,5.757,PINKY,1,321.9,200.2,420.2,249.8,515.8,298.7,-0.5311,0
173,5.793,PINKY,1,353.8,218.9,432.4,248.7,520.2,301.7,-0.3332,0
174,5.828,PINKY,1,374.7,245.4,438.9,248.9,522.7,306.4,-0.0394,0
175,5.861,PINKY,1,383.6,260.6,442.8,249.8,521,306.1,0.1255,0
176,5.888,PINKY,1,376,249.5,444.5,252.2,524.9,309.6,-0.0322,0
177,5.922,PINKY,1,369.1,240.1,444.7,253,525.4,306.9,-0.1455,0
178,5.956,PINKY,1,366.4,222.9,445.4,252.2,527.8,305.7,-0.3186,0
179,5.991,PINKY,1,367.3,201.1,447.7,250.3,529.5,304.1,-0.5304,0
180,6.027,PINKY,1,371.4,181.9,451.6,246.6,535.1,303.4,-0.685,0
181,6.062,PINKY,1,376.8,177.4,458.2,243.5,537.8,301,-0.725,0
182,6.094,PINKY,1,391.5,186,467.4,242.8,542.6,305.2,-0.6359,0
183,6.122,PINKY,1,415.5,195.5,476.1,244.7,545,306.7,-0.5793,0
184,6.156,PINKY,1,444,222.9,484.9,246.1,544.9,312.5,-0.279,0
185,6.19,PINKY,1,462.4,248.3,491.3,247.7,547.6,309.2,0.0068,0
186,6.225,PINKY,1,464.7,247,494.1,250.3,550.5,309.8,-0.0407,0
187,6.26,PINKY,1,463.6,237.7,496.8,251.1,555.5,309.4,-0.1588,0
188,6.296,PINKY,1,457.9,230.3,500.3,251,557.2,308.1,-0.2438,0
189,6.328,PINKY,1,455.3,220.9,503,249.8,560.3,306.8,-0.339,0
190,6.355,PINKY,1,456.5,213.8,507.1,249.3,561.6,307.1,-0.4231,0
191,6.389,PINKY,1,470.2,214.2,510.6,248.5,559.8,306.4,-0.4033,0
192,6.424,PINKY,1,500.7,231.3,516.2,249,563.7,307.3,-0.2194,0
193,6.458,PINKY,1,519.5,256.4,518.4,248.3,561.7,304.6,0.1034,0
194,6.493,PINKY,1,526.5,274.2,521.8,248,565.4,305.7,0.3314,0
195,6.529,PINKY,1,521.1,262.7,526,253.2,569.7,307.2,0.1302,0
196,6.561,PINKY,1,513.1,253.2,525,253.8,569.4,309.4,-0.0074,0
197,6.588,PINKY,1,508.2,237.8,525.8,253.1,571.6,310.7,-0.1783,0
198,6.622,PINKY,1,502.3,207.1,526.1,251.4,573.7,306,-0.5147,0
199,6.656,PINKY,1,494.7,186.6,527.2,247.8,575.4,304.9,-0.6834,0
200,6.691,PINKY,1,490.2,175.3,528.5,243.5,576.9,301.1,-0.7479,0
201,6.726,PINKY,1,488,175.9,531,242.5,579,304,-0.7419,0
202,6.762,PINKY,1,495.5,191.5,532.5,242.8,573.6,304.8,-0.6144,0
203,6.795,PINKY,1,510.6,211.9,537.9,246.9,576.5,304.8,-0.4853,0
204,6.822,PINKY,1,527.8,243.6,540.6,247.9,581.9,308,-0.054,0
205,6.856,PINKY,1,542.8,288,541.8,249.2,578.2,305.8,0.484,0
206,6.89,PINKY,1,548.2,295.5,542.9,253.2,578.5,309,0.5249,0
207,6.925,PINKY,1,540.6,275.9,544.5,257,582.2,314.1,0.2302,0
208,6.96,PINKY,1,533.5,261.9,545.4,256.2,584,309.7,0.072,0
209,6.995,PINKY,1,529.5,238.1,544.4,253.3,584.8,303.4,-0.1807,0
210,7.028,PINKY,1,518.9,204.4,543.3,251.4,584.3,303.1,-0.5605,0
211,7.055,PINKY,1,511.6,183.5,542.7,247.1,584,298.7,-0.7343,0
212,7.089,PINKY,1,504.5,162.4,541.9,240.8,584.6,296.6,-0.8751,0
213,7.124,PINKY,1,499.4,149.4,541.2,236,582.6,298,-0.9496,0
214,7.158,PINKY,1,494.4,149.5,540,234.7,581.6,300.9,-0.9237,0
215,7.194,PINKY,1,489.8,160.4,539.7,238.6,582.4,309.3,-0.8796,0
216,7.229,PINKY,1,496.6,174.1,539.9,242.3,580.2,313.1,-0.8042,0
217,7.261,PINKY,1,504.6,212.9,540.8,250.8,576.2,315.3,-0.4939,0
218,7.29,PINKY,1,517.8,255.3,541.9,261.7,578.4,315.6,-0.09,0
