frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,PINKY,0,,,,,,,,0
1,0.06,PINKY,0,,,,,,,,0
2,0.093,PINKY,0,,,,,,,,0
3,0.13,PINKY,0,,,,,,,,0
4,0.161,PINKY,0,,,,,,,,0
5,0.192,PINKY,0,,,,,,,,0
6,0.226,PINKY,0,,,,,,,,0
7,0.262,PINKY,0,,,,,,,,0
8,0.294,PINKY,0,,,,,,,,0
9,0.325,PINKY,0,,,,,,,,0
10,0.359,PINKY,0,,,,,,,,0
11,0.394,PINKY,0,,,,,,,,0
12,0.43,PINKY,0,,,,,,,,0
13,0.461,PINKY,0,,,,,,,,0
14,0.492,PINKY,0,,,,,,,,0
15,0.526,PINKY,0,,,,,,,,0
16,0.561,PINKY,0,,,,,,,,0
17,0.597,PINKY,0,,,,,,,,0
18,0.628,PINKY,0,,,,,,,,0
19,0.659,PINKY,0,,,,,,,,0
20,0.693,PINKY,0,,,,,,,,0
21,0.728,PINKY,0,,,,,,,,0
22,0.762,PINKY,0,,,,,,,,0
23,0.803,PINKY,0,,,,,,,,0
24,0.839,PINKY,0,,,,,,,,0
25,0.86,PINKY,0,,,,,,,,0
26,0.912,PINKY,1,-136.9,172.5,89.6,223.6,308.1,275.3,-0.3057,0
27,0.933,PINKY,1,-107.9,180.1,125.1,226.4,356.5,292.3,-0.281,0
28,0.964,PINKY,1,19.3,201,204.1,232.9,381.4,302.5,-0.2285,0
29,0.991,PINKY,1,148.2,218.1,279.4,239,424,313.9,-0.1486,0
30,1.026,PINKY,1,241.1,248.9,326.7,252.1,445.9,325.9,-0.0232,0
31,1.061,PINKY,1,314.2,305.7,351.8,278.2,441.2,337.9,0.2108,0
32,1.095,PINKY,1,395.9,341.2,362.9,290.2,415.9,352.5,0.4348,0
33,1.131,PINKY,1,447,389.2,413.7,304.6,438.1,342.9,0.6375,0
34,1.17,PINKY,1,480.3,413.7,446.8,306.5,458.8,340.1,0.8493,0
35,1.201,PINKY,1,497.7,421.4,464.6,309.7,466.3,337,0.844,0
36,1.234,PINKY,1,509.7,419.1,476.6,314.1,472.7,342.7,0.8,0
37,1.268,PINKY,1,518.1,415.1,486.1,320.3,479.2,341.6,0.6124,0
38,1.3,PINKY,1,518.1,408,493.1,320.3,488.3,341.2,0.5551,0
39,1.335,PINKY,1,519.1,402.9,497.2,319.5,498.4,347.2,0.576,0
40,1.367,PINKY,1,515.8,403.7,491.8,318.9,489.2,354.5,0.6612,0
41,1.401,PINKY,1,511.4,407,487.4,321,484.9,360.5,0.686,0
42,1.434,PINKY,1,512.3,420.9,489.4,323.1,489.5,357.2,0.8322,0
43,1.468,PINKY,1,514.4,442.3,490,328.7,485.5,358.7,1.035,0
44,1.5,PINKY,1,515.1,449.4,491.4,332.7,487.7,360.6,1.0077,0
45,1.534,PINKY,1,515,452.7,492.4,337.5,490,359.3,0.9403,0
46,1.568,PINKY,1,515.1,454.3,493.7,340.6,491.6,359.1,0.9113,0
47,1.601,PINKY,1,515.7,455,495.2,342.6,494.2,359.7,0.8506,0
48,1.634,PINKY,1,516.3,454.8,496.8,344.9,496.9,359.6,0.785,0
49,1.669,PINKY,1,516.8,453.7,499.4,346.4,500.6,359.3,0.7193,0
50,1.7,PINKY,1,517.6,452.6,503.1,345.2,506.3,354.5,0.6956,0
51,1.733,PINKY,1,517.8,452.5,506.5,344.4,507.3,351.3,0.7043,0
52,1.768,PINKY,1,518.1,452.8,508.2,342.7,503.8,344.3,0.6878,0
53,1.801,PINKY,1,518.2,452.5,509.3,343.4,505.6,345.6,0.655,0
54,1.835,PINKY,1,516.8,451,510.3,340.5,505.8,341,0.7094,0
55,1.867,PINKY,1,516,451.4,510.2,339.2,505.8,338.7,0.7342,0
56,1.902,PINKY,1,515,451.6,507.5,335.1,496.5,339.5,0.7201,0
57,1.935,PINKY,1,512.5,451.9,503.1,333.8,481.1,339.9,0.754,0
58,1.967,PINKY,1,509,453.5,494.3,332.8,470,347.1,0.7944,0
59,2.002,PINKY,1,507.1,454.6,485.2,334.4,467.6,348.4,0.7437,0
60,2.034,PINKY,1,507.1,456,478.4,337.8,462.3,352.3,0.7187,0
61,2.068,PINKY,1,507.4,457.8,475,342.8,461.9,351.6,0.7036,0
62,2.101,PINKY,1,506,459.7,474.2,349.4,463.3,353.2,0.6924,0
63,2.135,PINKY,1,504.9,459.9,475.5,354,466.5,354.6,0.6587,0
64,2.168,PINKY,1,505.4,459.5,478.5,358.1,472.8,352.9,0.626,0
65,2.201,PINKY,1,506.3,458,480.9,362.4,478.5,351.6,0.6016,0
66,2.234,PINKY,1,507.2,456.8,483.7,364.4,480.7,352.8,0.5832,0
67,2.269,PINKY,1,507.9,455.4,488,365,488.3,354.4,0.5791,0
68,2.3,PINKY,1,508.7,455,493.3,363.5,491.3,351.3,0.616,0
69,2.334,PINKY,1,510.6,454.3,499.9,362.1,497.1,348.4,0.6392,0
70,2.369,PINKY,1,511.6,454,509.5,360.3,512.1,347.5,0.6863,0
71,2.4,PINKY,1,512.9,453.4,516.7,358.2,516.6,344.5,0.6388,0
72,2.435,PINKY,1,514.4,452.8,526.6,356.7,529.8,339.6,0.5966,0
73,2.466,PINKY,1,516.3,453.2,534.1,356.2,529.4,334.2,0.6089,0
74,2.501,PINKY,1,516.7,454.2,539.8,355.3,531.8,330.6,0.6634,0
75,2.537,PINKY,1,518.7,454.7,544.4,354.7,534.6,328.5,0.6459,0
76,2.567,PINKY,1,522.7,454.9,549.6,353.6,540.1,325.9,0.6619,0
77,2.601,PINKY,1,530.6,454.6,555.5,351.6,546.2,322,0.6774,0
78,2.635,PINKY,1,541.5,454.4,563.6,347.9,550.1,319.5,0.7774,0
79,2.667,PINKY,1,571.2,453.8,573.4,342.9,552.4,311.3,0.882,0
80,2.701,PINKY,1,752.8,418,650.3,330.6,582.9,309.1,0.8835,0
81,2.736,PINKY,1,807.7,375.3,707.3,324.2,616.9,322.8,0.6897,0
82,2.767,PINKY,1,810,378.4,718.3,327.5,614.4,317.3,0.6222,0
83,2.801,PINKY,1,775.1,389.6,708.9,330.7,602.1,319.4,0.6692,0
84,2.837,PINKY,1,788,386,710,332.5,600.4,320.4,0.669,0
85,2.866,PINKY,1,750.8,394,685.1,332.2,572,321.1,0.7168,0
86,2.901,PINKY,1,746.1,395.6,686.8,333.9,579.5,319.7,0.7384,0
87,2.936,PINKY,0,,,,,,,,0
88,2.982,PINKY,1,517.3,452.4,493.3,355.4,477.6,349.8,0.7635,0
89,3.001,PINKY,1,517.4,453.8,493.3,354.9,482.6,347.6,0.634,0
