frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.018,PINKY,0,,,,,,,,0
1,0.048,PINKY,0,,,,,,,,0
2,0.077,PINKY,0,,,,,,,,0
3,0.111,PINKY,0,,,,,,,,0
4,0.146,PINKY,0,,,,,,,,0
5,0.182,PINKY,0,,,,,,,,0
6,0.213,PINKY,0,,,,,,,,0
7,0.243,PINKY,0,,,,,,,,0
8,0.278,PINKY,0,,,,,,,,0
9,0.312,PINKY,0,,,,,,,,0
10,0.349,PINKY,0,,,,,,,,0
11,0.38,PINKY,0,,,,,,,,0
12,0.41,PINKY,0,,,,,,,,0
13,0.445,PINKY,0,,,,,,,,0
14,0.479,PINKY,0,,,,,,,,0
15,0.515,PINKY,0,,,,,,,,0
16,0.547,PINKY,0,,,,,,,,0
17,0.577,PINKY,0,,,,,,,,0
18,0.611,PINKY,0,,,,,,,,0
19,0.647,PINKY,0,,,,,,,,0
20,0.682,PINKY,0,,,,,,,,0
21,0.713,PINKY,0,,,,,,,,0
22,0.744,PINKY,0,,,,,,,,0
23,0.777,PINKY,0,,,,,,,,0
24,0.812,PINKY,0,,,,,,,,0
25,0.849,PINKY,0,,,,,,,,0
26,0.88,PINKY,0,,,,,,,,0
27,0.91,PINKY,0,,,,,,,,0
28,0.956,PINKY,1,-158.8,124.9,-16.6,206.4,199.2,297.2,-0.4757,0
29,0.98,PINKY,1,-145.3,138.9,13.3,214.4,241.1,328.7,-0.4468,0
30,1.016,PINKY,1,-80.8,158.7,89,230.9,279.3,333.7,-0.4387,0
31,1.048,PINKY,1,-36.8,168.9,156.5,241.2,329,326,-0.435,0
32,1.075,PINKY,1,66.3,197,221.7,257.7,366.8,339.2,-0.4083,0
33,1.109,PINKY,1,175.2,240.1,282.1,279.5,403.7,354.1,-0.3085,0
34,1.143,PINKY,1,251.9,268.2,320.5,279.6,418.9,370,-0.0832,0
35,1.177,PINKY,1,303.1,293.1,350.7,299.4,413.6,392.6,-0.0511,0
36,1.213,PINKY,1,336.2,319.5,375.1,324.4,426.4,402.5,-0.0381,0
37,1.25,PINKY,1,373.9,342.3,395.5,339.9,430.3,404.2,0.0207,0
38,1.281,PINKY,1,395.5,367.9,409.1,350.2,428.7,420.3,0.1394,0
39,1.308,PINKY,1,417.7,387.3,416.7,360.2,419.2,407,0.1692,0
40,1.342,PINKY,1,434.3,405.9,418.8,369.7,407.7,406.6,0.2196,0
41,1.377,PINKY,1,450.4,429.8,429.9,370,421.2,403.1,0.4068,0
42,1.411,PINKY,1,461.9,460.5,437.2,372.3,418.3,398.7,0.6284,0
43,1.446,PINKY,1,468.9,474.3,441.8,378.5,429.1,391.8,0.6449,0
44,1.483,PINKY,1,467.6,477.1,444.1,381.4,429.7,396.5,0.6552,0
45,1.516,PINKY,1,468.2,478.9,445.8,381.3,431.7,391.4,0.7347,0
46,1.542,PINKY,1,468.9,478.7,449.1,381.3,437.8,388.5,0.6944,0
47,1.576,PINKY,1,470.1,478,454,384.2,445.7,389.6,0.6177,0
48,1.61,PINKY,1,469.5,477.9,458.2,386.7,452.7,389,0.5923,0
49,1.644,PINKY,1,470.4,478.3,461.4,386.7,455.1,389,0.6535,0
50,1.681,PINKY,1,476.7,477.5,463.7,387.1,455.3,391.9,0.6285,0
51,1.717,PINKY,1,482.7,476.3,466.5,389.3,459.3,393,0.5803,0
52,1.748,PINKY,1,487.8,475.6,469.9,391.6,458.3,396.7,0.5688,0
53,1.775,PINKY,1,495.1,476.4,471.5,392,458.4,394.3,0.5877,0
54,1.809,PINKY,1,507,476.8,475.6,393.3,460.7,396.4,0.547,0
55,1.844,PINKY,1,517.6,478.6,481.3,392.2,464,400.1,0.6209,0
56,1.878,PINKY,1,529.1,479.1,487.4,390.7,466,395.9,0.6656,0
57,1.913,PINKY,1,539.9,480.3,495.9,392.2,469.7,400.7,0.5719,0
58,1.951,PINKY,1,546.7,479.8,504.7,393.8,477.7,400.6,0.5385,0
59,1.981,PINKY,1,554.9,479.6,511.5,394.3,482.2,400.4,0.5346,0
60,2.009,PINKY,1,563.8,480.1,516.6,393.4,484.1,401.3,0.5558,0
61,2.045,PINKY,1,576,479.7,521.2,391.3,485.9,401.3,0.6065,0
62,2.078,PINKY,1,587.8,479.5,525.3,388.7,486.1,400.8,0.6372,0
