frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,PINKY,0,,,,,,,,0
1,0.056,PINKY,0,,,,,,,,0
2,0.091,PINKY,0,,,,,,,,0
3,0.127,PINKY,0,,,,,,,,0
4,0.159,PINKY,0,,,,,,,,0
5,0.19,PINKY,0,,,,,,,,0
6,0.224,PINKY,0,,,,,,,,0
7,0.26,PINKY,0,,,,,,,,0
8,0.296,PINKY,0,,,,,,,,0
9,0.327,PINKY,0,,,,,,,,0
10,0.357,PINKY,0,,,,,,,,0
11,0.391,PINKY,0,,,,,,,,0
12,0.426,PINKY,0,,,,,,,,0
13,0.462,PINKY,0,,,,,,,,0
14,0.493,PINKY,0,,,,,,,,0
15,0.524,PINKY,0,,,,,,,,0
16,0.558,PINKY,0,,,,,,,,0
17,0.593,PINKY,0,,,,,,,,0
18,0.629,PINKY,0,,,,,,,,0
19,0.66,PINKY,0,,,,,,,,0
20,0.69,PINKY,0,,,,,,,,0
21,0.724,PINKY,0,,,,,,,,0
22,0.759,PINKY,0,,,,,,,,0
23,0.795,PINKY,0,,,,,,,,0
24,0.827,PINKY,0,,,,,,,,0
25,0.857,PINKY,0,,,,,,,,0
26,0.902,PINKY,0,,,,,,,,0
27,0.939,PINKY,0,,,,,,,,0
28,0.961,PINKY,0,,,,,,,,0
29,1.006,PINKY,1,-171.8,136.3,-21.8,218.1,180.6,305.3,-0.5153,0
30,1.026,PINKY,1,-156.8,155.2,13.2,228.5,260,326.2,-0.4732,0
31,1.06,PINKY,1,-97.2,177.7,91.4,242.6,296.8,328.1,-0.4264,0
32,1.094,PINKY,1,-34.5,184.7,163.1,253.4,331.6,331,-0.502,0
33,1.13,PINKY,1,69.5,189.4,230.7,264.6,384.9,330.7,-0.5894,0
34,1.161,PINKY,1,145.9,195.4,283,274.6,407.5,345.2,-0.6876,0
35,1.189,PINKY,1,209,202.3,320.1,282.2,427.6,344.5,-0.7447,0
36,1.223,PINKY,1,254.4,207.4,349.9,285,439.9,349.3,-0.731,0
37,1.257,PINKY,1,290.4,213.7,371.3,286.9,448.5,345,-0.69,0
38,1.291,PINKY,1,325,218.9,386.9,284.9,450.2,342.8,-0.6153,0
39,1.327,PINKY,1,354.6,220.7,399.8,279,456.5,341.8,-0.5285,0
40,1.364,PINKY,1,378.1,221.5,412.8,274,465.7,335,-0.4888,0
41,1.395,PINKY,1,393,220.9,428.2,271.9,478.9,330.5,-0.5054,0
42,1.422,PINKY,1,409.8,220.8,439.8,268.9,488.5,327.3,-0.4873,0
43,1.456,PINKY,1,421.6,217.9,452.4,265.8,497.3,324.6,-0.4995,0
44,1.491,PINKY,1,435.6,214.8,459.3,260.4,501.7,319.9,-0.47,0
45,1.524,PINKY,1,445,211.1,466.5,254.1,509.7,317.3,-0.4294,0
46,1.56,PINKY,1,453.6,206.6,473.1,249.4,514.7,312.2,-0.4391,0
47,1.597,PINKY,1,463.4,206,476.8,242.6,517.6,313.3,-0.3494,0
48,1.628,PINKY,1,470.1,205.8,480.7,238.8,518.8,311.9,-0.3204,0
49,1.656,PINKY,1,475.6,205.9,484.6,236.9,524.9,308.3,-0.3093,0
50,1.689,PINKY,1,479.5,205.9,488.5,235.2,527,309,-0.2937,0
51,1.725,PINKY,1,481.4,205.1,491.9,234.8,533,307.3,-0.3004,0
52,1.758,PINKY,1,484,203.9,494.6,233.2,534.9,306.5,-0.2916,0
53,1.793,PINKY,1,486.7,202.7,497,232.1,535.5,304.3,-0.3,0
54,1.832,PINKY,1,490.4,199.9,499.9,231.5,538.6,303.1,-0.3249,0
55,1.862,PINKY,1,490.7,193.7,502.6,230.9,538.7,296.8,-0.3963,0
56,1.889,PINKY,1,491.8,183.8,505.8,229.9,543.4,290.2,-0.5224,0
57,1.923,PINKY,1,495.4,172.5,508.7,227.8,544.9,286.1,-0.6198,0
58,1.957,PINKY,1,499.4,166.8,510.9,226,546.2,286.2,-0.658,0
59,1.991,PINKY,1,504.4,168.7,513.1,225.3,547.9,290.8,-0.62,0
60,2.027,PINKY,1,510.6,177.2,514.4,226.8,550.4,301.6,-0.5201,0
61,2.064,PINKY,1,513.6,196,517.9,233.7,550.3,312.8,-0.4228,0
62,2.096,PINKY,1,514.1,226.1,520.9,249.8,552.6,324.5,-0.2873,0
63,2.123,PINKY,1,514.3,251.9,520.2,266.5,545.8,335.2,-0.172,0
64,2.156,PINKY,1,513.5,272.8,518.5,280.3,542.9,345.8,-0.0858,0
65,2.191,PINKY,1,510.1,285,517,286.2,537.4,347.2,-0.0145,0
66,2.225,PINKY,1,509.5,289.3,515.8,286.3,534.6,348.9,0.0329,0
67,2.261,PINKY,1,511.6,282.8,515.7,284.8,537.5,344.8,-0.0216,0
68,2.298,PINKY,1,514.4,273.7,517.8,281.8,541.2,334.9,-0.0934,0
69,2.329,PINKY,1,515.9,266.2,520,277.5,543.8,324.4,-0.1313,0
70,2.356,PINKY,1,516.7,254.9,522,272.1,551,315.4,-0.1984,0
71,2.389,PINKY,1,518.6,234.6,521.7,255.5,553.2,305.3,-0.2249,0
72,2.425,PINKY,1,520.7,210.4,521.3,239.2,548.2,295.5,-0.306,0
73,2.459,PINKY,1,521.9,189.1,521.3,229.3,549.8,285.9,-0.4317,0
74,2.495,PINKY,1,522.1,172.8,521.7,223.3,550.9,282.9,-0.5504,0
75,2.532,PINKY,1,521.6,161.6,522,220.2,551.3,279.5,-0.6356,0
76,2.563,PINKY,1,521.3,158.4,522.4,218.4,552.1,278.2,-0.6593,0
77,2.59,PINKY,1,521,161.7,522.8,218.7,553.3,280.2,-0.6365,0
78,2.623,PINKY,1,521.8,170.8,522,219.7,550.8,288,-0.5445,0
79,2.658,PINKY,1,523.1,179.6,522.2,224.8,551.2,298.2,-0.5135,0
80,2.691,PINKY,1,523.1,204,523.4,235.2,549.6,309.9,-0.3711,0
81,2.728,PINKY,1,525,235,524.3,250.7,550.6,319.4,-0.1825,0
82,2.764,PINKY,1,525.9,259.6,524.6,264.5,546.5,329.6,-0.0572,0
83,2.795,PINKY,1,526.3,277.6,523.6,277.4,540.3,338.4,0.0018,0
84,2.823,PINKY,1,526.5,289.5,522.3,283.2,534.3,338.3,0.0723,0
85,2.857,PINKY,1,527.3,293.6,521.1,282.3,534.9,337.9,0.1254,0
86,2.892,PINKY,1,527.4,289.4,521.1,281.2,538.7,334.2,0.0932,0
87,2.925,PINKY,1,527.4,280.1,521.2,278,541.8,326.2,0.0235,0
88,2.961,PINKY,1,528.1,270.8,521.4,273.9,546.5,317.5,-0.0364,0
89,2.998,PINKY,1,526.9,251.1,521.1,265.4,545.5,309.1,-0.162,0
90,3.029,PINKY,1,526.4,227.5,520.2,251,544.2,295.4,-0.2678,0
91,3.056,PINKY,1,526.2,201.9,519.9,237.4,547.4,284.8,-0.4109,0
92,3.089,PINKY,1,526.3,177.7,520.5,224,551.3,279.4,-0.5211,0
93,3.125,PINKY,1,526.7,161.8,521.2,214.9,552.7,275.4,-0.5907,0
94,3.158,PINKY,1,527.5,158,522,208.6,550.7,270.5,-0.5618,0
95,3.194,PINKY,1,531,161,523.2,205.3,551.6,267.8,-0.5009,0
96,3.232,PINKY,1,537,172.5,524,204.6,548.9,266.7,-0.356,0
97,3.263,PINKY,1,547.8,181.5,525.3,204.7,548.5,271.4,-0.258,0
98,3.289,PINKY,1,556.3,201.2,526.1,205.3,551.1,275.9,-0.0434,0
99,3.323,PINKY,1,564.7,228.3,526,206.9,552.2,278.9,0.226,0
100,3.358,PINKY,1,569.5,248.4,525.3,208.6,550.9,282.8,0.4234,0
101,3.392,PINKY,1,571.4,258.2,524.7,210.5,548.7,285,0.5048,0
102,3.427,PINKY,1,570.1,260.3,524.1,212.5,545.9,285.7,0.5007,0
103,3.465,PINKY,1,566.7,253.8,523.4,214.8,545.4,286.8,0.4198,0
