frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.027,PINKY,0,,,,,,,,0
1,0.06,PINKY,0,,,,,,,,0
2,0.095,PINKY,0,,,,,,,,0
3,0.126,PINKY,0,,,,,,,,0
4,0.157,PINKY,0,,,,,,,,0
5,0.191,PINKY,0,,,,,,,,0
6,0.226,PINKY,0,,,,,,,,0
7,0.262,PINKY,0,,,,,,,,0
8,0.293,PINKY,0,,,,,,,,0
9,0.324,PINKY,0,,,,,,,,0
10,0.358,PINKY,0,,,,,,,,0
11,0.393,PINKY,0,,,,,,,,0
12,0.43,PINKY,0,,,,,,,,0
13,0.461,PINKY,0,,,,,,,,0
14,0.492,PINKY,0,,,,,,,,0
15,0.526,PINKY,0,,,,,,,,0
16,0.575,PINKY,0,,,,,,,,0
17,0.595,PINKY,0,,,,,,,,0
18,0.627,PINKY,0,,,,,,,,0
19,0.658,PINKY,0,,,,,,,,0
20,0.692,PINKY,0,,,,,,,,0
21,0.726,PINKY,0,,,,,,,,0
22,0.763,PINKY,0,,,,,,,,0
23,0.794,PINKY,0,,,,,,,,0
24,0.825,PINKY,0,,,,,,,,0
25,0.872,PINKY,0,,,,,,,,0
26,0.907,PINKY,1,-52.4,58.6,157.5,132,337.8,223.1,-0.44,0
27,0.93,PINKY,1,-27.6,70.7,178,134.9,391.8,234.5,-0.3968,0
28,0.966,PINKY,1,59,87.3,238.8,142.2,429.6,241.3,-0.3634,0
29,0.995,PINKY,1,133.2,98.3,292.3,151,467.4,254.6,-0.3671,0
30,1.021,PINKY,1,196.5,108,342.4,157.8,496.5,250.8,-0.3639,0
31,1.055,PINKY,1,266.3,117.3,395.8,167.3,532.8,262.9,-0.379,0
32,1.089,PINKY,1,327,131.4,441.1,178.2,564.4,268.3,-0.3718,0
33,1.124,PINKY,1,374.3,143,478.2,186.9,588,270.7,-0.3471,0
34,1.158,PINKY,1,423.4,152.8,511.3,196.4,607.8,276.4,-0.3626,0
35,1.192,PINKY,1,464,166.5,537.5,207.4,626.1,285.9,-0.3525,0
36,1.229,PINKY,1,499.7,181.8,557.6,216.5,642.9,292.4,-0.3035,0
37,1.262,PINKY,1,527.5,195.2,575.6,228.5,647.6,303.1,-0.307,0
38,1.288,PINKY,1,547.4,208.5,588.6,239.7,654.9,310.7,-0.3141,0
39,1.321,PINKY,1,569.2,221,596.6,251.4,654.3,316.2,-0.3232,0
40,1.355,PINKY,1,576.3,233.5,603.2,262.1,655.7,321.9,-0.3011,0
41,1.39,PINKY,1,582,247.8,609.5,271.9,656.7,326.3,-0.2605,0
42,1.424,PINKY,1,581.4,263,615.3,277.8,663.1,331,-0.1628,0
43,1.46,PINKY,1,586.5,272.3,618.3,286.8,663.6,336.6,-0.1565,0
44,1.495,PINKY,1,592.8,281.3,618.8,293,664,342.2,-0.128,0
45,1.529,PINKY,1,599,284.3,622.8,299.1,664.5,345.6,-0.168,0
46,1.555,PINKY,1,608.3,296.4,624.4,301.2,662.5,347.6,-0.0547,0
47,1.588,PINKY,1,607.4,303.7,625.7,303.9,666.3,348.7,-0.002,0
48,1.623,PINKY,1,610.2,308.7,626.8,307.8,666,353.9,0.0102,0
49,1.657,PINKY,1,610,315.3,627.4,312.1,666.3,354.7,0.0353,0
50,1.692,PINKY,1,610.9,322.6,628.8,316.7,671.2,359.9,0.0709,0
51,1.726,PINKY,1,608.8,329.6,630.2,321.2,670.9,359.5,0.1032,0
52,1.763,PINKY,1,606.8,341.6,634.1,326.3,678,368.7,0.1794,0
53,1.796,PINKY,1,638.4,334.3,639.4,324.8,656.2,374,0.116,0
54,1.821,PINKY,1,630.6,387.5,636.7,331.1,662,368.8,0.6984,1
55,1.855,PINKY,1,625.1,432.8,631.9,334.6,659.6,364.6,1.1678,0
56,1.889,PINKY,1,624.5,446.5,627.5,337.5,654.6,360.4,1.3623,0
57,1.924,PINKY,1,623.1,450.1,625.4,340.5,652.6,362.7,1.3291,0
58,1.958,PINKY,1,622.8,450,623.8,342,644.5,362.4,1.2387,0
59,1.993,PINKY,1,621.3,434.7,623.6,344.7,646.4,369.7,1.0347,0
60,2.029,PINKY,1,619.8,422.1,626,346.3,661.6,371.7,0.823,0
61,2.063,PINKY,1,618.7,410.4,627,348.6,661.7,370.4,0.6825,0
62,2.09,PINKY,1,618.4,397.9,627.5,348.7,655.3,367.9,0.4839,0
63,2.124,PINKY,1,619.8,384.3,627,347.2,640.6,370.7,0.2891,0
64,2.16,PINKY,1,618.5,376.6,627.6,346.6,644.9,375.8,0.2384,0
65,2.194,PINKY,1,617.8,375.8,627.5,348.7,648.1,378.8,0.248,0
66,2.229,PINKY,1,615.5,374.3,628.2,350.4,656.5,376.3,0.2317,0
67,2.266,PINKY,1,613.8,375.4,628.5,352.2,655,379,0.2128,0
68,2.297,PINKY,1,615.8,378.7,629.8,357.7,654,386.9,0.2241,0
69,2.321,PINKY,1,617.6,391.9,629.5,361.4,663.7,387.1,0.3513,1
70,2.355,PINKY,1,624.4,424.8,626.3,359.1,646.1,376.6,0.7637,0
71,2.389,PINKY,1,629.6,444.8,624.8,358,640.8,375.3,0.9784,0
72,2.424,PINKY,1,633.1,451.2,623.3,358,635.5,379.2,1.0279,0
73,2.458,PINKY,1,633.4,453.8,622.1,357.1,632.4,375.3,1.0093,0
74,2.493,PINKY,1,634.8,454.3,621.3,359,626.2,374.9,1.0681,0
75,2.53,PINKY,1,636.1,448.1,620.7,358.3,626,377.9,0.8074,0
76,2.566,PINKY,1,635.2,439.4,621.9,357.7,629.7,390.4,0.7155,0
77,2.597,PINKY,1,632.9,418.8,623.3,358.6,646.6,386.7,0.4736,0
78,2.624,PINKY,1,629.3,402.4,623.5,357.9,640.9,388,0.3781,0
79,2.658,PINKY,1,626.4,391.5,624.3,357.2,643.8,385.7,0.2763,0
80,2.692,PINKY,1,623.3,384.4,625.3,356,640.7,381.9,0.2076,0
81,2.727,PINKY,1,621.9,373.7,629,353.8,652.6,383.9,0.1561,0
82,2.762,PINKY,1,621.6,370.5,630.9,355,648.7,384.4,0.1236,0
83,2.799,PINKY,1,623.9,371.6,631.7,355.1,640.2,380.3,0.1194,0
84,2.83,PINKY,1,627.9,383.1,634.9,358.2,654.7,392.5,0.229,0
