frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.02,RING,0,,,,,,,,0
1,0.063,RING,0,,,,,,,,0
2,0.106,RING,0,,,,,,,,0
3,0.127,RING,0,,,,,,,,0
4,0.149,RING,0,,,,,,,,0
5,0.192,RING,0,,,,,,,,0
6,0.214,RING,0,,,,,,,,0
7,0.234,RING,0,,,,,,,,0
8,0.267,RING,0,,,,,,,,0
9,0.298,RING,0,,,,,,,,0
10,0.353,RING,0,,,,,,,,0
11,0.375,RING,0,,,,,,,,0
12,0.398,RING,0,,,,,,,,0
13,0.432,RING,0,,,,,,,,0
14,0.465,RING,0,,,,,,,,0
15,0.498,RING,0,,,,,,,,0
16,0.532,RING,0,,,,,,,,0
17,0.564,RING,0,,,,,,,,0
18,0.599,RING,0,,,,,,,,0
19,0.632,RING,0,,,,,,,,0
20,0.665,RING,0,,,,,,,,0
21,0.698,RING,0,,,,,,,,0
22,0.733,RING,0,,,,,,,,0
23,0.765,RING,0,,,,,,,,0
24,0.8,RING,0,,,,,,,,0
25,0.832,RING,0,,,,,,,,0
26,0.866,RING,0,,,,,,,,0
27,0.898,RING,0,,,,,,,,0
28,0.932,RING,0,,,,,,,,0
29,0.966,RING,0,,,,,,,,0
30,0.999,RING,0,,,,,,,,0
31,1.054,RING,1,1447.4,162.2,1219.6,238.4,1030.4,359.2,-0.4115,0
32,1.078,RING,1,1220.8,210.6,1185.9,242.3,956.9,355.6,-0.1687,0
33,1.102,RING,1,1133.2,250,1133.5,244.2,943.2,370.5,0.0335,0
34,1.14,RING,1,1110.7,321.8,1061.7,273,951.3,378.1,0.3716,0
35,1.168,RING,1,1052.2,355.6,1008.9,297.8,918.6,384.1,0.5108,0
36,1.202,RING,1,1008.0,382.4,964.0,317.9,895.2,395,0.6014,0
37,1.235,RING,1,977.7,393.8,934.9,332.3,874.3,406.2,0.5988,0
38,1.268,RING,1,954.6,417.8,914.3,340.6,858.8,410.2,0.7443,0
39,1.3,RING,1,933.2,436.3,902.2,346.3,851.2,411.6,0.8997,0
40,1.333,RING,1,918.1,452.6,892.0,350.7,845.7,413,1.0338,0
41,1.367,RING,1,899.7,475.9,884.7,346.8,838.3,413.5,1.2218,0
42,1.4,RING,1,891.4,486.4,879.7,343.7,837.2,412.7,1.3707,0
43,1.433,RING,1,888.8,489.5,874.8,342.3,835.2,413,1.4454,0
44,1.467,RING,1,889.1,489.4,870.3,341.7,830.6,417.5,1.4203,0
45,1.5,RING,1,887.1,491.5,865.1,342.5,823.0,417.6,1.4675,0
46,1.533,RING,1,884.0,492.3,860.3,343.4,817.3,418.9,1.4663,0
47,1.567,RING,1,879.1,492.7,855.0,343.3,810.4,416.1,1.4915,0
48,1.6,RING,1,874.0,492.4,851.4,343.8,811.5,414,1.5107,0
49,1.634,RING,1,867.3,493.5,847.0,343,809.4,414.1,1.5067,0
50,1.666,RING,1,862.3,492.5,843.6,344.2,807.8,413.3,1.5605,0
51,1.7,RING,1,857.4,490.9,839.2,348.3,800.2,421.1,1.4845,0
52,1.734,RING,1,852.3,490,834.4,348.1,800.5,413.5,1.5042,0
53,1.767,RING,1,843.4,488,829.4,347.9,789.8,413.9,1.4281,0
54,1.8,RING,1,833.5,487.7,822.0,345.3,787.5,404.8,1.4868,0
55,1.833,RING,1,824.1,485.3,814.1,344.3,779.8,407.4,1.498,0
56,1.866,RING,1,814.4,482.6,803.0,343.8,763.1,406.1,1.5062,0
57,1.901,RING,1,804.1,480.7,792.3,342.2,759.5,402.1,1.5206,0
58,1.933,RING,1,791.1,480.5,785.8,342.3,754.2,413.3,1.3627,0
59,1.966,RING,1,779.4,479.4,779.2,342.2,746.6,409.7,1.3944,0
60,2,RING,1,767.3,478,769.5,341.7,734.4,410.2,1.416,0
61,2.034,RING,1,755.8,476.8,761.4,339.2,727.9,408.4,1.4023,0
62,2.066,RING,1,747.3,475.6,754.5,337,727.0,403,1.4679,0
63,2.101,RING,1,738.8,475.2,752.8,336.8,730.9,402,1.3839,0
64,2.134,RING,1,728.2,474.9,748.2,336.7,727.7,402.2,1.3745,0
65,2.168,RING,1,722.0,475.4,743.6,336.1,724.0,411.9,1.2868,0
66,2.2,RING,1,703.6,473,737.3,333.9,719.8,401.5,1.3718,0
67,2.234,RING,1,691.2,473.6,730.7,332.7,718.7,410.5,1.3358,0
68,2.268,RING,1,690.9,473.6,724.9,331.5,711.5,406.7,1.3875,0
69,2.301,RING,1,690.4,474,720.6,331,706.1,404.6,1.434,0
70,2.336,RING,1,686.7,473.4,716.7,330.1,702.1,401.4,1.4798,0
71,2.37,RING,1,685.2,473.5,714.2,329.7,699.0,402.1,1.4617,0
72,2.403,RING,1,679.5,471.7,712.9,330,697.0,407.4,1.3992,0
73,2.436,RING,1,673.3,469.8,714.0,330.9,698.3,410.3,1.3642,0
74,2.468,RING,1,669.2,468,715.2,331.3,697.8,412,1.3104,0
75,2.503,RING,1,656.0,465.1,715.9,330.5,703.1,410.7,1.2733,0
76,2.536,RING,1,657.4,465,717.5,331.1,701.9,415.9,1.2356,0
77,2.569,RING,1,651.7,461.8,719.0,331.2,704.8,415.8,1.1797,0
78,2.603,RING,1,658.3,463.4,720.4,330.8,701.7,414.7,1.1991,0
79,2.635,RING,1,644.0,449,721.7,329.7,703.9,404.3,1.152,0
80,2.669,RING,1,570.1,416.9,670.6,327.4,674.8,377.4,1.0057,0
81,2.702,RING,1,550.4,388.8,642.8,328.2,654.8,388,0.6923,0
82,2.736,RING,1,586.2,416.9,667.9,330.9,682.6,400.4,0.9843,0
83,2.768,RING,1,638.4,427.3,700.1,331.4,688.6,399.1,1.0054,0
84,2.803,RING,1,690.4,455.3,723.2,330.6,694.0,397.8,1.2301,0
85,2.836,RING,1,719.1,470.6,737.9,329.8,695.9,399.4,1.318,0
86,2.87,RING,1,718.8,473.5,744.6,329.7,698.7,392.8,1.4629,0
87,2.902,RING,1,635.8,434.7,705.8,321.4,676.5,367.5,1.1688,0
88,2.936,RING,1,679.8,463.7,717.7,324.4,671.5,390.6,1.4258,0
89,2.969,RING,1,706.8,479.1,726.4,324.1,676.5,397,1.422,0
90,3.002,RING,1,700.8,476.6,730.2,323.9,688.6,403.2,1.3985,0
91,3.035,RING,1,698.4,475.1,734.4,323.6,695.9,395.9,1.2984,0
92,3.069,RING,1,663.7,464.4,733.0,323.1,714.6,398.7,1.2046,0
93,3.102,RING,1,649.8,441.6,732.2,322.2,721.7,381.1,1.0763,0
94,3.136,RING,1,591.4,418.3,700.1,315.2,703.0,356.4,0.8979,0
95,3.168,RING,0,,,,,,,,0
96,3.2,RING,0,,,,,,,,0
97,3.233,RING,0,,,,,,,,0
98,3.288,RING,1,620.9,445.8,660.7,324.8,669.7,416.2,1.0325,0
99,3.313,RING,1,683.9,449.7,696.1,359.4,700.7,386.1,1.2185,0
100,3.339,RING,0,,,,,,,,0
101,3.387,RING,1,542.1,408.6,614.7,325.9,645.4,377.9,0.8847,0
102,3.412,RING,1,665.9,458.5,678.9,332.1,661.9,392.5,1.4093,0
103,3.437,RING,1,710.5,479,711.5,335.7,674.6,404.7,1.4562,0
104,3.47,RING,1,705.7,476.2,726.0,335.4,692.0,401,1.4246,0
105,3.502,RING,1,638.7,454.8,688.5,332.7,686.3,369.6,1.5188,0
106,3.536,RING,1,689.0,470.5,714.3,336.6,693.7,399.7,1.5277,0
107,3.569,RING,1,641.1,457.2,691.6,335.1,680.2,377.1,1.5791,0
108,3.602,RING,1,592.2,420,668.1,335.9,680.8,384,0.8871,0
109,3.636,RING,1,640.9,436,693.7,340.5,690.1,414.2,1.0662,0
110,3.668,RING,1,693.0,460.4,718.6,339.7,704.5,397.6,1.2808,0
111,3.703,RING,1,593.5,433.7,677.2,336.2,682.5,381.4,1.0057,0
112,3.737,RING,1,652.5,450.9,702.7,337.7,684.2,411.9,1.1162,0
113,3.77,RING,1,691.3,469.6,725.7,337.3,698.8,408.3,1.2504,0
114,3.803,RING,1,669.6,459.3,730.6,336.1,710.5,394,1.2123,0
115,3.835,RING,1,705.9,454,722.1,348.6,690.9,375.8,1.5785,0
116,3.868,RING,1,685.8,448.1,742.8,351.8,761.6,429.4,1.3217,0
117,3.902,RING,0,,,,,,,,0
118,3.955,RING,1,560.7,414.6,647.9,324.2,688.1,388.5,0.9092,0
119,3.979,RING,1,672.3,448.8,715.7,328.7,722.1,407,1.265,0
120,4.004,RING,1,682.7,456.3,729.1,329.6,727.4,388.2,1.3907,0
121,4.035,RING,0,,,,,,,,0
122,4.087,RING,1,762.2,467.9,797.9,364.5,751.9,409.5,0.9569,0
123,4.113,RING,1,640.3,435.8,719.5,353.4,720.8,361.8,0.8782,0
124,4.138,RING,1,679.2,449.9,746.6,353.3,719.2,412.6,0.9584,0
125,4.168,RING,1,749.8,470.3,763.4,350.7,725.3,414.4,1.1115,0
126,4.203,RING,1,789.9,485.5,785.3,349.2,729.8,416.5,1.2211,0
127,4.235,RING,1,812.4,496.6,802.8,349.3,740.2,426.9,1.2793,0
128,4.27,RING,1,827.7,501,816.4,349,749.1,424.1,1.3571,0
129,4.302,RING,1,840.1,504,824.8,349.7,757.0,420.8,1.4469,0
130,4.336,RING,1,852.5,505.2,833.7,350.5,762.4,422,1.4303,0
131,4.369,RING,1,864.7,507,845.9,352,779.6,425.4,1.4529,0
132,4.403,RING,1,876.4,507.7,853.7,351.9,784.2,425.1,1.4164,0
133,4.435,RING,1,885.2,508.4,860.1,352.3,791.4,423,1.4636,0
134,4.47,RING,1,891.9,509.1,865.5,352.6,795.8,424.9,1.4535,0
135,4.503,RING,1,897.6,509.3,870.0,352.9,800.3,424.6,1.4636,0
136,4.536,RING,1,901.9,509.6,873.8,352.8,803.6,427.2,1.4474,0
137,4.569,RING,1,904.7,509.9,877.0,352.8,803.6,427.1,1.4251,0
138,4.604,RING,1,907.9,509.8,881.3,355.2,806.1,430.3,1.4136,0
139,4.636,RING,1,908.0,508.4,883.5,357.6,809.6,430.7,1.4035,0
140,4.668,RING,1,909.0,508.3,884.8,357.9,807.5,429.6,1.3753,0
141,4.703,RING,1,907.3,508.5,884.5,358.9,806.1,429.6,1.4124,0
142,4.736,RING,1,907.1,508.3,884.2,359.7,804.7,428.9,1.3886,0
143,4.771,RING,1,907.5,507.6,884.2,361,808.5,430.2,1.3875,0
144,4.802,RING,1,907.9,507.3,883.4,359.9,805.2,426.7,1.3693,0
145,4.837,RING,1,909.1,507,883.8,359.8,808.1,428.8,1.3795,0
146,4.87,RING,1,909.8,505.6,884.8,359.6,812.0,423.9,1.404,0
147,4.903,RING,1,911.8,505,886.6,359.5,815.3,426.2,1.3753,0
148,4.936,RING,1,914.3,503.9,889.3,358.6,821.3,422.1,1.3789,0
149,4.969,RING,1,918.4,503.4,892.1,357.7,824.8,423,1.3749,0
150,5.003,RING,1,921.8,502.7,894.4,357.2,829.4,423.5,1.3841,0
151,5.037,RING,1,926.4,502,894.9,354.3,827.3,423.5,1.3597,0
152,5.07,RING,1,930.5,501.3,897.0,352.4,833.0,415.5,1.4566,0
153,5.103,RING,1,932.4,500,899.0,349.9,834.7,417.4,1.3999,0
154,5.137,RING,1,934.1,498.5,900.6,350,839.1,417.3,1.445,0
155,5.168,RING,1,935.9,495.3,899.8,348.3,840.0,412.8,1.4512,0
156,5.204,RING,1,936.2,491.9,897.1,345.7,837.6,405.8,1.4904,0
157,5.236,RING,1,936.8,490.7,895.1,342.8,838.8,398.8,1.5298,0
158,5.27,RING,1,937.9,489.6,892.7,341.1,841.8,397.8,1.5407,0
159,5.304,RING,1,936.2,487.5,889.6,339.8,838.0,397.1,1.5599,0
160,5.337,RING,1,935.4,486.3,887.8,338.7,840.6,396.7,1.5401,0
161,5.369,RING,1,934.0,483.7,886.4,337.7,841.4,399.7,1.5244,0
162,5.404,RING,1,933.7,482.1,885.6,337.4,840.1,398.6,1.5119,0
163,5.437,RING,1,933.6,481.3,885.6,337.4,841.2,398.2,1.4838,0
164,5.47,RING,1,934.7,479.5,886.5,338,844.1,398.6,1.4594,0
165,5.504,RING,1,935.0,478.7,886.8,338.3,844.2,399.3,1.453,0
166,5.537,RING,1,935.5,477.6,887.5,338.7,845.7,398.2,1.4616,0
167,5.569,RING,1,936.2,476.3,888.1,339.1,848.0,399.8,1.4607,0
168,5.603,RING,1,935.9,475.4,888.0,338.9,845.2,400,1.4456,0
169,5.637,RING,1,936.7,474.8,888.7,339.4,846.3,401.5,1.4324,0
170,5.669,RING,1,937.7,473.5,889.5,339.5,848.2,398.4,1.4589,0
171,5.703,RING,1,936.9,471.8,889.7,339.4,847.4,401.4,1.4476,0
172,5.736,RING,1,935.5,470.3,888.7,339.5,843.5,398.1,1.5024,0
173,5.77,RING,1,931.4,470.4,886.1,339.4,839.9,399.8,1.5235,0
174,5.803,RING,1,925.0,469.8,880.7,340.5,833.8,393.8,1.6905,0
175,5.838,RING,1,917.4,469.9,872.1,341.1,828.3,393.5,1.7058,0
176,5.87,RING,1,909.0,468.4,864.7,340.9,829.2,389.5,1.7791,0
177,5.904,RING,1,895.6,466.7,854.7,339.7,820.8,387.7,1.7111,0
178,5.937,RING,1,881.5,463.8,845.3,338.5,813.6,383.4,1.8177,0
179,5.97,RING,1,865.5,460.8,835.2,338,804.4,384.7,1.7836,0
180,6.002,RING,1,855.1,456.5,826.1,337.5,799.1,378.6,1.8429,0
181,6.037,RING,1,835.0,453.3,817.4,336.5,795.1,389,1.4143,0
182,6.071,RING,1,794.0,444.2,808.3,336.5,784.3,394.8,1.2856,0
183,6.103,RING,1,773.2,443.4,801.5,335.7,779.5,395.9,1.279,0
184,6.137,RING,1,754.3,438.5,794.5,334.1,776.4,389.3,1.2948,0
185,6.171,RING,1,734.2,426.1,785.3,332.5,769.1,381.9,1.1663,0
186,6.202,RING,1,694.8,416.3,744.5,331.2,753.5,361.7,1.3453,0
187,6.236,RING,0,,,,,,,,0
188,6.288,RING,1,691.9,407.3,741.6,338.7,775.6,370.1,0.6645,0
189,6.313,RING,1,673.5,400.6,731.5,340.5,752.7,362.5,0.522,0
190,6.34,RING,0,,,,,,,,0
191,6.392,RING,1,704.7,415.9,749.0,337.8,773.5,367.7,0.7739,0
192,6.417,RING,1,689.9,407.9,743.5,339.5,761.0,359.5,0.5811,0
193,6.443,RING,0,,,,,,,,0
194,6.488,RING,1,705.6,404.2,747.4,325.6,772.4,353.5,0.8419,0
195,6.513,RING,0,,,,,,,,0
