frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.047,RING,0,,,,,,,,0
1,0.078,RING,0,,,,,,,,0
2,0.146,RING,0,,,,,,,,0
3,0.223,RING,0,,,,,,,,0
4,0.258,RING,0,,,,,,,,0
5,0.3,RING,0,,,,,,,,0
6,0.321,RING,0,,,,,,,,0
7,0.353,RING,0,,,,,,,,0
8,0.418,RING,0,,,,,,,,0
9,0.454,RING,0,,,,,,,,0
10,0.52,RING,0,,,,,,,,0
11,0.55,RING,0,,,,,,,,0
12,0.62,RING,0,,,,,,,,0
13,0.653,RING,0,,,,,,,,0
14,0.684,RING,0,,,,,,,,0
15,0.717,RING,0,,,,,,,,0
16,0.753,RING,0,,,,,,,,0
17,0.789,RING,0,,,,,,,,0
18,0.82,RING,0,,,,,,,,0
19,0.851,RING,0,,,,,,,,0
20,0.895,RING,0,,,,,,,,0
21,0.918,RING,0,,,,,,,,0
22,0.951,RING,0,,,,,,,,0
23,1,RING,0,,,,,,,,0
24,1.019,RING,0,,,,,,,,0
25,1.054,RING,0,,,,,,,,0
26,1.086,RING,0,,,,,,,,0
27,1.118,RING,0,,,,,,,,0
28,1.162,RING,0,,,,,,,,0
29,1.195,RING,0,,,,,,,,0
30,1.229,RING,0,,,,,,,,0
31,1.305,RING,1,1323.4,-2.8,1193.0,89.2,1078.6,248.1,-0.5028,0
32,1.324,RING,1,1301.3,-0.7,1176.5,94.1,1048.2,263.1,-0.5417,0
33,1.346,RING,1,1258.3,24.8,1134.2,105.3,1026.2,264.9,-0.4904,0
34,1.38,RING,1,1187.6,72.8,1077.6,123.3,994.5,268.3,-0.3259,0
35,1.448,RING,1,1048.3,120.3,1013.0,146.8,948.7,283,-0.18,0
36,1.481,RING,1,1029.3,143.9,982.6,159,927.9,285.4,-0.1111,0
37,1.551,RING,1,1001.0,161.9,955.2,171.2,915.0,286.1,-0.0723,0
38,1.589,RING,1,951.0,168,923.6,179.1,887.9,285.7,-0.0983,0
39,1.622,RING,1,921.5,168.9,902.2,181.8,879.4,293.1,-0.1087,0
40,1.649,RING,1,898.7,166.5,885.1,181.1,867.7,287.8,-0.1245,0
41,1.718,RING,1,873.3,158.4,866.6,179.2,857.3,286.4,-0.1787,0
42,1.751,RING,1,857.1,154.9,856.2,177.7,847.0,283.1,-0.1981,0
43,1.787,RING,1,835.8,152.2,840.2,175.9,834.4,276.8,-0.2153,0
44,1.855,RING,1,822.9,148.8,829.4,174.1,827.8,277.3,-0.2276,0
45,1.883,RING,1,817.0,149.3,824.0,175,819.2,281.3,-0.2361,0
46,1.952,RING,1,811.4,154.9,819.7,179.5,816.7,285.4,-0.2314,0
47,1.984,RING,1,807.9,175.4,818.6,193.3,816.6,297.3,-0.1917,0
48,2.058,RING,1,807.6,207.1,818.7,214.5,818.2,305.4,-0.0839,0
49,2.089,RING,1,806.3,250.8,818.6,226.1,810.9,324.5,0.2502,0
50,2.116,RING,1,803.7,284.3,819.6,234,813.4,332.2,0.4943,0
51,2.185,RING,1,801.5,311.5,821.2,245.4,816.9,331.8,0.7055,0
52,2.253,RING,1,802.8,302,823.4,241.5,816.9,328.4,0.6016,0
53,2.292,RING,1,801.9,281.8,822.4,238.5,820.5,314.2,0.4876,0
54,2.356,RING,1,798.8,251.6,819.2,231.2,815.6,303.4,0.2273,0
55,2.383,RING,1,797.4,220,816.8,220.5,813.9,294,-0.0052,0
56,2.451,RING,1,796.2,193.1,812.8,206.7,809.6,291.6,-0.1365,0
57,2.485,RING,1,794.6,196.6,812.5,208.4,812.7,296.5,-0.1288,0
58,2.521,RING,1,794.1,206.8,812.7,213.3,815.0,304.7,-0.0756,0
59,2.588,RING,1,795.4,224.5,814.5,223.5,814.8,311.5,0.0117,0
60,2.616,RING,1,796.6,252.5,816.5,232.3,814.0,330.4,0.2132,0
61,2.685,RING,1,799.6,281,821.7,241.7,818.8,331.5,0.413,0
62,2.718,RING,1,800.4,282.4,823.3,242.5,820.1,327.1,0.4294,0
63,2.793,RING,1,801.2,274.9,825.2,242.6,823.3,323.5,0.3624,0
64,2.822,RING,1,804.4,262.7,825.6,239.4,827.7,309.6,0.2685,0
65,2.85,RING,1,809.3,239.4,826.7,233.4,826.8,300.8,0.0683,0
66,2.918,RING,1,821.0,200.8,830.0,218.6,830.6,294.1,-0.1932,0
67,2.988,RING,1,826.7,187.7,832.6,210.8,831.0,294.3,-0.2419,0
68,3.027,RING,1,833.2,188.8,835.0,213.9,834.0,301.2,-0.2777,0
69,3.089,RING,1,839.6,198.4,838.2,220.9,836.9,306.7,-0.2681,0
70,3.116,RING,1,843.8,220.7,840.3,235.2,840.1,326.7,-0.186,0
71,3.15,RING,1,850.3,251.8,844.8,247.3,844.6,329.7,0.0544,0
72,3.218,RING,1,866.6,273.1,853.3,263.1,849.5,331.3,0.1352,0
73,3.292,RING,1,882.8,271.5,858.4,262.8,850.2,323.9,0.1177,0
74,3.322,RING,1,890.9,261.4,863.3,258.3,857.8,314.5,0.0398,0
75,3.35,RING,1,904.0,244.7,869.1,254.9,861.8,306.7,-0.1359,0
76,3.419,RING,1,925.7,198,881.1,240,867.1,293.5,-0.5483,0
77,3.488,RING,1,941.0,167.1,891.1,225.9,871.2,291.5,-0.7017,0
78,3.526,RING,1,950.0,160.1,896.2,220.1,874.7,289.2,-0.701,0
79,3.589,RING,1,956.2,160.6,900.1,217.6,875.0,290,-0.6681,0
80,3.616,RING,1,962.3,169.4,901.9,221.1,880.1,297.6,-0.6677,0
81,3.685,RING,1,968.8,188.2,904.3,229.4,880.8,303.1,-0.5647,0
82,3.718,RING,1,969.3,214.6,905.9,238.6,884.8,315.3,-0.3278,0
83,3.793,RING,1,976.7,247.4,906.7,251.9,887.0,321.1,-0.0623,0
84,3.822,RING,1,979.4,260.6,908.3,259.1,888.8,326.8,0.0199,0
85,3.85,RING,1,982.6,260.6,908.8,261.3,889.7,321,-0.0103,0
86,3.883,RING,1,984.5,255.3,910.2,260.1,888.9,317.6,-0.0679,0
87,3.918,RING,1,986.4,247.3,914.0,257.1,892.3,309.6,-0.1405,0
88,3.952,RING,1,987.9,235.5,916.3,253,890.5,303.7,-0.2347,0
89,3.988,RING,1,988.8,217.7,917.9,245.6,890.4,300.6,-0.3548,0
90,4.024,RING,1,991.7,201.1,918.8,236.7,890.0,295,-0.4391,0
91,4.089,RING,1,993.4,184.8,920.4,226.3,890.5,291.4,-0.5007,0
92,4.116,RING,1,995.0,179.4,921.2,222.6,888.9,290,-0.5098,0
93,4.15,RING,1,995.6,179.9,921.8,221.6,891.0,293.4,-0.4967,0
94,4.219,RING,1,995.8,194.1,922.5,228.8,893.1,304.6,-0.4389,0
95,4.293,RING,1,999.2,206.8,921.9,237.5,891.7,310.8,-0.411,0
96,4.323,RING,1,1001.3,219.4,921.1,245.5,891.4,317.6,-0.3565,0
97,4.35,RING,1,1002.8,225.1,920.1,250.6,889.4,315.8,-0.347,0
98,4.383,RING,1,1003.2,227.6,919.8,252.3,891.1,312.4,-0.3425,0
99,4.418,RING,1,1003.3,224.4,920.2,250.3,890.6,307.6,-0.3488,0
100,4.452,RING,1,1002.0,220.7,920.3,246.5,891.3,300.9,-0.3369,0
101,4.488,RING,1,1001.3,212.8,920.7,241,891.3,296.8,-0.3563,0
102,4.525,RING,1,999.8,201.7,921.1,232.7,891.7,293.3,-0.3707,0
103,4.556,RING,1,999.2,189.7,921.8,225.1,891.3,288.5,-0.4144,0
104,4.583,RING,1,998.5,181.1,922.2,219.5,890.3,287.9,-0.4333,0
105,4.617,RING,1,996.9,176.6,922.3,216.2,889.0,288.2,-0.4532,0
106,4.652,RING,1,994.8,177.2,922.2,215.8,888.5,290.8,-0.4503,0
107,4.721,RING,1,985.9,192.4,920.5,223.9,888.3,301.3,-0.3946,0
108,4.759,RING,1,987.2,203.8,920.1,228.9,888.0,306.3,-0.3256,0
109,4.823,RING,1,990.9,219.5,919.3,239.8,889.0,311.8,-0.2694,0
110,4.85,RING,1,994.1,227.3,918.5,246.1,888.6,318.7,-0.2413,0
111,4.884,RING,1,994.0,235.6,917.2,248.6,886.2,315.1,-0.1664,0
112,4.918,RING,1,983.2,241.1,916.5,245.6,886.5,310.9,-0.0547,0
113,4.952,RING,1,960.3,234.5,915.7,242.1,885.4,309.8,-0.0903,0
114,4.988,RING,1,941.4,227.6,914.0,234.7,882.3,305.1,-0.0764,0
115,5.024,RING,1,934.3,211.4,910.9,224.7,877.3,298.2,-0.1436,0
116,5.056,RING,1,925.9,189.6,907.3,215.9,871.7,295.8,-0.2716,0
117,5.083,RING,1,917.5,175.4,903.5,207.4,868.0,291.8,-0.3192,0
118,5.117,RING,1,909.0,165.2,897.9,199.5,863.1,290.2,-0.3315,0
119,5.152,RING,1,899.3,159.6,892.0,194.5,859.1,291.3,-0.3288,0
120,5.222,RING,1,888.7,158.1,885.2,192.1,856.3,290.5,-0.3241,0
121,5.259,RING,1,878.8,169.4,879.5,197.6,852.9,303,-0.2784,0
122,5.289,RING,1,869.6,189,875.2,202.1,853.0,309.4,-0.1367,0
123,5.317,RING,1,858.5,220.5,872.3,212.4,850.5,317.7,0.0873,0
