frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,RING,0,,,,,,,,0
1,0.06,RING,0,,,,,,,,0
2,0.089,RING,0,,,,,,,,0
3,0.123,RING,0,,,,,,,,0
4,0.157,RING,0,,,,,,,,0
5,0.194,RING,0,,,,,,,,0
6,0.225,RING,0,,,,,,,,0
7,0.255,RING,0,,,,,,,,0
8,0.289,RING,0,,,,,,,,0
9,0.324,RING,0,,,,,,,,0
10,0.36,RING,0,,,,,,,,0
11,0.391,RING,0,,,,,,,,0
12,0.422,RING,0,,,,,,,,0
13,0.456,RING,0,,,,,,,,0
14,0.491,RING,0,,,,,,,,0
15,0.528,RING,0,,,,,,,,0
16,0.559,RING,0,,,,,,,,0
17,0.589,RING,0,,,,,,,,0
18,0.623,RING,0,,,,,,,,0
19,0.657,RING,0,,,,,,,,0
20,0.71,RING,0,,,,,,,,0
21,0.718,RING,0,,,,,,,,0
22,0.756,RING,0,,,,,,,,0
23,0.79,RING,1,1304.3,-71.8,1229.0,109.7,1025.2,349.6,-0.6787,0
24,0.819,RING,1,1322.5,-44.9,1192.8,131.8,950.1,367.1,-0.7228,0
25,0.852,RING,1,1290.2,-7,1106.3,170.3,908.7,394.2,-0.7727,0
26,0.887,RING,1,1160.2,53.6,1023.5,218.7,888.1,408.9,-0.8579,0
27,0.923,RING,1,1029.9,113.3,951.5,262.4,857.6,423.8,-0.8874,0
28,0.959,RING,1,937.8,162.1,903.6,290.6,846.3,439.3,-0.7904,0
29,0.997,RING,1,863.7,211.2,866.0,314.6,830.6,442.7,-0.715,0
30,1.027,RING,1,832.2,237.9,843.6,329.4,817.1,444,-0.6865,0
31,1.054,RING,1,820.1,258.6,831.4,340.5,818.8,438.6,-0.6561,0
32,1.088,RING,1,804.2,278.5,822.4,348.5,813.0,433.9,-0.6008,0
33,1.123,RING,1,794.4,292.3,816.4,356,812.2,434.8,-0.5649,0
34,1.157,RING,1,788.0,306.5,813.0,360.7,807.1,436.9,-0.473,0
35,1.192,RING,1,781.8,318.1,808.8,362.7,808.6,438.6,-0.3952,0
36,1.23,RING,1,777.3,332.6,806.7,362.9,804.3,443.7,-0.2542,0
37,1.26,RING,1,774.8,342.8,806.4,366.3,807.4,445.4,-0.201,0
38,1.287,RING,1,776.3,350.3,806.5,368,805.0,445.8,-0.1536,0
39,1.321,RING,1,776.1,359.6,808.9,369.7,811.2,447.2,-0.092,0
40,1.356,RING,1,778.6,366.1,810.1,371.9,812.9,449.5,-0.0538,0
41,1.39,RING,1,781.6,373,810.7,376.5,814.9,458.6,-0.0312,0
42,1.426,RING,1,785.4,380.5,811.5,379.7,811.2,459.7,0.0069,0
43,1.463,RING,1,787.4,388.7,812.4,385.4,811.2,461.2,0.0319,0
44,1.494,RING,1,789.4,393.7,812.6,388.3,808.4,463,0.0531,0
45,1.521,RING,1,790.7,397.7,812.3,390.9,802.7,461.4,0.0677,0
46,1.556,RING,1,794.5,399.6,811.4,394.3,796.0,460.6,0.0541,0
47,1.589,RING,1,798.3,402.4,809.9,395.3,787.7,461.3,0.0722,0
48,1.624,RING,1,803.2,403.5,810.4,396,789.2,456.9,0.0791,0
49,1.658,RING,1,808.8,404.4,811.6,396.1,796.1,457,0.0856,0
50,1.694,RING,1,811.9,403.6,811.1,396.7,783.4,458.5,0.0717,0
51,1.731,RING,1,816.9,402.3,811.3,398.1,783.4,457.6,0.0447,0
52,1.761,RING,1,822.7,403.1,811.8,399.2,783.3,461.1,0.042,0
53,1.788,RING,1,825.3,406.2,812.0,401,775.5,458.8,0.0555,0
54,1.822,RING,1,828.3,419.6,812.1,402.5,774.4,461.2,0.1861,0
55,1.857,RING,1,828.1,451.9,814.1,403.2,779.1,461.2,0.5246,0
56,1.891,RING,1,827.8,504.4,814.0,399.8,764.7,454.2,1.145,1
57,1.927,RING,1,826.7,536.6,814.4,398.7,768.3,465.3,1.436,0
58,1.962,RING,1,825.3,541.7,814.4,399.3,757.2,468.3,1.4858,0
59,1.995,RING,1,822.8,539.1,815.4,398.6,763.5,463.9,1.4116,0
60,2.022,RING,1,820.2,535.8,815.8,398.8,766.8,459.5,1.4701,0
61,2.056,RING,1,817.7,523.6,816.6,399,772.3,458.1,1.338,0
62,2.09,RING,1,814.2,512.7,815.2,401.9,772.3,460.5,1.3167,0
63,2.125,RING,1,814.3,485.7,814.8,403.2,772.7,461.7,0.8648,0
64,2.159,RING,1,813.9,459.5,814.4,403.9,780.0,455.8,0.652,0
65,2.195,RING,1,812.6,446,814.4,402.9,784.1,460.5,0.4499,0
66,2.228,RING,1,812.4,434.2,814.7,402.5,787.9,463.9,0.3213,0
67,2.254,RING,1,812.3,431.1,815.0,402.3,789.3,463.7,0.2894,0
