frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,RING,0,,,,,,,,0
1,0.06,RING,0,,,,,,,,0
2,0.089,RING,0,,,,,,,,0
3,0.123,RING,0,,,,,,,,0
4,0.157,RING,0,,,,,,,,0
5,0.194,RING,0,,,,,,,,0
6,0.225,RING,0,,,,,,,,0
7,0.255,RING,0,,,,,,,,0
8,0.289,RING,0,,,,,,,,0
9,0.324,RING,0,,,,,,,,0
10,0.36,RING,0,,,,,,,,0
11,0.391,RING,0,,,,,,,,0
12,0.422,RING,0,,,,,,,,0
13,0.456,RING,0,,,,,,,,0
14,0.491,RING,0,,,,,,,,0
15,0.528,RING,0,,,,,,,,0
16,0.559,RING,0,,,,,,,,0
17,0.589,RING,0,,,,,,,,0
18,0.623,RING,0,,,,,,,,0
19,0.657,RING,0,,,,,,,,0
20,0.71,RING,0,,,,,,,,0
21,0.718,RING,0,,,,,,,,0
22,0.756,RING,0,,,,,,,,0
23,0.79,RING,1,-24.3,-71.8,51,109.7,254.8,349.6,-0.6787,0
24,0.819,RING,1,-42.5,-44.9,87.2,131.8,329.9,367.1,-0.7228,0
25,0.852,RING,1,-10.2,-7,173.7,170.3,371.3,394.2,-0.7727,0
26,0.887,RING,1,119.8,53.6,256.5,218.7,391.9,408.9,-0.8579,0
27,0.923,RING,1,250.1,113.3,328.5,262.4,422.4,423.8,-0.8874,0
28,0.959,RING,1,342.2,162.1,376.4,290.6,433.7,439.3,-0.7904,0
29,0.997,RING,1,416.3,211.2,414,314.6,449.4,442.7,-0.715,0
30,1.027,RING,1,447.8,237.9,436.4,329.4,462.9,444,-0.6865,0
31,1.054,RING,1,459.9,258.6,448.6,340.5,461.2,438.6,-0.6561,0
32,1.088,RING,1,475.8,278.5,457.6,348.5,467,433.9,-0.6008,0
33,1.123,RING,1,485.6,292.3,463.6,356,467.8,434.8,-0.5649,0
34,1.157,RING,1,492,306.5,467,360.7,472.9,436.9,-0.473,0
35,1.192,RING,1,498.2,318.1,471.2,362.7,471.4,438.6,-0.3952,0
36,1.23,RING,1,502.7,332.6,473.3,362.9,475.7,443.7,-0.2542,0
37,1.26,RING,1,505.2,342.8,473.6,366.3,472.6,445.4,-0.201,0
38,1.287,RING,1,503.7,350.3,473.5,368,475,445.8,-0.1536,0
39,1.321,RING,1,503.9,359.6,471.1,369.7,468.8,447.2,-0.092,0
40,1.356,RING,1,501.4,366.1,469.9,371.9,467.1,449.5,-0.0538,0
41,1.39,RING,1,498.4,373,469.3,376.5,465.1,458.6,-0.0312,0
42,1.426,RING,1,494.6,380.5,468.5,379.7,468.8,459.7,0.0069,0
43,1.463,RING,1,492.6,388.7,467.6,385.4,468.8,461.2,0.0319,0
44,1.494,RING,1,490.6,393.7,467.4,388.3,471.6,463,0.0531,0
45,1.521,RING,1,489.3,397.7,467.7,390.9,477.3,461.4,0.0677,0
46,1.556,RING,1,485.5,399.6,468.6,394.3,484,460.6,0.0541,0
47,1.589,RING,1,481.7,402.4,470.1,395.3,492.3,461.3,0.0722,0
48,1.624,RING,1,476.8,403.5,469.6,396,490.8,456.9,0.0791,0
49,1.658,RING,1,471.2,404.4,468.4,396.1,483.9,457,0.0856,0
50,1.694,RING,1,468.1,403.6,468.9,396.7,496.6,458.5,0.0717,0
51,1.731,RING,1,463.1,402.3,468.7,398.1,496.6,457.6,0.0447,0
52,1.761,RING,1,457.3,403.1,468.2,399.2,496.7,461.1,0.042,0
53,1.788,RING,1,454.7,406.2,468,401,504.5,458.8,0.0555,0
54,1.822,RING,1,451.7,419.6,467.9,402.5,505.6,461.2,0.1861,0
55,1.857,RING,1,451.9,451.9,465.9,403.2,500.9,461.2,0.5246,0
56,1.891,RING,1,452.2,504.4,466,399.8,515.3,454.2,1.145,1
57,1.927,RING,1,453.3,536.6,465.6,398.7,511.7,465.3,1.436,0
58,1.962,RING,1,454.7,541.7,465.6,399.3,522.8,468.3,1.4858,0
59,1.995,RING,1,457.2,539.1,464.6,398.6,516.5,463.9,1.4116,0
60,2.022,RING,1,459.8,535.8,464.2,398.8,513.2,459.5,1.4701,0
61,2.056,RING,1,462.3,523.6,463.4,399,507.7,458.1,1.338,0
62,2.09,RING,1,465.8,512.7,464.8,401.9,507.7,460.5,1.3167,0
63,2.125,RING,1,465.7,485.7,465.2,403.2,507.3,461.7,0.8648,0
64,2.159,RING,1,466.1,459.5,465.6,403.9,500,455.8,0.652,0
65,2.195,RING,1,467.4,446,465.6,402.9,495.9,460.5,0.4499,0
66,2.228,RING,1,467.6,434.2,465.3,402.5,492.1,463.9,0.3213,0
67,2.254,RING,1,467.7,431.1,465,402.3,490.7,463.7,0.2894,0
