frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.029,RING,0,,,,,,,,0
1,0.062,RING,0,,,,,,,,0
2,0.097,RING,0,,,,,,,,0
3,0.128,RING,0,,,,,,,,0
4,0.159,RING,0,,,,,,,,0
5,0.193,RING,0,,,,,,,,0
6,0.227,RING,0,,,,,,,,0
7,0.264,RING,0,,,,,,,,0
8,0.295,RING,0,,,,,,,,0
9,0.325,RING,0,,,,,,,,0
10,0.359,RING,0,,,,,,,,0
11,0.394,RING,0,,,,,,,,0
12,0.431,RING,0,,,,,,,,0
13,0.462,RING,0,,,,,,,,0
14,0.492,RING,0,,,,,,,,0
15,0.526,RING,0,,,,,,,,0
16,0.561,RING,0,,,,,,,,0
17,0.597,RING,0,,,,,,,,0
18,0.628,RING,0,,,,,,,,0
19,0.659,RING,0,,,,,,,,0
20,0.693,RING,0,,,,,,,,0
21,0.728,RING,0,,,,,,,,0
22,0.764,RING,0,,,,,,,,0
23,0.795,RING,0,,,,,,,,0
24,0.825,RING,0,,,,,,,,0
25,0.861,RING,0,,,,,,,,0
26,0.895,RING,0,,,,,,,,0
27,0.932,RING,0,,,,,,,,0
28,0.963,RING,0,,,,,,,,0
29,1.006,RING,0,,,,,,,,0
30,1.04,RING,0,,,,,,,,0
31,1.075,RING,1,-124.7,65.6,7.5,148.4,162.7,291.2,-0.4676,0
32,1.097,RING,1,-102.5,65.8,39.1,155.7,216.1,311.4,-0.5261,0
33,1.133,RING,1,70.3,103.5,120,174.5,265.3,318.9,-0.4302,0
34,1.164,RING,1,206.2,175.3,181.1,182,299.6,329.6,-0.0384,0
35,1.19,RING,1,265.9,288.1,247.9,205.9,343.7,333.4,0.5872,0
36,1.226,RING,1,323.7,335.5,310.6,222,380.8,333,0.8198,0
37,1.259,RING,1,371,365.1,352.8,227.8,421.8,332.9,1.0307,0
38,1.295,RING,1,411.5,379.5,380.6,240.2,459.8,350.3,1.056,0
39,1.329,RING,1,442.4,397.2,401.2,256.2,464.9,349.9,1.2318,0
