frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.02,RING,0,,,,,,,,0
1,0.063,RING,0,,,,,,,,0
2,0.106,RING,0,,,,,,,,0
3,0.127,RING,0,,,,,,,,0
4,0.149,RING,0,,,,,,,,0
5,0.192,RING,0,,,,,,,,0
6,0.214,RING,0,,,,,,,,0
7,0.234,RING,0,,,,,,,,0
8,0.267,RING,0,,,,,,,,0
9,0.298,RING,0,,,,,,,,0
10,0.353,RING,0,,,,,,,,0
11,0.375,RING,0,,,,,,,,0
12,0.398,RING,0,,,,,,,,0
13,0.432,RING,0,,,,,,,,0
14,0.465,RING,0,,,,,,,,0
15,0.498,RING,0,,,,,,,,0
16,0.532,RING,0,,,,,,,,0
17,0.564,RING,0,,,,,,,,0
18,0.599,RING,0,,,,,,,,0
19,0.632,RING,0,,,,,,,,0
20,0.665,RING,0,,,,,,,,0
21,0.698,RING,0,,,,,,,,0
22,0.733,RING,0,,,,,,,,0
23,0.765,RING,0,,,,,,,,0
24,0.8,RING,0,,,,,,,,0
25,0.832,RING,0,,,,,,,,0
26,0.866,RING,0,,,,,,,,0
27,0.898,RING,0,,,,,,,,0
28,0.932,RING,0,,,,,,,,0
29,0.966,RING,0,,,,,,,,0
30,0.999,RING,0,,,,,,,,0
31,1.054,RING,1,-167.4,162.2,60.4,238.4,249.6,359.2,-0.4115,0
32,1.078,RING,1,59.2,210.6,94.1,242.3,323.1,355.6,-0.1687,0
33,1.102,RING,1,146.8,250,146.5,244.2,336.8,370.5,0.0335,0
34,1.14,RING,1,169.3,321.8,218.3,273,328.7,378.1,0.3716,0
35,1.168,RING,1,227.8,355.6,271.1,297.8,361.4,384.1,0.5108,0
36,1.202,RING,1,272,382.4,316,317.9,384.8,395,0.6014,0
37,1.235,RING,1,302.3,393.8,345.1,332.3,405.7,406.2,0.5988,0
38,1.268,RING,1,325.4,417.8,365.7,340.6,421.2,410.2,0.7443,0
39,1.3,RING,1,346.8,436.3,377.8,346.3,428.8,411.6,0.8997,0
40,1.333,RING,1,361.9,452.6,388,350.7,434.3,413,1.0338,0
41,1.367,RING,1,380.3,475.9,395.3,346.8,441.7,413.5,1.2218,0
42,1.4,RING,1,388.6,486.4,400.3,343.7,442.8,412.7,1.3707,0
43,1.433,RING,1,391.2,489.5,405.2,342.3,444.8,413,1.4454,0
44,1.467,RING,1,390.9,489.4,409.7,341.7,449.4,417.5,1.4203,0
45,1.5,RING,1,392.9,491.5,414.9,342.5,457,417.6,1.4675,0
46,1.533,RING,1,396,492.3,419.7,343.4,462.7,418.9,1.4663,0
47,1.567,RING,1,400.9,492.7,425,343.3,469.6,416.1,1.4915,0
48,1.6,RING,1,406,492.4,428.6,343.8,468.5,414,1.5107,0
49,1.634,RING,1,412.7,493.5,433,343,470.6,414.1,1.5067,0
50,1.666,RING,1,417.7,492.5,436.4,344.2,472.2,413.3,1.5605,0
51,1.7,RING,1,422.6,490.9,440.8,348.3,479.8,421.1,1.4845,0
52,1.734,RING,1,427.7,490,445.6,348.1,479.5,413.5,1.5042,0
53,1.767,RING,1,436.6,488,450.6,347.9,490.2,413.9,1.4281,0
54,1.8,RING,1,446.5,487.7,458,345.3,492.5,404.8,1.4868,0
55,1.833,RING,1,455.9,485.3,465.9,344.3,500.2,407.4,1.498,0
56,1.866,RING,1,465.6,482.6,477,343.8,516.9,406.1,1.5062,0
57,1.901,RING,1,475.9,480.7,487.7,342.2,520.5,402.1,1.5206,0
58,1.933,RING,1,488.9,480.5,494.2,342.3,525.8,413.3,1.3627,0
59,1.966,RING,1,500.6,479.4,500.8,342.2,533.4,409.7,1.3944,0
60,2,RING,1,512.7,478,510.5,341.7,545.6,410.2,1.416,0
61,2.034,RING,1,524.2,476.8,518.6,339.2,552.1,408.4,1.4023,0
62,2.066,RING,1,532.7,475.6,525.5,337,553,403,1.4679,0
63,2.101,RING,1,541.2,475.2,527.2,336.8,549.1,402,1.3839,0
64,2.134,RING,1,551.8,474.9,531.8,336.7,552.3,402.2,1.3745,0
65,2.168,RING,1,558,475.4,536.4,336.1,556,411.9,1.2868,0
66,2.2,RING,1,576.4,473,542.7,333.9,560.2,401.5,1.3718,0
67,2.234,RING,1,588.8,473.6,549.3,332.7,561.3,410.5,1.3358,0
68,2.268,RING,1,589.1,473.6,555.1,331.5,568.5,406.7,1.3875,0
69,2.301,RING,1,589.6,474,559.4,331,573.9,404.6,1.434,0
70,2.336,RING,1,593.3,473.4,563.3,330.1,577.9,401.4,1.4798,0
71,2.37,RING,1,594.8,473.5,565.8,329.7,581,402.1,1.4617,0
72,2.403,RING,1,600.5,471.7,567.1,330,583,407.4,1.3992,0
73,2.436,RING,1,606.7,469.8,566,330.9,581.7,410.3,1.3642,0
74,2.468,RING,1,610.8,468,564.8,331.3,582.2,412,1.3104,0
75,2.503,RING,1,624,465.1,564.1,330.5,576.9,410.7,1.2733,0
76,2.536,RING,1,622.6,465,562.5,331.1,578.1,415.9,1.2356,0
77,2.569,RING,1,628.3,461.8,561,331.2,575.2,415.8,1.1797,0
78,2.603,RING,1,621.7,463.4,559.6,330.8,578.3,414.7,1.1991,0
79,2.635,RING,1,636,449,558.3,329.7,576.1,404.3,1.152,0
80,2.669,RING,1,709.9,416.9,609.4,327.4,605.2,377.4,1.0057,0
81,2.702,RING,1,729.6,388.8,637.2,328.2,625.2,388,0.6923,0
82,2.736,RING,1,693.8,416.9,612.1,330.9,597.4,400.4,0.9843,0
83,2.768,RING,1,641.6,427.3,579.9,331.4,591.4,399.1,1.0054,0
84,2.803,RING,1,589.6,455.3,556.8,330.6,586,397.8,1.2301,0
85,2.836,RING,1,560.9,470.6,542.1,329.8,584.1,399.4,1.318,0
86,2.87,RING,1,561.2,473.5,535.4,329.7,581.3,392.8,1.4629,0
87,2.902,RING,1,644.2,434.7,574.2,321.4,603.5,367.5,1.1688,0
88,2.936,RING,1,600.2,463.7,562.3,324.4,608.5,390.6,1.4258,0
89,2.969,RING,1,573.2,479.1,553.6,324.1,603.5,397,1.422,0
90,3.002,RING,1,579.2,476.6,549.8,323.9,591.4,403.2,1.3985,0
91,3.035,RING,1,581.6,475.1,545.6,323.6,584.1,395.9,1.2984,0
92,3.069,RING,1,616.3,464.4,547,323.1,565.4,398.7,1.2046,0
93,3.102,RING,1,630.2,441.6,547.8,322.2,558.3,381.1,1.0763,0
94,3.136,RING,1,688.6,418.3,579.9,315.2,577,356.4,0.8979,0
95,3.168,RING,0,,,,,,,,0
96,3.2,RING,0,,,,,,,,0
97,3.233,RING,0,,,,,,,,0
98,3.288,RING,1,659.1,445.8,619.3,324.8,610.3,416.2,1.0325,0
99,3.313,RING,1,596.1,449.7,583.9,359.4,579.3,386.1,1.2185,0
100,3.339,RING,0,,,,,,,,0
101,3.387,RING,1,737.9,408.6,665.3,325.9,634.6,377.9,0.8847,0
102,3.412,RING,1,614.1,458.5,601.1,332.1,618.1,392.5,1.4093,0
103,3.437,RING,1,569.5,479,568.5,335.7,605.4,404.7,1.4562,0
104,3.47,RING,1,574.3,476.2,554,335.4,588,401,1.4246,0
105,3.502,RING,1,641.3,454.8,591.5,332.7,593.7,369.6,1.5188,0
106,3.536,RING,1,591,470.5,565.7,336.6,586.3,399.7,1.5277,0
107,3.569,RING,1,638.9,457.2,588.4,335.1,599.8,377.1,1.5791,0
108,3.602,RING,1,687.8,420,611.9,335.9,599.2,384,0.8871,0
109,3.636,RING,1,639.1,436,586.3,340.5,589.9,414.2,1.0662,0
110,3.668,RING,1,587,460.4,561.4,339.7,575.5,397.6,1.2808,0
111,3.703,RING,1,686.5,433.7,602.8,336.2,597.5,381.4,1.0057,0
112,3.737,RING,1,627.5,450.9,577.3,337.7,595.8,411.9,1.1162,0
113,3.77,RING,1,588.7,469.6,554.3,337.3,581.2,408.3,1.2504,0
114,3.803,RING,1,610.4,459.3,549.4,336.1,569.5,394,1.2123,0
115,3.835,RING,1,574.1,454,557.9,348.6,589.1,375.8,1.5785,0
116,3.868,RING,1,594.2,448.1,537.2,351.8,518.4,429.4,1.3217,0
117,3.902,RING,0,,,,,,,,0
118,3.955,RING,1,719.3,414.6,632.1,324.2,591.9,388.5,0.9092,0
119,3.979,RING,1,607.7,448.8,564.3,328.7,557.9,407,1.265,0
120,4.004,RING,1,597.3,456.3,550.9,329.6,552.6,388.2,1.3907,0
121,4.035,RING,0,,,,,,,,0
122,4.087,RING,1,517.8,467.9,482.1,364.5,528.1,409.5,0.9569,0
123,4.113,RING,1,639.7,435.8,560.5,353.4,559.2,361.8,0.8782,0
124,4.138,RING,1,600.8,449.9,533.4,353.3,560.8,412.6,0.9584,0
125,4.168,RING,1,530.2,470.3,516.6,350.7,554.7,414.4,1.1115,0
126,4.203,RING,1,490.1,485.5,494.7,349.2,550.2,416.5,1.2211,0
127,4.235,RING,1,467.6,496.6,477.2,349.3,539.8,426.9,1.2793,0
128,4.27,RING,1,452.3,501,463.6,349,530.9,424.1,1.3571,0
129,4.302,RING,1,439.9,504,455.2,349.7,523,420.8,1.4469,0
130,4.336,RING,1,427.5,505.2,446.3,350.5,517.6,422,1.4303,0
131,4.369,RING,1,415.3,507,434.1,352,500.4,425.4,1.4529,0
132,4.403,RING,1,403.6,507.7,426.3,351.9,495.8,425.1,1.4164,0
133,4.435,RING,1,394.8,508.4,419.9,352.3,488.6,423,1.4636,0
134,4.47,RING,1,388.1,509.1,414.5,352.6,484.2,424.9,1.4535,0
135,4.503,RING,1,382.4,509.3,410,352.9,479.7,424.6,1.4636,0
136,4.536,RING,1,378.1,509.6,406.2,352.8,476.4,427.2,1.4474,0
137,4.569,RING,1,375.3,509.9,403,352.8,476.4,427.1,1.4251,0
138,4.604,RING,1,372.1,509.8,398.7,355.2,473.9,430.3,1.4136,0
139,4.636,RING,1,372,508.4,396.5,357.6,470.4,430.7,1.4035,0
140,4.668,RING,1,371,508.3,395.2,357.9,472.5,429.6,1.3753,0
141,4.703,RING,1,372.7,508.5,395.5,358.9,473.9,429.6,1.4124,0
142,4.736,RING,1,372.9,508.3,395.8,359.7,475.3,428.9,1.3886,0
143,4.771,RING,1,372.5,507.6,395.8,361,471.5,430.2,1.3875,0
144,4.802,RING,1,372.1,507.3,396.6,359.9,474.8,426.7,1.3693,0
145,4.837,RING,1,370.9,507,396.2,359.8,471.9,428.8,1.3795,0
146,4.87,RING,1,370.2,505.6,395.2,359.6,468,423.9,1.404,0
147,4.903,RING,1,368.2,505,393.4,359.5,464.7,426.2,1.3753,0
148,4.936,RING,1,365.7,503.9,390.7,358.6,458.7,422.1,1.3789,0
149,4.969,RING,1,361.6,503.4,387.9,357.7,455.2,423,1.3749,0
150,5.003,RING,1,358.2,502.7,385.6,357.2,450.6,423.5,1.3841,0
151,5.037,RING,1,353.6,502,385.1,354.3,452.7,423.5,1.3597,0
152,5.07,RING,1,349.5,501.3,383,352.4,447,415.5,1.4566,0
153,5.103,RING,1,347.6,500,381,349.9,445.3,417.4,1.3999,0
154,5.137,RING,1,345.9,498.5,379.4,350,440.9,417.3,1.445,0
155,5.168,RING,1,344.1,495.3,380.2,348.3,440,412.8,1.4512,0
156,5.204,RING,1,343.8,491.9,382.9,345.7,442.4,405.8,1.4904,0
157,5.236,RING,1,343.2,490.7,384.9,342.8,441.2,398.8,1.5298,0
158,5.27,RING,1,342.1,489.6,387.3,341.1,438.2,397.8,1.5407,0
159,5.304,RING,1,343.8,487.5,390.4,339.8,442,397.1,1.5599,0
160,5.337,RING,1,344.6,486.3,392.2,338.7,439.4,396.7,1.5401,0
161,5.369,RING,1,346,483.7,393.6,337.7,438.6,399.7,1.5244,0
162,5.404,RING,1,346.3,482.1,394.4,337.4,439.9,398.6,1.5119,0
163,5.437,RING,1,346.4,481.3,394.4,337.4,438.8,398.2,1.4838,0
164,5.47,RING,1,345.3,479.5,393.5,338,435.9,398.6,1.4594,0
165,5.504,RING,1,345,478.7,393.2,338.3,435.8,399.3,1.453,0
166,5.537,RING,1,344.5,477.6,392.5,338.7,434.3,398.2,1.4616,0
167,5.569,RING,1,343.8,476.3,391.9,339.1,432,399.8,1.4607,0
168,5.603,RING,1,344.1,475.4,392,338.9,434.8,400,1.4456,0
169,5.637,RING,1,343.3,474.8,391.3,339.4,433.7,401.5,1.4324,0
170,5.669,RING,1,342.3,473.5,390.5,339.5,431.8,398.4,1.4589,0
171,5.703,RING,1,343.1,471.8,390.3,339.4,432.6,401.4,1.4476,0
172,5.736,RING,1,344.5,470.3,391.3,339.5,436.5,398.1,1.5024,0
173,5.77,RING,1,348.6,470.4,393.9,339.4,440.1,399.8,1.5235,0
174,5.803,RING,1,355,469.8,399.3,340.5,446.2,393.8,1.6905,0
175,5.838,RING,1,362.6,469.9,407.9,341.1,451.7,393.5,1.7058,0
176,5.87,RING,1,371,468.4,415.3,340.9,450.8,389.5,1.7791,0
177,5.904,RING,1,384.4,466.7,425.3,339.7,459.2,387.7,1.7111,0
178,5.937,RING,1,398.5,463.8,434.7,338.5,466.4,383.4,1.8177,0
179,5.97,RING,1,414.5,460.8,444.8,338,475.6,384.7,1.7836,0
180,6.002,RING,1,424.9,456.5,453.9,337.5,480.9,378.6,1.8429,0
181,6.037,RING,1,445,453.3,462.6,336.5,484.9,389,1.4143,0
182,6.071,RING,1,486,444.2,471.7,336.5,495.7,394.8,1.2856,0
183,6.103,RING,1,506.8,443.4,478.5,335.7,500.5,395.9,1.279,0
184,6.137,RING,1,525.7,438.5,485.5,334.1,503.6,389.3,1.2948,0
185,6.171,RING,1,545.8,426.1,494.7,332.5,510.9,381.9,1.1663,0
186,6.202,RING,1,585.2,416.3,535.5,331.2,526.5,361.7,1.3453,0
187,6.236,RING,0,,,,,,,,0
188,6.288,RING,1,588.1,407.3,538.4,338.7,504.4,370.1,0.6645,0
189,6.313,RING,1,606.5,400.6,548.5,340.5,527.3,362.5,0.522,0
190,6.34,RING,0,,,,,,,,0
191,6.392,RING,1,575.3,415.9,531,337.8,506.5,367.7,0.7739,0
192,6.417,RING,1,590.1,407.9,536.5,339.5,519,359.5,0.5811,0
193,6.443,RING,0,,,,,,,,0
194,6.488,RING,1,574.4,404.2,532.6,325.6,507.6,353.5,0.8419,0
195,6.513,RING,0,,,,,,,,0
196,6.558,RING,1,560.3,415.4,550.8,331,556.9,401,0.855,0
197,6.583,RING,1,560.6,410,544,333.3,546.1,400,1.1743,0
198,6.608,RING,1,578.5,401.3,544.3,343,527.3,367.7,1.7198,0
