frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.047,RING,0,,,,,,,,0
1,0.078,RING,0,,,,,,,,0
2,0.146,RING,0,,,,,,,,0
3,0.223,RING,0,,,,,,,,0
4,0.258,RING,0,,,,,,,,0
5,0.3,RING,0,,,,,,,,0
6,0.321,RING,0,,,,,,,,0
7,0.353,RING,0,,,,,,,,0
8,0.418,RING,0,,,,,,,,0
9,0.454,RING,0,,,,,,,,0
10,0.52,RING,0,,,,,,,,0
11,0.55,RING,0,,,,,,,,0
12,0.62,RING,0,,,,,,,,0
13,0.653,RING,0,,,,,,,,0
14,0.684,RING,0,,,,,,,,0
15,0.717,RING,0,,,,,,,,0
16,0.753,RING,0,,,,,,,,0
17,0.789,RING,0,,,,,,,,0
18,0.82,RING,0,,,,,,,,0
19,0.851,RING,0,,,,,,,,0
20,0.895,RING,0,,,,,,,,0
21,0.918,RING,0,,,,,,,,0
22,0.951,RING,0,,,,,,,,0
23,1,RING,0,,,,,,,,0
24,1.019,RING,0,,,,,,,,0
25,1.054,RING,0,,,,,,,,0
26,1.086,RING,0,,,,,,,,0
27,1.118,RING,0,,,,,,,,0
28,1.162,RING,0,,,,,,,,0
29,1.195,RING,0,,,,,,,,0
30,1.229,RING,0,,,,,,,,0
31,1.305,RING,1,-43.4,-2.8,87,89.2,201.4,248.1,-0.5028,0
32,1.324,RING,1,-21.3,-0.7,103.5,94.1,231.8,263.1,-0.5417,0
33,1.346,RING,1,21.7,24.8,145.8,105.3,253.8,264.9,-0.4904,0
34,1.38,RING,1,92.4,72.8,202.4,123.3,285.5,268.3,-0.3259,0
35,1.448,RING,1,231.7,120.3,267,146.8,331.3,283,-0.18,0
36,1.481,RING,1,250.7,143.9,297.4,159,352.1,285.4,-0.1111,0
37,1.551,RING,1,279,161.9,324.8,171.2,365,286.1,-0.0723,0
38,1.589,RING,1,329,168,356.4,179.1,392.1,285.7,-0.0983,0
39,1.622,RING,1,358.5,168.9,377.8,181.8,400.6,293.1,-0.1087,0
40,1.649,RING,1,381.3,166.5,394.9,181.1,412.3,287.8,-0.1245,0
41,1.718,RING,1,406.7,158.4,413.4,179.2,422.7,286.4,-0.1787,0
42,1.751,RING,1,422.9,154.9,423.8,177.7,433,283.1,-0.1981,0
43,1.787,RING,1,444.2,152.2,439.8,175.9,445.6,276.8,-0.2153,0
44,1.855,RING,1,457.1,148.8,450.6,174.1,452.2,277.3,-0.2276,0
45,1.883,RING,1,463,149.3,456,175,460.8,281.3,-0.2361,0
46,1.952,RING,1,468.6,154.9,460.3,179.5,463.3,285.4,-0.2314,0
47,1.984,RING,1,472.1,175.4,461.4,193.3,463.4,297.3,-0.1917,0
48,2.058,RING,1,472.4,207.1,461.3,214.5,461.8,305.4,-0.0839,0
49,2.089,RING,1,473.7,250.8,461.4,226.1,469.1,324.5,0.2502,0
50,2.116,RING,1,476.3,284.3,460.4,234,466.6,332.2,0.4943,0
51,2.185,RING,1,478.5,311.5,458.8,245.4,463.1,331.8,0.7055,0
52,2.253,RING,1,477.2,302,456.6,241.5,463.1,328.4,0.6016,0
53,2.292,RING,1,478.1,281.8,457.6,238.5,459.5,314.2,0.4876,0
54,2.356,RING,1,481.2,251.6,460.8,231.2,464.4,303.4,0.2273,0
55,2.383,RING,1,482.6,220,463.2,220.5,466.1,294,-0.0052,0
56,2.451,RING,1,483.8,193.1,467.2,206.7,470.4,291.6,-0.1365,0
57,2.485,RING,1,485.4,196.6,467.5,208.4,467.3,296.5,-0.1288,0
58,2.521,RING,1,485.9,206.8,467.3,213.3,465,304.7,-0.0756,0
59,2.588,RING,1,484.6,224.5,465.5,223.5,465.2,311.5,0.0117,0
60,2.616,RING,1,483.4,252.5,463.5,232.3,466,330.4,0.2132,0
61,2.685,RING,1,480.4,281,458.3,241.7,461.2,331.5,0.413,0
62,2.718,RING,1,479.6,282.4,456.7,242.5,459.9,327.1,0.4294,0
63,2.793,RING,1,478.8,274.9,454.8,242.6,456.7,323.5,0.3624,0
64,2.822,RING,1,475.6,262.7,454.4,239.4,452.3,309.6,0.2685,0
65,2.85,RING,1,470.7,239.4,453.3,233.4,453.2,300.8,0.0683,0
66,2.918,RING,1,459,200.8,450,218.6,449.4,294.1,-0.1932,0
67,2.988,RING,1,453.3,187.7,447.4,210.8,449,294.3,-0.2419,0
68,3.027,RING,1,446.8,188.8,445,213.9,446,301.2,-0.2777,0
69,3.089,RING,1,440.4,198.4,441.8,220.9,443.1,306.7,-0.2681,0
70,3.116,RING,1,436.2,220.7,439.7,235.2,439.9,326.7,-0.186,0
71,3.15,RING,1,429.7,251.8,435.2,247.3,435.4,329.7,0.0544,0
72,3.218,RING,1,413.4,273.1,426.7,263.1,430.5,331.3,0.1352,0
73,3.292,RING,1,397.2,271.5,421.6,262.8,429.8,323.9,0.1177,0
74,3.322,RING,1,389.1,261.4,416.7,258.3,422.2,314.5,0.0398,0
75,3.35,RING,1,376,244.7,410.9,254.9,418.2,306.7,-0.1359,0
76,3.419,RING,1,354.3,198,398.9,240,412.9,293.5,-0.5483,0
77,3.488,RING,1,339,167.1,388.9,225.9,408.8,291.5,-0.7017,0
78,3.526,RING,1,330,160.1,383.8,220.1,405.3,289.2,-0.701,0
79,3.589,RING,1,323.8,160.6,379.9,217.6,405,290,-0.6681,0
80,3.616,RING,1,317.7,169.4,378.1,221.1,399.9,297.6,-0.6677,0
81,3.685,RING,1,311.2,188.2,375.7,229.4,399.2,303.1,-0.5647,0
82,3.718,RING,1,310.7,214.6,374.1,238.6,395.2,315.3,-0.3278,0
83,3.793,RING,1,303.3,247.4,373.3,251.9,393,321.1,-0.0623,0
84,3.822,RING,1,300.6,260.6,371.7,259.1,391.2,326.8,0.0199,0
85,3.85,RING,1,297.4,260.6,371.2,261.3,390.3,321,-0.0103,0
86,3.883,RING,1,295.5,255.3,369.8,260.1,391.1,317.6,-0.0679,0
87,3.918,RING,1,293.6,247.3,366,257.1,387.7,309.6,-0.1405,0
88,3.952,RING,1,292.1,235.5,363.7,253,389.5,303.7,-0.2347,0
89,3.988,RING,1,291.2,217.7,362.1,245.6,389.6,300.6,-0.3548,0
90,4.024,RING,1,288.3,201.1,361.2,236.7,390,295,-0.4391,0
91,4.089,RING,1,286.6,184.8,359.6,226.3,389.5,291.4,-0.5007,0
92,4.116,RING,1,285,179.4,358.8,222.6,391.1,290,-0.5098,0
93,4.15,RING,1,284.4,179.9,358.2,221.6,389,293.4,-0.4967,0
94,4.219,RING,1,284.2,194.1,357.5,228.8,386.9,304.6,-0.4389,0
95,4.293,RING,1,280.8,206.8,358.1,237.5,388.3,310.8,-0.411,0
96,4.323,RING,1,278.7,219.4,358.9,245.5,388.6,317.6,-0.3565,0
97,4.35,RING,1,277.2,225.1,359.9,250.6,390.6,315.8,-0.347,0
98,4.383,RING,1,276.8,227.6,360.2,252.3,388.9,312.4,-0.3425,0
99,4.418,RING,1,276.7,224.4,359.8,250.3,389.4,307.6,-0.3488,0
100,4.452,RING,1,278,220.7,359.7,246.5,388.7,300.9,-0.3369,0
101,4.488,RING,1,278.7,212.8,359.3,241,388.7,296.8,-0.3563,0
102,4.525,RING,1,280.2,201.7,358.9,232.7,388.3,293.3,-0.3707,0
103,4.556,RING,1,280.8,189.7,358.2,225.1,388.7,288.5,-0.4144,0
104,4.583,RING,1,281.5,181.1,357.8,219.5,389.7,287.9,-0.4333,0
105,4.617,RING,1,283.1,176.6,357.7,216.2,391,288.2,-0.4532,0
106,4.652,RING,1,285.2,177.2,357.8,215.8,391.5,290.8,-0.4503,0
107,4.721,RING,1,294.1,192.4,359.5,223.9,391.7,301.3,-0.3946,0
108,4.759,RING,1,292.8,203.8,359.9,228.9,392,306.3,-0.3256,0
109,4.823,RING,1,289.1,219.5,360.7,239.8,391,311.8,-0.2694,0
110,4.85,RING,1,285.9,227.3,361.5,246.1,391.4,318.7,-0.2413,0
111,4.884,RING,1,286,235.6,362.8,248.6,393.8,315.1,-0.1664,0
112,4.918,RING,1,296.8,241.1,363.5,245.6,393.5,310.9,-0.0547,0
113,4.952,RING,1,319.7,234.5,364.3,242.1,394.6,309.8,-0.0903,0
114,4.988,RING,1,338.6,227.6,366,234.7,397.7,305.1,-0.0764,0
115,5.024,RING,1,345.7,211.4,369.1,224.7,402.7,298.2,-0.1436,0
116,5.056,RING,1,354.1,189.6,372.7,215.9,408.3,295.8,-0.2716,0
117,5.083,RING,1,362.5,175.4,376.5,207.4,412,291.8,-0.3192,0
118,5.117,RING,1,371,165.2,382.1,199.5,416.9,290.2,-0.3315,0
119,5.152,RING,1,380.7,159.6,388,194.5,420.9,291.3,-0.3288,0
120,5.222,RING,1,391.3,158.1,394.8,192.1,423.7,290.5,-0.3241,0
121,5.259,RING,1,401.2,169.4,400.5,197.6,427.1,303,-0.2784,0
122,5.289,RING,1,410.4,189,404.8,202.1,427,309.4,-0.1367,0
123,5.317,RING,1,421.5,220.5,407.7,212.4,429.5,317.7,0.0873,0
124,5.35,RING,1,431.3,253.5,410,225.2,432.3,325.7,0.3055,0
125,5.385,RING,1,438,276.9,411.4,237.2,429.9,327.4,0.4509,0
