frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.016,THUMB,0,,,,,,,,0
1,0.049,THUMB,0,,,,,,,,0
2,0.082,THUMB,0,,,,,,,,0
3,0.119,THUMB,0,,,,,,,,0
4,0.15,THUMB,0,,,,,,,,0
5,0.182,THUMB,0,,,,,,,,0
6,0.215,THUMB,0,,,,,,,,0
7,0.25,THUMB,0,,,,,,,,0
8,0.287,THUMB,0,,,,,,,,0
9,0.318,THUMB,0,,,,,,,,0
10,0.348,THUMB,0,,,,,,,,0
11,0.382,THUMB,0,,,,,,,,0
12,0.417,THUMB,0,,,,,,,,0
13,0.453,THUMB,0,,,,,,,,0
14,0.485,THUMB,0,,,,,,,,0
15,0.515,THUMB,0,,,,,,,,0
16,0.549,THUMB,0,,,,,,,,0
17,0.585,THUMB,0,,,,,,,,0
18,0.618,THUMB,0,,,,,,,,0
19,0.648,THUMB,0,,,,,,,,0
20,0.682,THUMB,0,,,,,,,,0
21,0.718,THUMB,0,,,,,,,,0
22,0.754,THUMB,0,,,,,,,,0
23,0.785,THUMB,0,,,,,,,,0
24,0.815,THUMB,0,,,,,,,,0
25,0.85,THUMB,0,,,,,,,,0
26,0.884,THUMB,0,,,,,,,,0
27,0.918,THUMB,0,,,,,,,,0
28,0.949,THUMB,0,,,,,,,,0
29,0.983,THUMB,0,,,,,,,,0
30,1.018,THUMB,0,,,,,,,,0
31,1.054,THUMB,0,,,,,,,,0
32,1.086,THUMB,0,,,,,,,,0
33,1.116,THUMB,0,,,,,,,,0
34,1.15,THUMB,0,,,,,,,,0
35,1.184,THUMB,0,,,,,,,,0
36,1.221,THUMB,0,,,,,,,,0
37,1.252,THUMB,0,,,,,,,,0
38,1.283,THUMB,0,,,,,,,,0
39,1.316,THUMB,0,,,,,,,,0
40,1.351,THUMB,0,,,,,,,,0
41,1.388,THUMB,0,,,,,,,,0
42,1.419,THUMB,0,,,,,,,,0
43,1.449,THUMB,0,,,,,,,,0
44,1.484,THUMB,0,,,,,,,,0
45,1.518,THUMB,0,,,,,,,,0
46,1.554,THUMB,0,,,,,,,,0
47,1.585,THUMB,0,,,,,,,,0
48,1.616,THUMB,0,,,,,,,,0
49,1.65,THUMB,0,,,,,,,,0
50,1.686,THUMB,0,,,,,,,,0
51,1.718,THUMB,0,,,,,,,,0
52,1.762,THUMB,1,888.3,47.6,929.7,181.8,1125.0,232.2,-0.9102,0
53,1.785,THUMB,1,856.6,76.7,910.0,189.6,1003.5,290.8,-0.8259,0
54,1.819,THUMB,1,795.9,121.7,864.3,210.2,953.4,305.7,-0.6757,0
55,1.855,THUMB,1,745.7,154.6,824.8,229.8,921.0,317.3,-0.6234,0
56,1.887,THUMB,1,715.0,169.1,797.2,244.1,903.8,318.7,-0.6513,0
57,1.914,THUMB,1,692.2,180.8,778.9,252.2,890.2,321.4,-0.6242,0
58,1.948,THUMB,1,673.2,192.4,764.4,259.7,880.9,325.6,-0.5988,0
59,1.983,THUMB,1,663.6,196.9,753.7,264.1,870.0,327,-0.6076,0
60,2.017,THUMB,1,659.6,198.7,748.2,266.2,864.2,325.8,-0.6147,0
61,2.054,THUMB,1,657.7,198.2,745.3,266.2,862.7,329.8,-0.6063,0
62,2.087,THUMB,1,658.3,198.7,745.6,266.9,864.3,328.2,-0.6144,0
63,2.114,THUMB,1,661.4,200.4,748.6,269,869.8,330.8,-0.6228,0
64,2.148,THUMB,1,666.4,209.4,752.9,275.7,872.4,335.9,-0.631,0
65,2.183,THUMB,1,668.6,233.5,757.7,287.5,880.8,340.2,-0.5259,0
66,2.217,THUMB,1,669.7,273.1,762.7,305.2,884.6,352.4,-0.3312,0
67,2.253,THUMB,1,673.2,326.9,769.0,328.3,890.4,360.3,-0.0146,0
68,2.291,THUMB,1,677.8,367.1,775.6,346.8,891.6,369.6,0.2191,0
69,2.32,THUMB,1,681.4,381.2,780.0,354.2,896.5,370.1,0.2824,0
70,2.348,THUMB,1,687.5,373.9,783.9,353.1,896.3,367.7,0.2385,0
71,2.382,THUMB,1,691.7,353.7,787.1,347.1,896.9,363.7,0.0722,0
72,2.416,THUMB,1,695.4,334.2,787.7,338.2,892.9,354.6,-0.0424,0
73,2.45,THUMB,1,697.6,296.9,787.0,327.9,889.3,344.5,-0.317,0
74,2.486,THUMB,1,699.8,252.5,785.8,309.3,889.3,338.7,-0.5555,0
75,2.523,THUMB,1,699.9,223.2,783.6,290.4,885.6,333.5,-0.627,0
76,2.554,THUMB,1,699.1,209.6,781.9,278.6,882.1,329.7,-0.6442,0
77,2.581,THUMB,1,698.0,207.1,780.2,273.1,881.6,329.2,-0.628,0
78,2.615,THUMB,1,695.4,217.5,778.6,273.6,878.3,333.9,-0.5358,0
79,2.649,THUMB,1,690.9,234.8,778.5,282.5,881.1,340.1,-0.4863,0
80,2.683,THUMB,1,688.5,282.9,778.3,291.4,881.8,352.3,-0.0925,0
81,2.719,THUMB,1,689.1,341.1,778.6,312.8,884.8,356.8,0.3093,0
82,2.755,THUMB,1,690.1,369.5,779.3,326.6,885.2,354.4,0.4636,0
83,2.787,THUMB,1,690.3,369.9,778.8,330.6,881.7,356.6,0.4294,0
84,2.815,THUMB,1,690.4,351.5,778.6,329.2,883.3,358.3,0.2409,0
85,2.848,THUMB,1,690.3,336,778.0,323.7,880.3,353.1,0.1283,0
86,2.883,THUMB,1,690.9,304.9,777.3,318.6,877.5,351.6,-0.1391,0
87,2.918,THUMB,1,691.4,269,776.4,309.3,877.9,344.5,-0.3988,0
88,2.953,THUMB,1,691.3,239.1,774.7,296.8,877.1,339.3,-0.5678,0
89,2.987,THUMB,1,690.8,218.7,772.4,285.9,875.2,335.6,-0.628,0
90,3.014,THUMB,1,688.6,214.2,770.8,279.3,872.3,334.1,-0.6113,0
91,3.048,THUMB,1,685.0,229.3,771.6,278.7,874.8,333.8,-0.4908,0
92,3.083,THUMB,1,686.1,245.5,773.3,285.2,876.2,338,-0.4156,0
93,3.117,THUMB,1,689.9,289.6,774.5,290.2,872.5,341.2,-0.007,0
94,3.153,THUMB,1,693.5,319.2,775.2,296.1,870.6,344.3,0.2571,0
95,3.191,THUMB,1,690.3,318.9,775.3,302.6,872.8,344.7,0.1755,0
96,3.221,THUMB,1,685.1,303.9,774.3,303.1,872.4,345.1,0.0083,0
97,3.248,THUMB,1,681.0,289.7,771.8,301.6,870.9,345.7,-0.1215,0
98,3.282,THUMB,1,675.8,275,770.4,300,873.0,347.9,-0.255,0
99,3.317,THUMB,1,676.5,278.2,772.2,299.7,875.8,343.3,-0.2293,0
100,3.35,THUMB,1,679.9,286.8,774.1,301.6,876.4,342.5,-0.1591,0
101,3.387,THUMB,1,684.6,305,776.0,302.9,875.8,345.8,0.0227,0
102,3.42,THUMB,1,685.0,312.3,776.3,303.9,875.1,345.7,0.0894,0
103,3.448,THUMB,1,683.0,306.8,775.5,302.7,874.0,344.2,0.0427,0
104,3.481,THUMB,1,680.7,296,773.9,300.4,873.1,343.2,-0.0457,0
105,3.516,THUMB,1,678.3,280.1,771.9,297.6,874.2,342.6,-0.1778,0
106,3.55,THUMB,1,675.9,262.4,769.6,294.8,874.4,343.7,-0.3185,0
