frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.026,THUMB,0,,,,,,,,0
1,0.059,THUMB,0,,,,,,,,0
2,0.127,THUMB,0,,,,,,,,0
3,0.159,THUMB,0,,,,,,,,0
4,0.192,THUMB,0,,,,,,,,0
5,0.227,THUMB,0,,,,,,,,0
6,0.264,THUMB,0,,,,,,,,0
7,0.327,THUMB,0,,,,,,,,0
8,0.359,THUMB,0,,,,,,,,0
9,0.428,THUMB,0,,,,,,,,0
10,0.461,THUMB,0,,,,,,,,0
11,0.525,THUMB,0,,,,,,,,0
12,0.562,THUMB,0,,,,,,,,0
13,0.627,THUMB,0,,,,,,,,0
14,0.658,THUMB,0,,,,,,,,0
15,0.728,THUMB,0,,,,,,,,0
16,0.774,THUMB,1,827.0,297.2,886.3,298.5,980.8,329.1,-0.0087,0
17,0.828,THUMB,1,780.9,310.8,853.8,308.6,931.1,352.1,0.0184,0
18,0.864,THUMB,1,739.8,331.7,810.2,325,888.3,375.7,0.0615,0
19,0.9,THUMB,1,675.5,361.7,764.7,334.3,852.1,377.2,0.2787,0
20,0.93,THUMB,1,648.2,378.1,732.9,341.7,832.8,382.2,0.391,0
21,0.957,THUMB,1,616.8,395.3,701.8,351.9,812.1,382.9,0.4582,0
22,1.025,THUMB,1,596.8,417.3,684.2,362.4,800.6,397.2,0.5982,0
23,1.059,THUMB,1,591.4,433.2,674.3,368.6,791.3,406,0.6974,0
24,1.134,THUMB,1,587.8,448.9,667.7,375.1,789.4,398.5,0.7811,0
25,1.164,THUMB,1,590.7,470.3,666.9,383.4,789.2,411.6,0.8552,0
26,1.223,THUMB,1,594.1,483.9,665.4,393,784.0,414.3,0.9542,0
27,1.259,THUMB,1,594.3,489,664.4,397.4,780.7,419.2,0.9465,0
28,1.292,THUMB,1,596.0,492.2,664.7,397.6,781.7,407.9,0.9698,0
29,1.328,THUMB,1,596.0,493.4,664.8,396.9,783.8,407.7,0.9877,0
30,1.366,THUMB,1,593.7,494.6,662.5,397.4,781.5,403.2,0.9614,0
31,1.43,THUMB,1,591.7,494.1,661.5,397.5,787.8,405.7,0.9798,0
32,1.457,THUMB,1,589.7,494.5,658.7,396.5,781.3,403.6,0.9651,0
33,1.525,THUMB,1,588.4,496.7,653.1,397.8,778.5,404.5,0.9385,0
34,1.56,THUMB,1,587.9,496.2,647.6,396.5,772.5,399.4,0.9386,0
35,1.629,THUMB,1,588.6,499.5,648.7,393.5,776.6,384.1,1.0432,0
36,1.657,THUMB,1,588.4,498.5,649.4,391.5,779.3,377.3,0.9427,0
37,1.726,THUMB,1,588.9,497,652.3,390.2,782.7,385.6,1.0149,0
38,1.76,THUMB,1,590.3,493.6,655.3,391.6,789.6,399.5,0.9482,0
39,1.833,THUMB,1,591.3,493.2,659.3,396.5,790.3,401.1,0.9823,0
40,1.864,THUMB,1,591.1,494.2,660.0,398.8,787.9,409,0.9642,0
41,1.924,THUMB,1,592.4,494.8,660.6,402.3,782.4,415.6,0.9658,0
42,1.959,THUMB,1,595.5,493.9,667.6,406.6,803.9,416.6,0.9364,0
43,2.029,THUMB,1,599.3,495.7,675.9,416,802.8,415.5,0.7761,0
44,2.063,THUMB,1,605.6,496.1,683.8,414.8,815.9,401.6,0.8055,0
45,2.124,THUMB,1,620.8,493.8,699.0,408.9,829.4,402.6,0.9437,0
46,2.16,THUMB,1,650.9,494.1,718.6,404.3,844.9,399.8,0.956,0
47,2.229,THUMB,1,667.7,493,732.1,401.2,850.7,409.7,0.9984,0
48,2.263,THUMB,1,678.0,491,742.2,400.3,862.9,414.5,0.9942,0
49,2.291,THUMB,1,681.9,489.3,745.7,400,861.8,415.3,0.9759,0
50,2.359,THUMB,1,685.8,485.9,748.5,396.5,866.7,412.8,0.9645,0
51,2.394,THUMB,1,687.4,483,750.6,394.9,872.2,417.4,0.8918,0
52,2.467,THUMB,1,686.8,481,748.2,396.3,863.4,420.5,0.8554,0
53,2.497,THUMB,1,686.3,481.6,746.5,396.4,859.1,413.2,0.8697,0
54,2.524,THUMB,1,687.6,480.5,747.5,395.6,865.1,415.5,0.8866,0
55,2.558,THUMB,1,689.4,482.1,747.7,396.4,868.5,412.8,0.8373,0
56,2.593,THUMB,1,690.3,482.7,748.2,396.4,868.4,402.6,0.8579,0
57,2.662,THUMB,1,686.9,481.7,748.9,389.7,866.1,394.7,0.998,0
58,2.7,THUMB,1,684.7,480.4,749.5,378.8,863.3,375.4,1.1017,0
59,2.764,THUMB,1,675.7,481.6,752.9,375.6,888.2,364.6,1.0083,0
60,2.791,THUMB,1,675.8,483,752.5,375.2,870.8,376.2,1.1588,0
61,2.859,THUMB,1,671.0,487.6,753.5,378.4,871.5,391,1.0652,0
62,2.893,THUMB,1,666.4,489.5,751.7,382.8,859.5,414.1,1.0898,0
63,2.968,THUMB,1,665.1,491.8,750.3,388,860.5,399.3,1.123,0
64,2.997,THUMB,1,665.4,492,746.5,394.9,862.7,399.9,0.8171,0
65,3.025,THUMB,1,664.0,493.2,733.3,390.5,854.2,367.9,0.9694,0
66,3.093,THUMB,1,658.1,490.1,712.9,379.6,836.8,326.1,0.9298,0
67,3.163,THUMB,1,789.5,372,770.2,363.5,809.8,331.6,0.1617,0
68,3.196,THUMB,0,,,,,,,,0
69,3.231,THUMB,1,1065.7,337.5,965.7,337.5,875.9,300.6,-0.0003,0
70,3.258,THUMB,1,799.7,345.3,834.8,329.2,847.0,290.8,0.1537,0
71,3.327,THUMB,1,815.6,355.2,806.1,315.4,844.9,266.5,0.3837,0
72,3.363,THUMB,1,815.0,357.2,798.6,312.6,862.8,279.3,0.4184,0
73,3.401,THUMB,0,,,,,,,,0
74,3.473,THUMB,0,,,,,,,,0
75,3.493,THUMB,0,,,,,,,,0
76,3.579,THUMB,1,818.7,281.1,789.0,310.9,822.2,397.7,-0.2099,0
77,3.6,THUMB,1,918.3,365.2,859.5,383.5,796.0,386.4,-0.161,0
78,3.664,THUMB,1,940.6,402.1,884.2,426.5,785.5,388.8,-0.2571,0
79,3.692,THUMB,0,,,,,,,,0
80,3.767,THUMB,1,685.7,434.4,737.2,398.5,843.6,400.7,0.3079,0
81,3.794,THUMB,1,683.2,457.3,736.1,404.8,847.7,404.6,0.4501,0
82,3.868,THUMB,1,674.4,472.9,732.7,412.6,845.7,410.2,0.5466,0
83,3.898,THUMB,1,670.6,479.5,730.1,413.3,830.1,416.1,0.7244,0
84,3.925,THUMB,1,667.6,487,727.7,414,826.4,414.6,0.8426,0
85,3.958,THUMB,1,666.4,487.7,724.1,413.4,827.0,416.1,0.895,0
86,3.993,THUMB,1,665.1,486,717.2,412.7,824.4,415.9,0.8604,0
87,4.063,THUMB,1,665.4,484.2,711.9,413,834.3,417.3,0.789,0
88,4.097,THUMB,1,665.9,482.3,715.2,412.3,850.5,420.3,0.8118,0
89,4.125,THUMB,1,667.0,482.9,717.8,411.9,853.5,417.5,0.8408,0
90,4.159,THUMB,1,668.8,483.9,723.4,411.5,867.4,422.2,0.8128,0
91,4.193,THUMB,1,670.9,482.9,730.6,410.4,872.8,427.2,0.7933,0
92,4.262,THUMB,1,675.0,481.8,740.4,410.2,871.8,429.7,0.7761,0
93,4.3,THUMB,1,677.6,479.2,745.7,412.3,880.4,426.5,0.6694,0
94,4.364,THUMB,1,681.6,473.7,745.7,408,883.8,428.8,0.5886,0
95,4.392,THUMB,1,682.0,475.5,743.9,405.3,869.0,428.1,0.6736,0
96,4.426,THUMB,1,681.0,476.3,742.5,400.2,863.6,419,0.7677,0
97,4.494,THUMB,1,680.2,478.8,738.6,396.8,852.5,425.2,0.8681,0
98,4.568,THUMB,1,680.5,478.6,737.4,399.8,860.6,417.5,0.8117,0
99,4.597,THUMB,1,680.9,478.6,738.4,400.8,867.6,416,0.7932,0
100,4.625,THUMB,1,681.4,475.7,744.9,403.9,878.5,421.1,0.7488,0
101,4.693,THUMB,1,684.2,472.6,757.5,407.3,889.6,424.3,0.647,0
102,4.727,THUMB,1,684.7,473.6,758.2,409.5,886.1,419.3,0.6417,0
103,4.801,THUMB,1,685.3,477.5,751.8,407.6,877.6,437.8,0.6644,0
104,4.831,THUMB,1,681.5,479.9,744.8,410.5,855.4,413.7,0.6892,0
105,4.858,THUMB,1,679.1,481.1,738.3,410.2,852.9,411.2,0.7475,0
106,4.892,THUMB,1,677.5,481.2,732.2,410.8,853.5,411,0.7258,0
107,4.927,THUMB,1,675.6,483.1,727.0,410.9,852.7,406.4,0.7253,0
108,4.961,THUMB,1,674.0,481.5,722.2,412.4,849.6,413.5,0.687,0
109,4.997,THUMB,1,672.8,483.8,717.8,415,846.7,411.4,0.6897,0
110,5.033,THUMB,1,671.2,485.2,714.9,415.7,842.6,408.5,0.6744,0
111,5.065,THUMB,1,670.5,482.3,710.4,419.5,844.1,416.4,0.5893,0
112,5.092,THUMB,1,669.8,479.3,708.6,422.2,845.6,438.4,0.5348,0
113,5.125,THUMB,1,667.0,480.5,706.8,418.5,842.6,414.7,0.6028,0
114,5.194,THUMB,1,664.4,482.9,702.5,411.3,834.9,434.6,0.7145,0
115,5.23,THUMB,1,662.6,484.6,704.2,406.6,843.5,414.2,0.7835,0
116,5.268,THUMB,1,661.7,486.3,705.7,403.2,844.5,415.4,0.8136,0
117,5.298,THUMB,1,661.3,488.1,706.5,397.5,840.2,394.9,0.94,0
118,5.325,THUMB,1,662.3,489.6,707.9,397,851.4,398.1,0.9121,0
119,5.359,THUMB,1,760.8,474.5,751.1,405.5,846.0,419.1,0.9408,0
120,5.428,THUMB,0,,,,,,,,0
121,5.462,THUMB,0,,,,,,,,0
122,5.508,THUMB,1,884.5,438.4,837.2,413.7,895.5,417.8,0.2522,0
123,5.527,THUMB,0,,,,,,,,0
124,5.559,THUMB,0,,,,,,,,0
125,5.594,THUMB,0,,,,,,,,0
126,5.628,THUMB,0,,,,,,,,0
127,5.696,THUMB,0,,,,,,,,0
128,5.727,THUMB,0,,,,,,,,0
129,5.797,THUMB,0,,,,,,,,0
130,5.841,THUMB,1,675.7,459.2,736.1,414.9,873.3,392.6,0.3875,0
131,5.862,THUMB,1,941.2,446.7,866.4,415.8,845.3,443,0.3209,0
132,5.897,THUMB,1,929.3,426.7,876.2,390.2,805.7,377.8,0.3648,0
133,5.931,THUMB,1,924.4,408.7,873.0,362.7,797.4,383.1,0.4485,0
134,5.967,THUMB,1,962.2,405.9,886.1,361,795.9,383.2,0.3635,0
135,5.998,THUMB,1,956.2,402.1,891.1,356.1,803.5,369.8,0.4099,0
136,6.025,THUMB,1,886.8,399.2,866.8,358.1,799.3,365,0.4379,0
137,6.059,THUMB,0,,,,,,,,0
138,6.101,THUMB,1,1074.9,402.9,987.8,381.6,856.5,335.6,0.2255,0
139,6.128,THUMB,1,1074.3,401.8,985.0,381.7,881.2,354.4,0.2227,0
140,6.164,THUMB,1,994.1,410.8,948.5,385.5,852.7,361.7,0.2379,0
141,6.2,THUMB,1,1001.1,391.2,945.2,381.3,863.8,400.1,0.0698,0
142,6.232,THUMB,1,864.4,392.8,901.3,376.2,878.4,398.3,0.1318,0
143,6.258,THUMB,0,,,,,,,,0
144,6.334,THUMB,1,945.6,356.3,898.1,356.8,813.6,385.2,-0.0069,0
145,6.361,THUMB,1,797.7,375.2,819.9,380.7,840.4,412.6,-0.0574,0
146,6.398,THUMB,0,,,,,,,,0
147,6.446,THUMB,1,954.6,393.8,914.6,382.7,892.6,364.7,0.3148,0
148,6.458,THUMB,0,,,,,,,,0
149,6.499,THUMB,1,722.1,404.5,769.1,364.3,892.5,386.6,0.4591,0
150,6.525,THUMB,1,710.2,436.9,757.9,381.3,883.5,423.4,0.5522,0
151,6.561,THUMB,1,700.5,459.1,745.8,391.7,874.8,447.7,0.642,0
152,6.595,THUMB,1,694.6,471.6,740.4,398.4,872.9,448.6,0.6974,0
153,6.63,THUMB,1,693.3,475,738.1,404.7,873.8,454,0.6846,0
154,6.668,THUMB,1,686.9,476.8,735.5,412.9,875.0,451.2,0.6545,0
155,6.698,THUMB,1,684.2,477.2,729.9,416,867.7,446.4,0.6113,0
156,6.725,THUMB,1,679.4,481,724.0,417.4,855.1,431.6,0.6954,0
157,6.76,THUMB,1,677.4,486.1,716.1,417.5,847.9,424.3,0.7235,0
158,6.828,THUMB,1,673.9,490.3,709.0,416.5,841.9,419.5,0.7596,0
159,6.864,THUMB,1,671.3,487.9,698.2,410.5,818.7,386.5,0.8067,0
160,6.902,THUMB,1,666.7,489.9,688.8,402.9,813.3,385.2,0.8693,0
161,6.932,THUMB,1,662.0,490.3,683.3,397.9,812.0,384.3,0.9251,0
162,6.959,THUMB,1,660.2,489.9,683.1,392.9,812.2,383.9,1.0046,0
163,6.993,THUMB,1,658.2,487.9,682.6,384.8,814.7,383.7,1.0649,0
164,7.027,THUMB,1,657.8,487,684.6,383.7,815.4,388.3,1.0682,0
165,7.062,THUMB,1,658.5,486.8,684.6,383.1,815.0,390.9,1.0851,0
166,7.097,THUMB,1,661.1,486.5,686.1,385.1,822.0,400.4,1.0452,0
167,7.134,THUMB,1,662.6,486.7,688.7,388.9,823.0,403.1,1.0116,0
168,7.165,THUMB,1,664.0,488,690.5,391,824.0,400.3,0.9631,0
169,7.193,THUMB,1,667.2,489.1,696.0,390.9,828.1,397.1,1.0656,0
170,7.226,THUMB,1,668.9,489.9,703.0,391.7,831.4,400.8,1.0729,0
171,7.261,THUMB,1,672.0,490.3,709.2,392.7,835.5,397.4,1.0375,0
172,7.295,THUMB,1,673.0,487.9,712.8,396.6,838.3,412.1,0.9339,0
173,7.331,THUMB,1,674.2,485.2,717.7,399.6,842.3,416,0.908,0
174,7.367,THUMB,1,674.9,483.2,719.5,404.8,845.7,421.2,0.8069,0
175,7.399,THUMB,1,676.5,484.8,720.4,406.2,848.6,422.2,0.7954,0
176,7.426,THUMB,1,679.7,486.3,721.5,407.2,849.2,414,0.8349,0
177,7.46,THUMB,1,681.3,486.1,723.0,410.3,849.4,415,0.8317,0
178,7.495,THUMB,1,686.5,487.3,722.2,412.6,843.5,422.6,0.8365,0
179,7.528,THUMB,1,687.2,487.6,719.8,411.8,835.7,423.6,0.8377,0
180,7.564,THUMB,1,784.5,492.9,749.8,414.7,821.2,427.8,1.2983,0
181,7.602,THUMB,1,945.9,455.6,877.9,416.4,804.0,420,0.4454,0
182,7.632,THUMB,1,809.0,462.7,833.0,415.7,800.6,421.6,0.5394,0
183,7.659,THUMB,1,673.3,467.7,733.0,414.8,785.5,424.1,0.6565,0
184,7.693,THUMB,1,612.0,476.1,670.7,412.8,764.0,412.6,0.7465,0
185,7.728,THUMB,1,580.2,483.6,645.8,412.4,760.7,425.6,0.811,0
186,7.761,THUMB,1,556.1,481.6,620.4,414.3,751.0,432.1,0.7046,0
187,7.798,THUMB,1,539.2,481.7,607.4,417.4,751.9,432.1,0.6324,0
188,7.834,THUMB,1,519.0,484.9,603.1,423.4,761.4,437.8,0.5352,0
189,7.865,THUMB,1,518.0,488.5,603.5,425.6,767.4,434.5,0.5551,0
190,7.893,THUMB,1,508.7,488.5,595.5,426.6,757.9,421.8,0.5381,0
191,7.927,THUMB,1,504.7,489.9,596.8,427.2,763.0,420.6,0.5873,0
192,7.961,THUMB,1,531.2,478.5,608.2,429.7,768.9,418.5,0.46,0
193,7.995,THUMB,1,781.0,451.3,735.8,424.6,746.4,417.2,0.1981,0
194,8.031,THUMB,1,857.4,431.7,789.5,414.7,734.9,414.3,0.1047,0
195,8.068,THUMB,1,782.3,418.2,768.8,404.3,734.8,407.3,0.0953,0
196,8.099,THUMB,1,815.7,417.5,783.5,401.3,728.5,401.8,0.1121,0
197,8.126,THUMB,1,673.2,417.2,741.6,388.1,756.6,399.4,0.2463,0
198,8.16,THUMB,0,,,,,,,,0
199,8.202,THUMB,1,528.7,496.9,587.4,420.4,702.6,387,0.8832,0
200,8.229,THUMB,1,521.0,492.7,583.9,404.9,706.0,358.6,0.9502,0
201,8.264,THUMB,1,514.8,491.2,582.5,398.1,722.3,371,0.9123,0
202,8.301,THUMB,1,513.4,484.4,581.0,397.2,727.6,378.6,0.8301,0
203,8.333,THUMB,1,518.4,467.3,580.6,392.5,720.2,374.5,0.7664,0
204,8.359,THUMB,1,521.3,442.2,581.7,389.2,728.0,383.2,0.5449,0
205,8.393,THUMB,1,535.9,420,585.2,385.8,729.9,389.7,0.3679,0
206,8.428,THUMB,1,620.0,426.9,611.4,391,735.8,371.6,0.4535,0
207,8.461,THUMB,0,,,,,,,,0
208,8.509,THUMB,1,866.5,436.2,800.7,418,737.8,357.9,0.1442,0
209,8.534,THUMB,1,599.9,452.5,691.9,424.9,813.3,395.5,0.2162,0
210,8.565,THUMB,1,592.9,445.3,668.9,417.4,754.2,399,0.2297,0
211,8.593,THUMB,0,,,,,,,,0
212,8.634,THUMB,1,505.1,412.6,601.5,381.8,771.1,361.1,0.2861,0
213,8.66,THUMB,1,514.6,405.1,615.2,380.8,813.9,394.2,0.2245,0
214,8.695,THUMB,1,532.3,397.5,633.5,380.3,829.3,398.4,0.1481,0
215,8.731,THUMB,1,554.6,386.7,653.9,381.3,836.3,415,0.0455,0
216,8.766,THUMB,1,642.1,364,731.8,379.2,825.1,413.8,-0.1021,0
217,8.799,THUMB,0,,,,,,,,0
218,8.833,THUMB,1,628.0,438.5,688.4,386.2,782.2,381.4,0.7681,0
219,8.86,THUMB,1,634.2,440.3,706.7,383.3,841.9,397.2,0.5322,0
220,8.894,THUMB,1,970.9,415.6,922.1,383.8,857.5,386.8,0.3409,0
221,8.929,THUMB,1,824.8,424.1,837.0,387,898.7,385.3,0.3759,0
222,8.964,THUMB,1,804.0,434.1,816.8,388,918.1,403.9,0.4841,0
223,8.999,THUMB,1,787.1,444,815.8,395.8,940.8,415.7,0.4794,0
224,9.032,THUMB,1,898.2,491.7,870.2,417.4,960.0,426,0.8766,0
225,9.06,THUMB,1,1081.7,469.6,1011.8,407.4,939.2,375.1,0.5545,0
226,9.093,THUMB,1,974.9,468.3,922.7,408,959.2,405.5,0.5769,0
227,9.128,THUMB,1,889.2,471.6,903.5,405.8,973.9,413.5,0.6452,0
228,9.163,THUMB,1,861.5,472.5,893.9,406.2,973.5,428.4,0.6368,0
229,9.197,THUMB,1,858.9,474.1,889.7,407.2,976.4,425.6,0.6307,0
230,9.236,THUMB,1,861.4,474.1,883.9,412.4,973.8,425.8,0.5588,0
231,9.266,THUMB,1,864.7,474.9,881.8,416.6,975.0,424.2,0.5409,0
232,9.293,THUMB,1,865.8,475.6,880.4,419.7,974.0,428.3,0.5038,0
233,9.327,THUMB,1,865.6,476.2,877.5,422,965.2,425.5,0.4979,0
234,9.362,THUMB,1,865.0,476.9,875.4,422.8,967.0,423.3,0.4892,0
235,9.395,THUMB,1,865.3,477.5,874.9,422.7,970.8,419.5,0.4919,0
236,9.431,THUMB,1,865.1,477.6,873.8,421.7,975.7,422.1,0.503,0
237,9.469,THUMB,1,865.7,477.8,871.7,419.6,966.7,422.6,0.4895,0
238,9.499,THUMB,1,866.3,477.8,871.5,419.8,970.8,430.4,0.5098,0
239,9.526,THUMB,1,866.6,478,873.0,419.9,972.5,430.3,0.528,0
240,9.561,THUMB,1,866.9,478,874.5,421,972.2,437.2,0.5393,0
241,9.594,THUMB,1,867.3,477.5,873.7,422.3,967.3,438.9,0.4722,0
242,9.629,THUMB,1,867.5,477.2,872.3,423.9,959.0,438.1,0.4809,0
243,9.665,THUMB,1,867.6,478.2,869.4,427.2,954.4,436.5,0.4587,0
244,9.701,THUMB,1,865.6,479.2,865.0,428,944.5,435.1,0.4878,0
245,9.733,THUMB,1,864.9,479.2,860.7,428.2,937.1,428.3,0.4885,0
246,9.76,THUMB,1,863.1,479,859.1,428.1,936.9,418.5,0.5112,0
247,9.794,THUMB,1,862.6,478.3,855.8,429.6,929.9,421.8,0.48,0
248,9.828,THUMB,1,862.5,477.5,852.7,431.2,935.5,421.2,0.4397,0
249,9.862,THUMB,1,862.7,478.6,852.3,432.5,943.0,417.7,0.4446,0
250,9.897,THUMB,1,863.5,481.7,852.4,431.1,943.2,418,0.5174,0
251,9.935,THUMB,1,864.0,481.6,854.7,432.7,956.6,424.9,0.4242,0
252,9.966,THUMB,1,865.7,481.5,857.7,432.9,963.7,426.2,0.4324,0
253,9.994,THUMB,1,865.7,482.1,865.1,432.9,970.5,422.9,0.4498,0
