frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.03,THUMB,0,,,,,,,,0
1,0.062,THUMB,0,,,,,,,,0
2,0.1,THUMB,0,,,,,,,,0
3,0.134,THUMB,0,,,,,,,,0
4,0.165,THUMB,0,,,,,,,,0
5,0.196,THUMB,0,,,,,,,,0
6,0.23,THUMB,0,,,,,,,,0
7,0.265,THUMB,0,,,,,,,,0
8,0.302,THUMB,0,,,,,,,,0
9,0.332,THUMB,0,,,,,,,,0
10,0.363,THUMB,0,,,,,,,,0
11,0.397,THUMB,0,,,,,,,,0
12,0.431,THUMB,0,,,,,,,,0
13,0.468,THUMB,0,,,,,,,,0
14,0.499,THUMB,0,,,,,,,,0
15,0.529,THUMB,0,,,,,,,,0
16,0.563,THUMB,0,,,,,,,,0
17,0.598,THUMB,0,,,,,,,,0
18,0.649,THUMB,0,,,,,,,,0
19,0.667,THUMB,1,1148.1,192.7,1030.7,252.9,1104.4,342.9,-0.4422,0
20,0.695,THUMB,1,1117.2,196.9,1018.8,255.3,1071.2,355.2,-0.41,0
21,0.727,THUMB,1,991.8,227.3,972.1,275,1032.3,346.2,-0.3553,0
22,0.763,THUMB,1,903.0,250,920.9,299.6,992.4,342.9,-0.357,0
23,0.796,THUMB,1,838.9,269.5,883.9,315.8,958.5,347.2,-0.3273,0
24,0.833,THUMB,1,780.9,289.2,846.8,325.7,919.3,355.1,-0.3081,0
25,0.87,THUMB,1,727.5,305,806.4,338,887.0,358.4,-0.2857,0
26,0.9,THUMB,1,695.6,314.4,778.5,340.8,861.6,362.7,-0.2675,0
27,0.928,THUMB,1,648.0,325,739.7,345.2,834.9,366.4,-0.2108,0
28,0.962,THUMB,1,608.1,336.7,703.6,348.9,806.2,378.9,-0.1366,0
29,0.996,THUMB,1,577.4,349.9,675.6,356.6,786.5,387.3,-0.0733,0
30,1.03,THUMB,1,549.5,360.3,650.5,364.5,766.8,395.3,-0.0466,0
31,1.066,THUMB,1,535.2,373.8,637.0,370.5,754.9,401.3,0.0373,0
32,1.104,THUMB,1,523.2,384.8,624.2,377.9,741.9,410.4,0.0798,0
33,1.134,THUMB,1,516.3,394.3,616.6,382.3,739.2,409.6,0.1407,0
34,1.161,THUMB,1,510.0,401.8,610.2,385.4,732.6,404,0.1866,0
35,1.195,THUMB,1,504.2,407.8,603.3,387.1,725.0,403.8,0.2348,0
36,1.229,THUMB,1,501.4,412.1,599.6,390.4,722.7,406.9,0.2497,0
37,1.263,THUMB,1,502.3,418.1,596.7,394.7,718.1,409.1,0.2713,0
38,1.299,THUMB,1,504.1,426.9,595.1,400.7,718.3,414.1,0.3011,0
39,1.335,THUMB,1,505.7,438,592.1,406.9,713.0,417.8,0.3583,0
40,1.367,THUMB,1,504.1,448.9,588.3,411.5,709.0,422,0.4241,0
41,1.395,THUMB,1,501.8,454.3,584.5,416.8,699.9,423.1,0.4339,0
42,1.428,THUMB,1,499.1,456.2,582.2,419.7,702.2,423.8,0.4125,0
43,1.462,THUMB,1,493.7,458.8,577.0,423.7,697.4,429.5,0.393,0
44,1.497,THUMB,1,487.9,462.4,570.8,427.8,690.7,433.6,0.3858,0
45,1.532,THUMB,1,483.3,472.3,566.4,431.4,695.5,437,0.4438,0
46,1.569,THUMB,1,482.5,485.4,564.3,438.2,696.0,438.9,0.4904,0
47,1.601,THUMB,1,481.2,491,563.3,443.3,702.3,443.8,0.4801,0
48,1.629,THUMB,1,482.5,489.9,564.7,443.7,694.8,443,0.4957,0
49,1.662,THUMB,1,484.1,491.9,566.0,444.5,698.2,440.4,0.4922,0
50,1.696,THUMB,1,486.5,493.6,568.0,444.2,699.3,446.6,0.5286,0
51,1.731,THUMB,1,491.8,493.7,570.9,442.1,705.3,437.2,0.5671,0
52,1.766,THUMB,1,500.9,493.9,576.7,439.8,721.6,434.1,0.5609,0
53,1.803,THUMB,1,510.2,494.3,587.2,439.4,732.7,438.4,0.5612,0
54,1.834,THUMB,1,525.4,494.2,598.7,437.6,737.2,436.2,0.5991,0
55,1.861,THUMB,1,547.6,493.7,620.4,437.3,762.8,437.5,0.6016,0
56,1.895,THUMB,1,567.5,492.8,636.4,436.1,768.7,441.9,0.6114,0
57,1.93,THUMB,1,588.4,492,659.2,434.8,786.7,434.3,0.6523,0
58,1.964,THUMB,1,607.4,491.1,678.1,433,802.3,432.2,0.6479,0
59,2,THUMB,1,629.6,489.8,694.3,430,815.9,429,0.6685,0
60,2.036,THUMB,1,647.9,488.1,714.5,429.2,827.2,429.8,0.6829,0
61,2.068,THUMB,1,670.3,489,730.5,430.8,844.6,428.2,0.5868,0
