frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.033,THUMB,0,,,,,,,,0
1,0.066,THUMB,0,,,,,,,,0
2,0.102,THUMB,0,,,,,,,,0
3,0.133,THUMB,0,,,,,,,,0
4,0.164,THUMB,0,,,,,,,,0
5,0.197,THUMB,0,,,,,,,,0
6,0.232,THUMB,0,,,,,,,,0
7,0.269,THUMB,0,,,,,,,,0
8,0.3,THUMB,0,,,,,,,,0
9,0.33,THUMB,0,,,,,,,,0
10,0.364,THUMB,0,,,,,,,,0
11,0.401,THUMB,0,,,,,,,,0
12,0.433,THUMB,0,,,,,,,,0
13,0.464,THUMB,0,,,,,,,,0
14,0.498,THUMB,0,,,,,,,,0
15,0.533,THUMB,0,,,,,,,,0
16,0.569,THUMB,0,,,,,,,,0
17,0.6,THUMB,0,,,,,,,,0
18,0.642,THUMB,0,,,,,,,,0
19,0.676,THUMB,0,,,,,,,,0
20,0.711,THUMB,0,,,,,,,,0
21,0.747,THUMB,0,,,,,,,,0
22,0.768,THUMB,0,,,,,,,,0
23,0.8,THUMB,0,,,,,,,,0
24,0.831,THUMB,0,,,,,,,,0
25,0.864,THUMB,0,,,,,,,,0
26,0.899,THUMB,0,,,,,,,,0
27,0.95,THUMB,1,910.9,72.2,936.9,211.5,1114.2,267.9,-0.9219,0
28,0.962,THUMB,1,894.4,74.2,928.9,209.5,1015.5,273.8,-0.9355,0
29,0.995,THUMB,1,844.1,77.4,895.6,205.1,989.6,272.1,-0.9244,0
30,1.029,THUMB,1,801.8,84.5,864.9,204,962.6,270.4,-0.893,0
31,1.065,THUMB,1,772.6,90.7,841.3,203.4,945.7,261.2,-0.8462,0
32,1.099,THUMB,1,749.3,95.9,822.3,204,926.1,252.2,-0.7907,0
33,1.134,THUMB,1,728.8,103.3,806.1,204.4,912.2,253.8,-0.783,0
34,1.172,THUMB,1,713.3,114.5,792.8,206.1,896.3,258.2,-0.7573,0
35,1.202,THUMB,1,698.9,126.5,782.9,209.4,887.6,257.4,-0.6657,0
36,1.229,THUMB,1,686.4,144.3,773.5,215.5,874.2,258.7,-0.5761,0
37,1.263,THUMB,1,675.0,162.5,765.8,224.1,868.4,261.3,-0.4942,0
38,1.297,THUMB,1,670.0,176.4,760.7,231,862.9,263.6,-0.5003,0
39,1.331,THUMB,1,667.9,188.7,761.6,237.1,865.5,262.9,-0.4521,0
40,1.367,THUMB,1,668.4,200,760.8,245.3,861.7,271.8,-0.4366,0
41,1.403,THUMB,1,669.2,212,761.2,254.5,862.3,277.6,-0.41,0
42,1.434,THUMB,1,670.6,221.7,762.6,261.4,869.3,279,-0.377,0
43,1.462,THUMB,1,673.5,231.8,763.8,267.5,869.2,283.8,-0.3413,0
44,1.496,THUMB,1,677.0,243,765.2,276,872.2,290.4,-0.2998,0
45,1.53,THUMB,1,679.0,258.3,766.9,286.2,875.3,299.8,-0.2602,0
46,1.564,THUMB,1,681.0,273.4,768.9,297.5,880.6,312.6,-0.2191,0
47,1.601,THUMB,1,683.5,290.3,771.5,310,884.1,323.8,-0.184,0
48,1.638,THUMB,1,686.2,305.6,774.2,321.2,885.3,335,-0.1532,0
49,1.668,THUMB,1,687.6,320.9,776.2,329.1,891.3,337.5,-0.08,0
50,1.696,THUMB,1,689.1,335.4,778.1,336.3,892.1,346.7,-0.0092,0
51,1.73,THUMB,1,690.8,345.9,779.5,345.8,895.6,352.2,0.0009,0
52,1.764,THUMB,1,691.8,347.3,778.8,347.8,891.8,350.1,-0.0045,0
53,1.798,THUMB,1,692.2,343.5,778.7,346.4,896.4,343.7,-0.0261,0
54,1.834,THUMB,1,692.1,339.4,778.4,342.4,893.3,338.1,-0.028,0
55,1.87,THUMB,1,692.9,330.7,778.7,337.2,890.3,329.7,-0.0587,0
56,1.902,THUMB,1,693.2,321.8,778.1,333.4,880.3,319.8,-0.1034,0
57,1.929,THUMB,1,693.6,303.4,777.2,322.9,872.7,306.7,-0.1737,0
58,1.963,THUMB,1,694.4,272.8,774.7,303.6,870.7,291.4,-0.2648,0
59,1.997,THUMB,1,693.6,244,772.8,282.6,869.5,281,-0.3735,0
60,2.032,THUMB,1,693.8,218.5,771.8,263.9,869.5,271.4,-0.4444,0
61,2.067,THUMB,1,695.7,194.9,771.1,247.1,867.8,256.8,-0.5116,0
62,2.105,THUMB,1,697.0,174.8,769.9,230.7,867.1,246.9,-0.5341,0
63,2.136,THUMB,1,698.2,161.7,769.6,219.6,866.5,239.7,-0.5054,0
64,2.163,THUMB,1,700.2,147.5,770.2,211.3,868.9,241.1,-0.5817,0
65,2.197,THUMB,1,703.3,138,770.6,204.4,868.0,237.4,-0.6186,0
66,2.231,THUMB,1,706.0,132.2,771.4,201,868.1,231.8,-0.6158,0
67,2.265,THUMB,1,708.5,130.9,771.9,199.5,868.2,232.6,-0.6461,0
68,2.301,THUMB,1,709.2,133.4,772.1,200.2,868.0,232.5,-0.6114,0
69,2.339,THUMB,1,707.2,140.9,771.7,204.5,867.4,235.5,-0.5818,0
70,2.369,THUMB,1,705.7,149.1,771.5,210.1,862.3,248.4,-0.6196,0
71,2.396,THUMB,1,704.0,163.2,771.1,216.6,864.1,254.7,-0.5493,0
72,2.43,THUMB,1,699.6,189.5,771.0,231.2,868.2,264.6,-0.425,0
73,2.464,THUMB,1,696.6,212.6,770.7,246,866.6,272,-0.3203,0
74,2.499,THUMB,1,693.9,235.4,770.4,261.2,869.5,279.8,-0.236,0
75,2.534,THUMB,1,692.1,254.8,770.5,275.2,871.0,288.6,-0.1874,0
76,2.57,THUMB,1,691.1,270.2,770.8,286.5,875.5,300.2,-0.148,0
77,2.602,THUMB,1,691.6,280.2,772.3,294.5,882.9,304.6,-0.1244,0
78,2.63,THUMB,1,693.0,286.3,773.4,301.5,882.1,313.7,-0.1365,0
79,2.663,THUMB,1,694.3,291,774.1,306.4,882.5,318.1,-0.1367,0
80,2.698,THUMB,1,695.1,293.8,774.5,308.6,882.4,318.8,-0.1308,0
81,2.732,THUMB,1,696.3,292.4,774.5,309.1,879.4,314.8,-0.1461,0
82,2.768,THUMB,1,696.2,287.4,773.7,306.7,873.7,310.3,-0.1737,0
83,2.804,THUMB,1,694.7,281.1,771.1,301.9,868.8,299.9,-0.1818,0
84,2.836,THUMB,1,691.2,275.1,765.0,297.5,858.9,293.3,-0.1861,0
85,2.863,THUMB,1,683.6,262.5,756.8,289.9,846.9,287.4,-0.2462,0
86,2.897,THUMB,1,669.1,246.5,743.7,279.8,836.5,275.7,-0.3044,0
87,2.931,THUMB,1,649.6,232,728.8,268.2,826.4,267.9,-0.3322,0
88,2.965,THUMB,1,630.3,220,713.3,259,815.0,268.6,-0.3804,0
89,3.001,THUMB,1,610.8,211.1,698.1,250.6,803.3,266.1,-0.3998,0
90,3.038,THUMB,1,594.9,200.1,682.5,241.6,791.7,264.5,-0.4171,0
91,3.069,THUMB,1,579.4,191.2,667.4,234.6,780.4,259.7,-0.4296,0
92,3.096,THUMB,1,564.5,183,655.8,228.2,772.4,258.6,-0.4531,0
93,3.13,THUMB,1,550.8,176.7,644.3,222.5,768.9,255.9,-0.4505,0
94,3.165,THUMB,1,537.9,172.2,633.6,218.9,758.6,255.4,-0.4593,0
95,3.198,THUMB,1,526.2,170.3,624.7,217.7,752.9,256.1,-0.4642,0
96,3.234,THUMB,1,517.9,170.4,617.3,217.4,744.8,257.1,-0.4623,0
97,3.272,THUMB,1,510.5,172.6,611.7,218.2,741.5,260.5,-0.4587,0
98,3.303,THUMB,1,504.6,176.7,607.2,220.4,737.5,261.4,-0.4367,0
99,3.33,THUMB,1,500.4,182.3,603.8,223.6,734.9,270.6,-0.4187,0
100,3.363,THUMB,1,497.3,197.9,602.1,231.2,736.3,278,-0.3325,0
101,3.398,THUMB,1,494.7,217.5,600.7,243,736.4,288.7,-0.2557,0
102,3.432,THUMB,1,494.0,236.7,601.4,254.4,740.7,297.7,-0.1791,0
103,3.467,THUMB,1,495.2,250.3,603.4,265.4,743.5,306.4,-0.1536,0
104,3.504,THUMB,1,497.0,258.9,605.5,273.7,746.5,311.3,-0.1537,0
105,3.535,THUMB,1,498.6,264,607.2,279,750.6,313.8,-0.1534,0
106,3.563,THUMB,1,500.3,265.9,609.0,282.7,759.5,317.6,-0.1663,0
107,3.596,THUMB,1,502.8,263.2,610.5,284.3,756.2,316.4,-0.2146,0
108,3.631,THUMB,1,505.8,260.9,612.7,283.1,755.8,314.9,-0.2248,0
109,3.666,THUMB,1,509.4,257.4,616.2,281.2,759.6,312.7,-0.2408,0
110,3.701,THUMB,1,515.6,255,621.4,279.1,762.6,307.9,-0.2487,0
111,3.738,THUMB,1,523.3,251.4,627.2,276.6,767.8,300,-0.2563,0
112,3.769,THUMB,1,532.0,244.8,632.4,274.2,770.2,297.4,-0.3006,0
113,3.797,THUMB,1,540.9,232.7,637.6,268.9,770.6,293.1,-0.3703,0
114,3.83,THUMB,1,550.8,218.1,644.0,260.3,777.5,289.2,-0.4333,0
115,3.865,THUMB,1,562.6,200.8,650.9,251.5,782.2,290.6,-0.5093,0
116,3.899,THUMB,1,573.2,184.1,658.5,241.1,789.4,287.2,-0.5698,0
117,3.934,THUMB,1,584.0,169,665.7,233.5,793.9,283.1,-0.6481,0
118,3.97,THUMB,1,595.7,156.7,670.6,227.2,797.8,278.6,-0.6905,0
119,4.002,THUMB,1,601.0,151.1,675.4,221.6,796.8,277.5,-0.6985,0
120,4.03,THUMB,1,606.1,149.4,678.4,219.9,791.3,280.7,-0.7006,0
121,4.064,THUMB,1,609.5,152.8,681.0,220.3,796.2,276.7,-0.6726,0
122,4.099,THUMB,1,613.1,158.9,684.1,222.7,801.2,280.4,-0.6441,0
123,4.132,THUMB,1,617.6,164.6,688.9,226,807.0,281.3,-0.6572,0
124,4.168,THUMB,1,621.6,171,697.5,230,819.4,282.7,-0.6616,0
125,4.205,THUMB,1,623.8,182.1,703.9,235.7,823.1,280.1,-0.605,0
126,4.236,THUMB,1,624.0,195.2,709.1,241.7,829.9,285.6,-0.5229,0
127,4.264,THUMB,1,625.5,209.9,713.7,248.8,832.6,288.9,-0.4401,0
128,4.297,THUMB,1,627.4,227.3,721.5,254.8,843.7,283.4,-0.3071,0
129,4.331,THUMB,1,630.7,246.7,729.6,259.3,854.6,285.2,-0.1397,0
130,4.366,THUMB,1,635.7,260.5,736.3,261.1,861.9,280.6,-0.0061,0
131,4.402,THUMB,1,642.0,262.7,741.4,258.7,867.4,279.3,0.0438,0
132,4.438,THUMB,1,646.9,260.3,746.5,254,874.2,277.9,0.0667,0
133,4.469,THUMB,1,653.4,253.2,750.0,245.9,869.1,272,0.0763,0
134,4.497,THUMB,1,658.2,246.8,751.8,232.3,868.6,259.4,0.1487,0
135,4.531,THUMB,1,664.8,236.8,755.0,218,874.5,245.3,0.1938,0
136,4.565,THUMB,1,667.8,220.9,756.3,208.6,869.6,240.8,0.1277,0
137,4.599,THUMB,1,669.8,207.4,758.0,198.6,873.8,233.1,0.0898,0
138,4.635,THUMB,1,673.0,191,759.3,191.2,874.5,230.3,-0.002,0
139,4.672,THUMB,1,674.2,180.8,761.2,186.7,879.7,222.7,-0.0588,0
140,4.702,THUMB,1,675.6,174.1,762.1,183.6,878.2,220.5,-0.0967,0
141,4.73,THUMB,1,676.6,171.5,762.7,181.2,879.6,218.7,-0.0966,0
142,4.764,THUMB,1,678.5,170.5,763.4,181,876.3,220.3,-0.1055,0
143,4.799,THUMB,1,681.6,173.5,766.0,183.6,877.3,226,-0.1025,0
144,4.832,THUMB,1,687.0,177.9,768.8,186.7,879.4,229.2,-0.0903,0
145,4.868,THUMB,1,693.3,183.6,772.3,190.5,887.5,233.8,-0.0713,0
146,4.905,THUMB,1,697.9,197.1,776.6,198.3,894.5,248.6,-0.0126,0
147,4.936,THUMB,1,702.8,216.3,779.5,203.9,897.9,251.5,0.1252,0
148,4.964,THUMB,1,705.7,242.8,781.0,211.1,902.0,258.6,0.3206,0
149,4.998,THUMB,1,707.0,265,782.3,220.4,902.9,264,0.4368,0
150,5.032,THUMB,1,707.6,279.5,783.6,231.3,903.3,270.3,0.484,0
151,5.066,THUMB,1,708.9,290.1,783.6,240.1,907.7,277.5,0.483,0
152,5.102,THUMB,1,711.5,293.9,782.2,245.9,906.6,283.5,0.4563,0
153,5.138,THUMB,1,713.3,292.6,782.1,248.1,903.6,284.3,0.4334,0
154,5.17,THUMB,1,713.2,289,783.4,249.8,901.7,280.3,0.3888,0
155,5.198,THUMB,1,711.9,284.1,783.7,249.3,902.6,274.5,0.3455,0
156,5.232,THUMB,1,709.2,277.5,785.5,255.1,898.3,273.3,0.2178,0
157,5.265,THUMB,1,706.9,269.1,785.9,257.9,888.4,270.6,0.1049,0
158,5.3,THUMB,1,703.7,257.3,786.3,258.4,889.8,264.5,-0.011,0
159,5.337,THUMB,1,699.8,246.8,784.8,256,879.8,264.7,-0.0976,0
160,5.372,THUMB,1,697.8,234.8,784.1,253.4,886.2,263.6,-0.1952,0
161,5.403,THUMB,1,694.4,227.8,782.8,251.9,883.4,265.9,-0.2532,0
162,5.431,THUMB,1,691.3,224.1,781.4,251,883.4,266.6,-0.2813,0
163,5.464,THUMB,1,688.4,220.9,779.0,250.4,878.3,268.1,-0.3081,0
164,5.499,THUMB,1,686.2,220.2,776.9,250.9,877.5,271.3,-0.3163,0
165,5.533,THUMB,1,684.1,218.9,773.7,251.6,874.4,276.5,-0.34,0
166,5.569,THUMB,1,681.8,219.5,770.6,253.3,873.9,277.8,-0.349,0
167,5.605,THUMB,1,679.9,221.7,768.7,256,874.1,282.7,-0.3547,0
168,5.637,THUMB,1,678.1,224.8,768.0,260.6,874.2,292.1,-0.3662,0
169,5.664,THUMB,1,677.3,229.3,767.2,266.7,873.0,297.8,-0.3872,0
170,5.698,THUMB,1,677.3,239.4,767.1,276.4,875.6,305.4,-0.3748,0
171,5.732,THUMB,1,677.0,252,767.2,287.4,874.9,315.8,-0.3849,0
172,5.766,THUMB,1,678.5,264.5,768.4,296.7,878.6,321.3,-0.3534,0
173,5.802,THUMB,1,680.1,275.4,770.1,304.7,882.8,329,-0.3302,0
174,5.839,THUMB,1,681.3,288.8,771.8,312.9,889.2,338.1,-0.2644,0
175,5.87,THUMB,1,682.8,298.5,775.6,315.8,898.0,337.8,-0.1845,0
176,5.898,THUMB,1,685.1,306.7,779.5,318.8,902.5,331.4,-0.1235,0
177,5.931,THUMB,1,687.6,309.4,782.2,317.3,899.7,322.1,-0.0837,0
178,5.966,THUMB,1,691.5,307.5,785.4,314.4,902.7,324.6,-0.0723,0
179,6,THUMB,1,695.3,301.7,788.5,309.5,901.6,314.9,-0.0864,0
180,6.036,THUMB,1,698.7,294.4,789.2,303.4,895.8,312.8,-0.0937,0
181,6.072,THUMB,1,698.8,277.9,789.6,294.5,899.1,302.5,-0.1624,0
182,6.104,THUMB,1,698.4,259,790.1,284.7,900.3,293.4,-0.2547,0
183,6.131,THUMB,1,700.3,241.1,789.8,274,892.3,285.7,-0.3343,0
184,6.165,THUMB,1,700.8,220,788.8,262.1,890.6,276.1,-0.414,0
185,6.199,THUMB,1,701.5,204.4,787.5,252.2,888.1,271.1,-0.472,0
186,6.234,THUMB,1,701.2,192.2,786.4,243.7,886.1,265.6,-0.5043,0
187,6.269,THUMB,1,700.7,184.1,785.5,237.4,883.2,258.7,-0.5217,0
188,6.307,THUMB,1,700.1,179.1,784.4,232.4,881.6,258.4,-0.5347,0
189,6.338,THUMB,1,699.4,178.9,783.4,231.1,880.6,258.3,-0.5157,0
190,6.365,THUMB,1,698.9,182.5,783.0,232.3,882.0,261.1,-0.5099,0
191,6.398,THUMB,1,698.0,188.6,782.6,236.8,883.1,267.5,-0.4961,0
192,6.433,THUMB,1,697.3,195,781.9,241.9,879.9,278.7,-0.4946,0
193,6.468,THUMB,1,696.6,208.9,782.7,251.9,885.9,288.2,-0.4472,0
194,6.502,THUMB,1,697.9,228.6,784.9,265.4,891.1,297.9,-0.3772,0
195,6.539,THUMB,1,699.3,248.2,787.7,278.8,894.9,306.3,-0.3083,0
196,6.571,THUMB,1,700.9,263,790.1,290.2,895.0,311.8,-0.2714,0
197,6.597,THUMB,1,702.9,272.3,792.2,295.3,898.1,313.4,-0.2345,0
198,6.632,THUMB,1,705.4,277.4,794.5,300.6,899.9,315.8,-0.2335,0
199,6.666,THUMB,1,708.7,276.2,796.4,301.6,902.3,309.4,-0.2567,0
200,6.701,THUMB,1,711.0,272.9,799.1,298.6,905.1,299.1,-0.2561,0
201,6.734,THUMB,1,714.0,267.5,802.5,294.4,903.7,291.6,-0.2579,0
202,6.77,THUMB,1,720.5,262.1,803.6,291.1,899.3,285.7,-0.273,0
203,6.807,THUMB,1,722.7,252,804.5,283.1,898.5,277.7,-0.2973,0
204,6.837,THUMB,1,724.0,240.2,804.2,272.9,896.2,266.9,-0.3164,0
205,6.865,THUMB,1,725.0,227.2,803.1,262.2,897.8,258.1,-0.3277,0
206,6.899,THUMB,1,724.7,212.4,801.5,250.2,893.4,255.1,-0.358,0
207,6.933,THUMB,1,723.3,201.8,799.6,240.7,891.2,251.8,-0.3701,0
208,6.967,THUMB,1,721.7,193.1,797.4,232.7,886.7,250.3,-0.402,0
209,7.003,THUMB,1,720.0,187,795.0,226.1,886.2,244.7,-0.3995,0
210,7.039,THUMB,1,718.1,182.8,792.4,221.3,881.3,243.9,-0.3918,0
211,7.071,THUMB,1,716.7,178.6,789.8,218.6,877.7,242.2,-0.4073,0
212,7.099,THUMB,1,715.7,178.8,788.7,217.9,876.5,241.3,-0.4026,0
213,7.132,THUMB,1,715.9,182.8,788.4,219.6,879.5,244,-0.3893,0
214,7.166,THUMB,1,716.7,188.2,788.7,223.3,881.4,247.9,-0.3717,0
215,7.201,THUMB,1,717.3,196.9,789.5,227.6,883.9,252.4,-0.3126,0
216,7.237,THUMB,1,718.2,211.3,790.9,233.9,885.5,257.6,-0.2368,0
217,7.273,THUMB,1,720.9,227.7,792.6,244.9,893.7,266.3,-0.1792,0
218,7.304,THUMB,1,722.6,244.3,794.7,254,896.1,277.5,-0.1051,0
219,7.332,THUMB,1,725.5,259.6,797.7,262,900.4,287.1,-0.0266,0
220,7.365,THUMB,1,728.8,276.2,800.7,267.4,903.5,290.9,0.0971,0
221,7.4,THUMB,1,732.7,290.7,803.8,272.8,909.6,295.1,0.1886,0
222,7.434,THUMB,1,736.0,298.4,806.8,276.4,911.9,296.8,0.2425,0
223,7.47,THUMB,1,741.2,302.2,810.8,278.5,915.4,295.7,0.2591,0
224,7.506,THUMB,1,743.4,304.5,813.9,278.5,916.5,295.2,0.2949,0
225,7.538,THUMB,1,745.9,302.2,816.1,277,918.5,290,0.2745,0
226,7.565,THUMB,1,748.3,296.7,817.1,275.1,914.9,286.9,0.2384,0
227,7.599,THUMB,1,750.8,290.4,819.3,272.4,916.2,278.8,0.1985,0
228,7.634,THUMB,1,752.4,279,821.6,269.3,916.9,271.3,0.1025,0
229,7.668,THUMB,1,754.4,259.6,824.4,263.3,918.7,260.4,-0.038,0
230,7.704,THUMB,1,755.9,237,824.1,253.6,911.9,251.1,-0.1619,0
231,7.741,THUMB,1,755.4,216.4,822.9,240.3,906.5,246,-0.2361,0
232,7.771,THUMB,1,755.2,197.3,821.0,228.2,904.0,239,-0.2995,0
233,7.799,THUMB,1,754.1,182.5,819.8,217.2,901.7,227.4,-0.3478,0
234,7.832,THUMB,1,752.6,168.9,817.4,206.4,897.5,222.9,-0.3683,0
235,7.867,THUMB,1,752.3,156.1,814.6,197.5,892.7,217.2,-0.4039,0
236,7.901,THUMB,1,751.7,150.1,811.7,192.1,888.1,217.9,-0.4277,0
237,7.937,THUMB,1,751.2,147,808.5,189.5,889.3,214.5,-0.4275,0
238,7.973,THUMB,1,749.7,148.1,806.0,190.1,886.8,216.6,-0.4471,0
239,8.005,THUMB,1,747.9,154,804.9,193,890.5,222.7,-0.4185,0
240,8.032,THUMB,1,746.3,160.1,804.8,197,893.5,230.8,-0.3933,0
241,8.066,THUMB,1,746.2,169.4,806.1,202.4,896.7,240.7,-0.379,0
242,8.101,THUMB,1,747.3,190,808.3,215,902.8,250.3,-0.2672,0
243,8.134,THUMB,1,748.6,215.7,811.3,230.9,906.6,262.6,-0.1678,0
244,8.17,THUMB,1,750.0,239.6,812.6,246.1,906.9,275.8,-0.07,0
245,8.208,THUMB,1,750.9,258.9,815.5,255.1,912.6,284.2,0.0419,0
246,8.238,THUMB,1,751.4,273.1,816.9,259.9,915.6,292.2,0.1405,0
247,8.266,THUMB,1,752.2,282.5,820.3,262.9,925.3,292.1,0.2093,0
248,8.299,THUMB,1,754.1,291.1,823.3,264.6,926.5,290.8,0.2879,0
249,8.334,THUMB,1,757.4,296.7,826.4,265.3,930.5,289.4,0.3346,0
250,8.367,THUMB,1,761.0,297.5,829.7,265.8,934.1,287.9,0.3483,0
251,8.404,THUMB,1,763.4,294.1,831.6,264.2,931.5,285.6,0.3154,0
252,8.44,THUMB,1,766.8,289.2,834.7,260.9,933.5,280.3,0.295,0
253,8.471,THUMB,1,769.2,283.8,838.0,259,936.8,270.2,0.2567,0
254,8.499,THUMB,1,773.4,275.4,840.7,257.2,935.9,267.9,0.1892,0
255,8.533,THUMB,1,778.4,259.4,845.0,253.7,936.6,261.6,0.061,0
256,8.567,THUMB,1,784.4,244.8,851.8,249.1,942.8,250.8,-0.0474,0
257,8.602,THUMB,1,792.0,230.5,855.2,242.4,944.5,240.2,-0.1194,0
258,8.638,THUMB,1,797.9,217.4,858.5,234.5,945.7,234.1,-0.1674,0
259,8.673,THUMB,1,802.2,205.3,860.9,227.4,941.7,231.3,-0.2206,0
260,8.705,THUMB,1,807.6,195.3,865.4,220.8,946.6,224.2,-0.2671,0
261,8.732,THUMB,1,811.7,187.6,867.1,215.6,945.6,220.3,-0.2851,0
262,8.765,THUMB,1,815.1,181.1,868.2,211.1,943.7,219,-0.3094,0
263,8.8,THUMB,1,817.6,177.2,869.6,209.2,945.6,219.7,-0.3385,0
264,8.835,THUMB,1,819.0,176.7,870.0,208.6,949.1,219.9,-0.3282,0
265,8.87,THUMB,1,820.4,179.6,871.7,211,953.8,225.2,-0.3288,0
266,8.906,THUMB,1,821.6,185.1,874.0,214.2,957.6,225.3,-0.3093,0
267,8.939,THUMB,1,823.0,190.2,875.0,218,961.0,238,-0.2852,0
268,8.966,THUMB,1,822.5,202.4,876.7,221.6,964.6,251.3,-0.2052,0
269,8.999,THUMB,1,823.0,218.8,880.5,224.9,981.5,254.2,-0.0669,0
270,9.043,THUMB,1,824.3,243.6,882.7,226.3,986.2,264.1,0.1823,0
271,9.077,THUMB,1,822.3,268.4,885.7,230.3,987.2,272.3,0.4343,0
272,9.109,THUMB,1,822.1,281.3,888.1,235.8,989.5,275.1,0.5343,0
273,9.143,THUMB,1,821.6,295.5,888.4,240.3,993.1,274.5,0.6549,0
274,9.177,THUMB,1,822.4,298.3,889.4,245.3,991.2,285.2,0.604,0
275,9.21,THUMB,1,823.9,298,890.2,244.9,990.4,281,0.6051,0
276,9.242,THUMB,1,826.8,296.7,890.7,244.6,990.9,276.1,0.5818,0
277,9.276,THUMB,1,829.4,290.6,892.4,242.6,995.8,271.4,0.5259,0
278,9.31,THUMB,1,834.1,284.7,894.5,239.5,995.9,262.8,0.4925,0
279,9.343,THUMB,1,836.0,279.8,895.0,233.5,993.9,245.1,0.5015,0
280,9.377,THUMB,1,838.1,265.9,894.3,223.2,990.3,239.9,0.4458,0
281,9.411,THUMB,1,837.3,245.7,892.9,215.9,984.8,230.8,0.3183,0
282,9.443,THUMB,1,837.1,227.1,891.0,210.8,978.4,219.5,0.1679,0
283,9.477,THUMB,1,836.9,209,889.9,205,976.4,208.7,0.043,0
284,9.51,THUMB,1,837.0,193.9,888.6,202.2,972.4,205.2,-0.0859,0
285,9.543,THUMB,1,836.4,183.9,888.4,196.9,970.6,196.8,-0.1387,0
286,9.577,THUMB,1,836.2,173.2,887.0,190.9,962.0,193.5,-0.1985,0
287,9.61,THUMB,1,837.0,163.3,886.0,186.1,962.2,191.4,-0.2486,0
288,9.642,THUMB,1,837.2,155.5,884.3,181.1,960.0,188.8,-0.2746,0
289,9.677,THUMB,1,836.7,151.5,882.7,177.9,957.2,188.3,-0.2848,0
290,9.711,THUMB,1,836.2,150,881.9,178,955.4,189.1,-0.3177,0
291,9.743,THUMB,1,835.3,153.5,881.9,181.6,961.1,194.5,-0.325,0
292,9.777,THUMB,1,833.5,160,881.1,184.9,959.8,200.9,-0.2892,0
293,9.81,THUMB,1,832.1,166.6,880.4,189.5,964.0,210.5,-0.2521,0
294,9.843,THUMB,1,831.0,183.9,881.0,195.4,970.0,218.9,-0.1279,0
295,9.877,THUMB,1,829.9,213,883.4,202.1,985.3,228.8,0.1235,0
296,9.911,THUMB,1,831.6,237.2,885.4,208.2,989.1,237.8,0.32,0
297,9.943,THUMB,1,832.6,261.6,887.7,214.1,986.8,246.6,0.5493,0
298,9.979,THUMB,1,832.0,286.8,888.8,222.9,989.2,246.3,0.7663,0
299,10.01,THUMB,1,831.7,303.6,888.3,232.4,986.8,248,0.8796,0
300,10.044,THUMB,1,829.8,307.8,888.3,239.6,986.5,256.7,0.831,0
301,10.077,THUMB,1,830.2,300.7,888.0,242.2,987.2,257.9,0.7154,0
302,10.11,THUMB,1,831.0,295.8,888.9,242.9,987.8,248.5,0.6661,0
303,10.144,THUMB,1,830.9,287.1,889.7,237.3,987.5,238.7,0.5824,0
304,10.176,THUMB,1,832.3,281.3,888.8,228.9,983.5,222.1,0.5729,0
305,10.21,THUMB,1,831.6,263.9,887.3,215.8,982.4,218.2,0.5217,0
306,10.244,THUMB,1,830.9,244.1,886.5,202,976.3,205.7,0.4707,0
307,10.276,THUMB,1,828.9,224.8,884.9,191.2,973.1,189.8,0.3519,0
308,10.311,THUMB,1,829.0,206.1,883.4,185.4,975.5,176.7,0.2203,0
309,10.344,THUMB,1,828.8,191.3,882.2,178.9,974.2,168.9,0.1335,0
310,10.377,THUMB,1,829.9,173.9,881.6,173.3,969.7,172.2,0.0068,0
311,10.411,THUMB,1,831.1,160.4,881.4,168.1,967.2,166.3,-0.0817,0
312,10.444,THUMB,1,831.9,154.6,881.6,162.9,964.1,155.1,-0.0875,0
313,10.476,THUMB,1,833.5,150.2,882.7,158.6,968.2,151.9,-0.0883,0
314,10.511,THUMB,1,833.7,145.3,882.8,154.4,965.1,155.1,-0.0969,0
315,10.544,THUMB,1,833.2,144.7,883.5,152.7,965.4,157.4,-0.0889,0
