frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.02,THUMB,1,-4.1,368.4,57.6,395.4,130.4,443.7,-0.4805,0
1,0.043,THUMB,1,-2.5,367.7,59.5,392.8,131.3,443.1,-0.385,0
2,0.055,THUMB,1,-4.5,376,57.4,400.6,126.4,444.3,-0.4502,0
3,0.067,THUMB,1,-6.5,393.1,53.9,413.8,125.8,444.6,-0.3821,0
4,0.083,THUMB,1,-9.5,410.4,48.3,425.3,125.5,446.7,-0.2763,0
5,0.117,THUMB,1,-13.4,419.9,39.9,433.7,121.9,446.2,-0.2624,0
6,0.134,THUMB,1,-14.3,430.4,36.4,441.7,115.8,445.2,-0.2288,0
7,0.15,THUMB,1,-16.3,436.6,36.1,448.5,112.1,438.4,-0.2474,0
8,0.169,THUMB,1,-20.9,435.3,34.0,449,104.1,438.9,-0.3054,0
9,0.203,THUMB,1,-24.0,440.8,33.4,450.5,100.1,441.4,-0.2368,0
10,0.218,THUMB,1,-21.4,442.8,36.7,449.9,107.4,444,-0.1991,0
11,0.239,THUMB,1,-20.6,447.1,38.4,450.5,100.7,447.4,-0.0964,0
12,0.256,THUMB,0,,,,,,,,0
13,0.284,THUMB,0,,,,,,,,0
14,0.315,THUMB,0,,,,,,,,0
15,0.345,THUMB,0,,,,,,,,0
16,0.382,THUMB,0,,,,,,,,0
17,0.414,THUMB,0,,,,,,,,0
18,0.426,THUMB,0,,,,,,,,0
19,0.438,THUMB,0,,,,,,,,0
20,0.451,THUMB,0,,,,,,,,0
21,0.462,THUMB,0,,,,,,,,0
22,0.479,THUMB,0,,,,,,,,0
23,0.496,THUMB,0,,,,,,,,0
24,0.513,THUMB,0,,,,,,,,0
25,0.529,THUMB,0,,,,,,,,0
26,0.546,THUMB,0,,,,,,,,0
27,0.563,THUMB,0,,,,,,,,0
28,0.579,THUMB,0,,,,,,,,0
29,0.597,THUMB,0,,,,,,,,0
30,0.614,THUMB,0,,,,,,,,0
31,0.632,THUMB,0,,,,,,,,0
32,0.649,THUMB,0,,,,,,,,0
33,0.666,THUMB,0,,,,,,,,0
34,0.693,THUMB,1,861.5,265,881.7,297.1,972.5,331.1,-0.2309,0
35,0.707,THUMB,1,848.2,266.3,879.5,303.2,957.8,344.8,-0.2911,0
36,0.722,THUMB,1,814.6,268.8,866.1,309.5,927.2,356,-0.3393,0
37,0.74,THUMB,1,765.6,277.6,836.3,322.3,915.5,343.7,-0.3337,0
38,0.76,THUMB,1,720.9,288.5,802.2,330.3,889.4,369.5,-0.3562,0
39,0.78,THUMB,1,678.8,300,766.5,336.7,866.7,377,-0.3378,0
40,0.794,THUMB,1,647.3,311.1,745.1,344.3,858.7,382.6,-0.3022,0
41,0.803,THUMB,1,622.3,321.7,728.4,350,833.5,397.3,-0.2708,0
42,0.813,THUMB,1,596.2,334.7,711.3,354.6,831.6,397.2,-0.1971,0
43,0.83,THUMB,1,570.6,353.8,684.8,361.2,802.6,403.4,-0.0766,0
44,0.847,THUMB,1,553.6,370,666.9,369.3,793.1,403.2,0.0079,0
45,0.863,THUMB,1,537.1,378.6,655.0,380.1,784.7,418.4,-0.0152,0
46,0.88,THUMB,1,527.9,386.4,640.6,387.4,768.9,420.9,-0.0092,0
47,0.897,THUMB,1,518.8,395.8,627.0,390.7,748.0,422.1,0.0509,0
48,0.913,THUMB,1,514.3,399.7,621.9,395.1,748.6,417.1,0.0442,0
49,0.931,THUMB,1,510.1,405.5,617.2,400.5,740.0,429.3,0.0482,0
50,0.948,THUMB,1,508.7,409.2,616.2,404.6,741.9,426.6,0.0456,0
51,0.965,THUMB,1,513.2,408.5,618.6,405.8,744.6,439,0.027,0
52,0.982,THUMB,1,515.3,407.4,617.3,404.9,737.6,435.2,0.0251,0
53,0.999,THUMB,1,517.6,404.3,618.5,404.3,739.3,435.1,0.0008,0
54,1.016,THUMB,1,522.1,399.6,620.4,403.2,742.0,432.1,-0.0357,0
55,1.033,THUMB,1,521.0,396.4,621.0,401.1,737.5,432.6,-0.0487,0
56,1.051,THUMB,1,520.7,392.8,621.5,399,736.8,433.5,-0.0651,0
57,1.068,THUMB,1,520.5,390.6,622.0,398.6,737.7,434.5,-0.0842,0
58,1.085,THUMB,1,523.5,390.2,623.4,399.4,736.5,439.5,-0.0994,0
59,1.102,THUMB,1,526.4,393.1,625.4,401.5,743.0,433.7,-0.091,0
60,1.12,THUMB,1,530.5,403.4,628.0,404.3,748.9,433.9,-0.0101,0
61,1.139,THUMB,1,533.3,426.3,630.5,410.9,750.5,437.1,0.1648,0
62,1.158,THUMB,1,537.1,458.3,633.1,418.9,755.9,432.8,0.4382,0
63,1.179,THUMB,1,539.4,478.9,633.7,429.9,754.5,439.4,0.522,0
64,1.197,THUMB,1,543.3,487,633.4,433.2,760.1,437.6,0.5428,1
65,1.214,THUMB,1,544.6,490.9,631.5,435.3,754.5,431.8,0.5197,0
66,1.229,THUMB,1,548.4,494.6,630.7,436.6,751.0,435.8,0.5744,0
67,1.244,THUMB,1,550.1,494,631.3,437.1,754.0,430.9,0.5781,0
68,1.259,THUMB,1,550.7,488.5,632.1,437.5,755.1,439.5,0.5154,0
69,1.274,THUMB,1,549.8,481.4,633.0,435.7,754.4,437,0.4767,0
70,1.289,THUMB,1,548.7,473.4,633.9,433,753.9,441.8,0.4385,0
71,1.304,THUMB,1,547.6,468,634.9,430,758.2,436.4,0.4072,0
72,1.32,THUMB,1,546.9,458.7,636.3,428.4,752.0,440,0.3294,0
73,1.337,THUMB,1,546.9,446.4,638.4,426.7,756.2,432,0.2097,0
74,1.354,THUMB,1,547.2,436.1,640.3,425,756.6,434.7,0.1169,0
75,1.37,THUMB,1,547.8,428.9,642.3,423.3,762.0,430.1,0.0587,0
76,1.387,THUMB,1,548.2,423.2,644.9,422.2,763.6,436.8,0.0109,0
77,1.403,THUMB,1,549.1,420.8,647.2,420.7,763.0,434.3,0.0005,0
78,1.42,THUMB,1,551.2,417.6,649.5,419.5,763.2,435.1,-0.0201,0
79,1.436,THUMB,1,553.4,416.9,651.0,418.7,764.3,435.3,-0.0187,0
80,1.454,THUMB,1,555.9,420.3,655.3,417.4,775.3,431.1,0.0303,0
81,1.471,THUMB,1,558.5,427.6,659.6,419.3,782.3,432.6,0.0875,0
82,1.487,THUMB,1,562.3,441.5,663.6,422.3,786.2,437.9,0.2106,0
83,1.504,THUMB,1,567.0,460.1,666.2,427.9,791.2,444.7,0.3447,0
84,1.521,THUMB,1,573.0,471.5,665.5,430.7,792.4,444.5,0.4105,1
85,1.537,THUMB,1,575.7,480.7,664.6,433.6,789.0,440.7,0.4495,0
86,1.554,THUMB,1,576.2,487.2,664.6,435.9,797.7,436.2,0.4711,0
87,1.571,THUMB,1,577.0,486.2,666.7,437.3,799.3,442.9,0.4838,0
88,1.588,THUMB,1,577.4,484.6,669.7,439.2,802.6,436,0.4498,0
89,1.606,THUMB,1,575.3,479.1,672.4,436.8,796.7,427.7,0.4384,0
90,1.623,THUMB,1,573.9,472.7,674.6,434.8,801.4,435.9,0.3863,0
91,1.64,THUMB,1,574.1,463.9,676.2,432.8,797.7,436.5,0.3189,0
92,1.657,THUMB,1,575.2,448.2,678.0,430.9,794.0,440.3,0.1811,0
93,1.675,THUMB,1,576.7,429.1,679.9,427.3,792.4,437.9,0.0191,0
94,1.694,THUMB,1,578.7,413.1,681.6,423.3,791.9,438.5,-0.1034,0
95,1.712,THUMB,1,580.2,401.4,681.7,420.6,787.9,440.9,-0.196,0
96,1.729,THUMB,1,581.0,394.8,681.3,418.9,791.0,439.5,-0.2321,0
97,1.745,THUMB,1,581.5,392.8,681.4,418,789.5,443.7,-0.2485,0
98,1.763,THUMB,1,582.8,395.7,682.5,418.6,794.5,444,-0.2255,0
99,1.78,THUMB,1,584.3,402.9,684.4,419.8,801.2,442.3,-0.162,0
100,1.797,THUMB,1,585.2,413.1,687.4,422.4,811.8,439.1,-0.0903,0
101,1.815,THUMB,1,586.6,436.1,691.2,429.5,817.8,447.8,0.0665,1
102,1.832,THUMB,1,587.5,458.7,693.1,436.2,821.3,451.8,0.2352,0
103,1.85,THUMB,1,587.4,475.5,692.1,441.1,815.4,464.4,0.3447,0
104,1.867,THUMB,1,589.3,480.7,692.2,443.9,815.4,451.4,0.3597,0
105,1.881,THUMB,1,589.7,482.3,693.2,447.3,823.6,451.9,0.335,0
106,1.896,THUMB,1,589.9,480.7,694.1,446.7,817.0,450.9,0.3498,0
