frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.016,THUMB,0,,,,,,,,0
1,0.049,THUMB,0,,,,,,,,0
2,0.082,THUMB,0,,,,,,,,0
3,0.119,THUMB,0,,,,,,,,0
4,0.15,THUMB,0,,,,,,,,0
5,0.182,THUMB,0,,,,,,,,0
6,0.215,THUMB,0,,,,,,,,0
7,0.25,THUMB,0,,,,,,,,0
8,0.287,THUMB,0,,,,,,,,0
9,0.318,THUMB,0,,,,,,,,0
10,0.348,THUMB,0,,,,,,,,0
11,0.382,THUMB,0,,,,,,,,0
12,0.417,THUMB,0,,,,,,,,0
13,0.453,THUMB,0,,,,,,,,0
14,0.485,THUMB,0,,,,,,,,0
15,0.515,THUMB,0,,,,,,,,0
16,0.549,THUMB,0,,,,,,,,0
17,0.585,THUMB,0,,,,,,,,0
18,0.618,THUMB,0,,,,,,,,0
19,0.648,THUMB,0,,,,,,,,0
20,0.682,THUMB,0,,,,,,,,0
21,0.718,THUMB,0,,,,,,,,0
22,0.754,THUMB,0,,,,,,,,0
23,0.785,THUMB,0,,,,,,,,0
24,0.815,THUMB,0,,,,,,,,0
25,0.85,THUMB,0,,,,,,,,0
26,0.884,THUMB,0,,,,,,,,0
27,0.918,THUMB,0,,,,,,,,0
28,0.949,THUMB,0,,,,,,,,0
29,0.983,THUMB,0,,,,,,,,0
30,1.018,THUMB,0,,,,,,,,0
31,1.054,THUMB,0,,,,,,,,0
32,1.086,THUMB,0,,,,,,,,0
33,1.116,THUMB,0,,,,,,,,0
34,1.15,THUMB,0,,,,,,,,0
35,1.184,THUMB,0,,,,,,,,0
36,1.221,THUMB,0,,,,,,,,0
37,1.252,THUMB,0,,,,,,,,0
38,1.283,THUMB,0,,,,,,,,0
39,1.316,THUMB,0,,,,,,,,0
40,1.351,THUMB,0,,,,,,,,0
41,1.388,THUMB,0,,,,,,,,0
42,1.419,THUMB,0,,,,,,,,0
43,1.449,THUMB,0,,,,,,,,0
44,1.484,THUMB,0,,,,,,,,0
45,1.518,THUMB,0,,,,,,,,0
46,1.554,THUMB,0,,,,,,,,0
47,1.585,THUMB,0,,,,,,,,0
48,1.616,THUMB,0,,,,,,,,0
49,1.65,THUMB,0,,,,,,,,0
50,1.686,THUMB,0,,,,,,,,0
51,1.718,THUMB,0,,,,,,,,0
52,1.762,THUMB,1,391.7,47.6,350.3,181.8,155,232.2,-0.9102,0
53,1.785,THUMB,1,423.4,76.7,370,189.6,276.5,290.8,-0.8259,0
54,1.819,THUMB,1,484.1,121.7,415.7,210.2,326.6,305.7,-0.6757,0
55,1.855,THUMB,1,534.3,154.6,455.2,229.8,359,317.3,-0.6234,0
56,1.887,THUMB,1,565,169.1,482.8,244.1,376.2,318.7,-0.6513,0
57,1.914,THUMB,1,587.8,180.8,501.1,252.2,389.8,321.4,-0.6242,0
58,1.948,THUMB,1,606.8,192.4,515.6,259.7,399.1,325.6,-0.5988,0
59,1.983,THUMB,1,616.4,196.9,526.3,264.1,410,327,-0.6076,0
60,2.017,THUMB,1,620.4,198.7,531.8,266.2,415.8,325.8,-0.6147,0
61,2.054,THUMB,1,622.3,198.2,534.7,266.2,417.3,329.8,-0.6063,0
62,2.087,THUMB,1,621.7,198.7,534.4,266.9,415.7,328.2,-0.6144,0
63,2.114,THUMB,1,618.6,200.4,531.4,269,410.2,330.8,-0.6228,0
64,2.148,THUMB,1,613.6,209.4,527.1,275.7,407.6,335.9,-0.631,0
65,2.183,THUMB,1,611.4,233.5,522.3,287.5,399.2,340.2,-0.5259,0
66,2.217,THUMB,1,610.3,273.1,517.3,305.2,395.4,352.4,-0.3312,0
67,2.253,THUMB,1,606.8,326.9,511,328.3,389.6,360.3,-0.0146,0
68,2.291,THUMB,1,602.2,367.1,504.4,346.8,388.4,369.6,0.2191,0
69,2.32,THUMB,1,598.6,381.2,500,354.2,383.5,370.1,0.2824,0
70,2.348,THUMB,1,592.5,373.9,496.1,353.1,383.7,367.7,0.2385,0
71,2.382,THUMB,1,588.3,353.7,492.9,347.1,383.1,363.7,0.0722,0
72,2.416,THUMB,1,584.6,334.2,492.3,338.2,387.1,354.6,-0.0424,0
73,2.45,THUMB,1,582.4,296.9,493,327.9,390.7,344.5,-0.317,0
74,2.486,THUMB,1,580.2,252.5,494.2,309.3,390.7,338.7,-0.5555,0
75,2.523,THUMB,1,580.1,223.2,496.4,290.4,394.4,333.5,-0.627,0
76,2.554,THUMB,1,580.9,209.6,498.1,278.6,397.9,329.7,-0.6442,0
77,2.581,THUMB,1,582,207.1,499.8,273.1,398.4,329.2,-0.628,0
78,2.615,THUMB,1,584.6,217.5,501.4,273.6,401.7,333.9,-0.5358,0
79,2.649,THUMB,1,589.1,234.8,501.5,282.5,398.9,340.1,-0.4863,0
80,2.683,THUMB,1,591.5,282.9,501.7,291.4,398.2,352.3,-0.0925,0
81,2.719,THUMB,1,590.9,341.1,501.4,312.8,395.2,356.8,0.3093,0
82,2.755,THUMB,1,589.9,369.5,500.7,326.6,394.8,354.4,0.4636,0
83,2.787,THUMB,1,589.7,369.9,501.2,330.6,398.3,356.6,0.4294,0
84,2.815,THUMB,1,589.6,351.5,501.4,329.2,396.7,358.3,0.2409,0
85,2.848,THUMB,1,589.7,336,502,323.7,399.7,353.1,0.1283,0
86,2.883,THUMB,1,589.1,304.9,502.7,318.6,402.5,351.6,-0.1391,0
87,2.918,THUMB,1,588.6,269,503.6,309.3,402.1,344.5,-0.3988,0
88,2.953,THUMB,1,588.7,239.1,505.3,296.8,402.9,339.3,-0.5678,0
89,2.987,THUMB,1,589.2,218.7,507.6,285.9,404.8,335.6,-0.628,0
90,3.014,THUMB,1,591.4,214.2,509.2,279.3,407.7,334.1,-0.6113,0
91,3.048,THUMB,1,595,229.3,508.4,278.7,405.2,333.8,-0.4908,0
92,3.083,THUMB,1,593.9,245.5,506.7,285.2,403.8,338,-0.4156,0
93,3.117,THUMB,1,590.1,289.6,505.5,290.2,407.5,341.2,-0.007,0
94,3.153,THUMB,1,586.5,319.2,504.8,296.1,409.4,344.3,0.2571,0
95,3.191,THUMB,1,589.7,318.9,504.7,302.6,407.2,344.7,0.1755,0
96,3.221,THUMB,1,594.9,303.9,505.7,303.1,407.6,345.1,0.0083,0
97,3.248,THUMB,1,599,289.7,508.2,301.6,409.1,345.7,-0.1215,0
98,3.282,THUMB,1,604.2,275,509.6,300,407,347.9,-0.255,0
99,3.317,THUMB,1,603.5,278.2,507.8,299.7,404.2,343.3,-0.2293,0
100,3.35,THUMB,1,600.1,286.8,505.9,301.6,403.6,342.5,-0.1591,0
101,3.387,THUMB,1,595.4,305,504,302.9,404.2,345.8,0.0227,0
102,3.42,THUMB,1,595,312.3,503.7,303.9,404.9,345.7,0.0894,0
103,3.448,THUMB,1,597,306.8,504.5,302.7,406,344.2,0.0427,0
104,3.481,THUMB,1,599.3,296,506.1,300.4,406.9,343.2,-0.0457,0
105,3.516,THUMB,1,601.7,280.1,508.1,297.6,405.8,342.6,-0.1778,0
106,3.55,THUMB,1,604.1,262.4,510.4,294.8,405.6,343.7,-0.3185,0
107,3.586,THUMB,1,603.5,240,513.1,290.7,406.5,342.5,-0.4884,0
