frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.026,THUMB,0,,,,,,,,0
1,0.059,THUMB,0,,,,,,,,0
2,0.127,THUMB,0,,,,,,,,0
3,0.159,THUMB,0,,,,,,,,0
4,0.192,THUMB,0,,,,,,,,0
5,0.227,THUMB,0,,,,,,,,0
6,0.264,THUMB,0,,,,,,,,0
7,0.327,THUMB,0,,,,,,,,0
8,0.359,THUMB,0,,,,,,,,0
9,0.428,THUMB,0,,,,,,,,0
10,0.461,THUMB,0,,,,,,,,0
11,0.525,THUMB,0,,,,,,,,0
12,0.562,THUMB,0,,,,,,,,0
13,0.627,THUMB,0,,,,,,,,0
14,0.658,THUMB,0,,,,,,,,0
15,0.728,THUMB,0,,,,,,,,0
16,0.774,THUMB,1,453,297.2,393.7,298.5,299.2,329.1,-0.0087,0
17,0.828,THUMB,1,499.1,310.8,426.2,308.6,348.9,352.1,0.0184,0
18,0.864,THUMB,1,540.2,331.7,469.8,325,391.7,375.7,0.0615,0
19,0.9,THUMB,1,604.5,361.7,515.3,334.3,427.9,377.2,0.2787,0
20,0.93,THUMB,1,631.8,378.1,547.1,341.7,447.2,382.2,0.391,0
21,0.957,THUMB,1,663.2,395.3,578.2,351.9,467.9,382.9,0.4582,0
22,1.025,THUMB,1,683.2,417.3,595.8,362.4,479.4,397.2,0.5982,0
23,1.059,THUMB,1,688.6,433.2,605.7,368.6,488.7,406,0.6974,0
24,1.134,THUMB,1,692.2,448.9,612.3,375.1,490.6,398.5,0.7811,0
25,1.164,THUMB,1,689.3,470.3,613.1,383.4,490.8,411.6,0.8552,0
26,1.223,THUMB,1,685.9,483.9,614.6,393,496,414.3,0.9542,0
27,1.259,THUMB,1,685.7,489,615.6,397.4,499.3,419.2,0.9465,0
28,1.292,THUMB,1,684,492.2,615.3,397.6,498.3,407.9,0.9698,0
29,1.328,THUMB,1,684,493.4,615.2,396.9,496.2,407.7,0.9877,0
30,1.366,THUMB,1,686.3,494.6,617.5,397.4,498.5,403.2,0.9614,0
31,1.43,THUMB,1,688.3,494.1,618.5,397.5,492.2,405.7,0.9798,0
32,1.457,THUMB,1,690.3,494.5,621.3,396.5,498.7,403.6,0.9651,0
33,1.525,THUMB,1,691.6,496.7,626.9,397.8,501.5,404.5,0.9385,0
34,1.56,THUMB,1,692.1,496.2,632.4,396.5,507.5,399.4,0.9386,0
35,1.629,THUMB,1,691.4,499.5,631.3,393.5,503.4,384.1,1.0432,0
36,1.657,THUMB,1,691.6,498.5,630.6,391.5,500.7,377.3,0.9427,0
37,1.726,THUMB,1,691.1,497,627.7,390.2,497.3,385.6,1.0149,0
38,1.76,THUMB,1,689.7,493.6,624.7,391.6,490.4,399.5,0.9482,0
39,1.833,THUMB,1,688.7,493.2,620.7,396.5,489.7,401.1,0.9823,0
40,1.864,THUMB,1,688.9,494.2,620,398.8,492.1,409,0.9642,0
41,1.924,THUMB,1,687.6,494.8,619.4,402.3,497.6,415.6,0.9658,0
42,1.959,THUMB,1,684.5,493.9,612.4,406.6,476.1,416.6,0.9364,0
43,2.029,THUMB,1,680.7,495.7,604.1,416,477.2,415.5,0.7761,0
44,2.063,THUMB,1,674.4,496.1,596.2,414.8,464.1,401.6,0.8055,0
45,2.124,THUMB,1,659.2,493.8,581,408.9,450.6,402.6,0.9437,0
46,2.16,THUMB,1,629.1,494.1,561.4,404.3,435.1,399.8,0.956,0
47,2.229,THUMB,1,612.3,493,547.9,401.2,429.3,409.7,0.9984,0
48,2.263,THUMB,1,602,491,537.8,400.3,417.1,414.5,0.9942,0
49,2.291,THUMB,1,598.1,489.3,534.3,400,418.2,415.3,0.9759,0
50,2.359,THUMB,1,594.2,485.9,531.5,396.5,413.3,412.8,0.9645,0
51,2.394,THUMB,1,592.6,483,529.4,394.9,407.8,417.4,0.8918,0
52,2.467,THUMB,1,593.2,481,531.8,396.3,416.6,420.5,0.8554,0
53,2.497,THUMB,1,593.7,481.6,533.5,396.4,420.9,413.2,0.8697,0
54,2.524,THUMB,1,592.4,480.5,532.5,395.6,414.9,415.5,0.8866,0
55,2.558,THUMB,1,590.6,482.1,532.3,396.4,411.5,412.8,0.8373,0
56,2.593,THUMB,1,589.7,482.7,531.8,396.4,411.6,402.6,0.8579,0
57,2.662,THUMB,1,593.1,481.7,531.1,389.7,413.9,394.7,0.998,0
58,2.7,THUMB,1,595.3,480.4,530.5,378.8,416.7,375.4,1.1017,0
59,2.764,THUMB,1,604.3,481.6,527.1,375.6,391.8,364.6,1.0083,0
60,2.791,THUMB,1,604.2,483,527.5,375.2,409.2,376.2,1.1588,0
61,2.859,THUMB,1,609,487.6,526.5,378.4,408.5,391,1.0652,0
62,2.893,THUMB,1,613.6,489.5,528.3,382.8,420.5,414.1,1.0898,0
63,2.968,THUMB,1,614.9,491.8,529.7,388,419.5,399.3,1.123,0
64,2.997,THUMB,1,614.6,492,533.5,394.9,417.3,399.9,0.8171,0
65,3.025,THUMB,1,616,493.2,546.7,390.5,425.8,367.9,0.9694,0
66,3.093,THUMB,1,621.9,490.1,567.1,379.6,443.2,326.1,0.9298,0
67,3.163,THUMB,1,490.5,372,509.8,363.5,470.2,331.6,0.1617,0
68,3.196,THUMB,0,,,,,,,,0
69,3.231,THUMB,1,214.3,337.5,314.3,337.5,404.1,300.6,-0.0003,0
70,3.258,THUMB,1,480.3,345.3,445.2,329.2,433,290.8,0.1537,0
71,3.327,THUMB,1,464.4,355.2,473.9,315.4,435.1,266.5,0.3837,0
72,3.363,THUMB,1,465,357.2,481.4,312.6,417.2,279.3,0.4184,0
73,3.401,THUMB,0,,,,,,,,0
74,3.473,THUMB,0,,,,,,,,0
75,3.493,THUMB,0,,,,,,,,0
76,3.579,THUMB,1,461.3,281.1,491,310.9,457.8,397.7,-0.2099,0
77,3.6,THUMB,1,361.7,365.2,420.5,383.5,484,386.4,-0.161,0
78,3.664,THUMB,1,339.4,402.1,395.8,426.5,494.5,388.8,-0.2571,0
79,3.692,THUMB,0,,,,,,,,0
80,3.767,THUMB,1,594.3,434.4,542.8,398.5,436.4,400.7,0.3079,0
81,3.794,THUMB,1,596.8,457.3,543.9,404.8,432.3,404.6,0.4501,0
82,3.868,THUMB,1,605.6,472.9,547.3,412.6,434.3,410.2,0.5466,0
83,3.898,THUMB,1,609.4,479.5,549.9,413.3,449.9,416.1,0.7244,0
84,3.925,THUMB,1,612.4,487,552.3,414,453.6,414.6,0.8426,0
85,3.958,THUMB,1,613.6,487.7,555.9,413.4,453,416.1,0.895,0
86,3.993,THUMB,1,614.9,486,562.8,412.7,455.6,415.9,0.8604,0
87,4.063,THUMB,1,614.6,484.2,568.1,413,445.7,417.3,0.789,0
88,4.097,THUMB,1,614.1,482.3,564.8,412.3,429.5,420.3,0.8118,0
89,4.125,THUMB,1,613,482.9,562.2,411.9,426.5,417.5,0.8408,0
90,4.159,THUMB,1,611.2,483.9,556.6,411.5,412.6,422.2,0.8128,0
91,4.193,THUMB,1,609.1,482.9,549.4,410.4,407.2,427.2,0.7933,0
92,4.262,THUMB,1,605,481.8,539.6,410.2,408.2,429.7,0.7761,0
93,4.3,THUMB,1,602.4,479.2,534.3,412.3,399.6,426.5,0.6694,0
94,4.364,THUMB,1,598.4,473.7,534.3,408,396.2,428.8,0.5886,0
95,4.392,THUMB,1,598,475.5,536.1,405.3,411,428.1,0.6736,0
96,4.426,THUMB,1,599,476.3,537.5,400.2,416.4,419,0.7677,0
97,4.494,THUMB,1,599.8,478.8,541.4,396.8,427.5,425.2,0.8681,0
98,4.568,THUMB,1,599.5,478.6,542.6,399.8,419.4,417.5,0.8117,0
99,4.597,THUMB,1,599.1,478.6,541.6,400.8,412.4,416,0.7932,0
100,4.625,THUMB,1,598.6,475.7,535.1,403.9,401.5,421.1,0.7488,0
101,4.693,THUMB,1,595.8,472.6,522.5,407.3,390.4,424.3,0.647,0
102,4.727,THUMB,1,595.3,473.6,521.8,409.5,393.9,419.3,0.6417,0
103,4.801,THUMB,1,594.7,477.5,528.2,407.6,402.4,437.8,0.6644,0
104,4.831,THUMB,1,598.5,479.9,535.2,410.5,424.6,413.7,0.6892,0
105,4.858,THUMB,1,600.9,481.1,541.7,410.2,427.1,411.2,0.7475,0
106,4.892,THUMB,1,602.5,481.2,547.8,410.8,426.5,411,0.7258,0
107,4.927,THUMB,1,604.4,483.1,553,410.9,427.3,406.4,0.7253,0
108,4.961,THUMB,1,606,481.5,557.8,412.4,430.4,413.5,0.687,0
109,4.997,THUMB,1,607.2,483.8,562.2,415,433.3,411.4,0.6897,0
110,5.033,THUMB,1,608.8,485.2,565.1,415.7,437.4,408.5,0.6744,0
111,5.065,THUMB,1,609.5,482.3,569.6,419.5,435.9,416.4,0.5893,0
112,5.092,THUMB,1,610.2,479.3,571.4,422.2,434.4,438.4,0.5348,0
113,5.125,THUMB,1,613,480.5,573.2,418.5,437.4,414.7,0.6028,0
114,5.194,THUMB,1,615.6,482.9,577.5,411.3,445.1,434.6,0.7145,0
115,5.23,THUMB,1,617.4,484.6,575.8,406.6,436.5,414.2,0.7835,0
116,5.268,THUMB,1,618.3,486.3,574.3,403.2,435.5,415.4,0.8136,0
117,5.298,THUMB,1,618.7,488.1,573.5,397.5,439.8,394.9,0.94,0
118,5.325,THUMB,1,617.7,489.6,572.1,397,428.6,398.1,0.9121,0
119,5.359,THUMB,1,519.2,474.5,528.9,405.5,434,419.1,0.9408,0
120,5.428,THUMB,0,,,,,,,,0
121,5.462,THUMB,0,,,,,,,,0
122,5.508,THUMB,1,395.5,438.4,442.8,413.7,384.5,417.8,0.2522,0
123,5.527,THUMB,0,,,,,,,,0
124,5.559,THUMB,0,,,,,,,,0
125,5.594,THUMB,0,,,,,,,,0
126,5.628,THUMB,0,,,,,,,,0
127,5.696,THUMB,0,,,,,,,,0
128,5.727,THUMB,0,,,,,,,,0
129,5.797,THUMB,0,,,,,,,,0
130,5.841,THUMB,1,604.3,459.2,543.9,414.9,406.7,392.6,0.3875,0
131,5.862,THUMB,1,338.8,446.7,413.6,415.8,434.7,443,0.3209,0
132,5.897,THUMB,1,350.7,426.7,403.8,390.2,474.3,377.8,0.3648,0
133,5.931,THUMB,1,355.6,408.7,407,362.7,482.6,383.1,0.4485,0
134,5.967,THUMB,1,317.8,405.9,393.9,361,484.1,383.2,0.3635,0
135,5.998,THUMB,1,323.8,402.1,388.9,356.1,476.5,369.8,0.4099,0
136,6.025,THUMB,1,393.2,399.2,413.2,358.1,480.7,365,0.4379,0
137,6.059,THUMB,0,,,,,,,,0
138,6.101,THUMB,1,205.1,402.9,292.2,381.6,423.5,335.6,0.2255,0
139,6.128,THUMB,1,205.7,401.8,295,381.7,398.8,354.4,0.2227,0
140,6.164,THUMB,1,285.9,410.8,331.5,385.5,427.3,361.7,0.2379,0
141,6.2,THUMB,1,278.9,391.2,334.8,381.3,416.2,400.1,0.0698,0
142,6.232,THUMB,1,415.6,392.8,378.7,376.2,401.6,398.3,0.1318,0
143,6.258,THUMB,0,,,,,,,,0
144,6.334,THUMB,1,334.4,356.3,381.9,356.8,466.4,385.2,-0.0069,0
145,6.361,THUMB,1,482.3,375.2,460.1,380.7,439.6,412.6,-0.0574,0
146,6.398,THUMB,0,,,,,,,,0
147,6.446,THUMB,1,325.4,393.8,365.4,382.7,387.4,364.7,0.3148,0
148,6.458,THUMB,0,,,,,,,,0
149,6.499,THUMB,1,557.9,404.5,510.9,364.3,387.5,386.6,0.4591,0
150,6.525,THUMB,1,569.8,436.9,522.1,381.3,396.5,423.4,0.5522,0
151,6.561,THUMB,1,579.5,459.1,534.2,391.7,405.2,447.7,0.642,0
152,6.595,THUMB,1,585.4,471.6,539.6,398.4,407.1,448.6,0.6974,0
153,6.63,THUMB,1,586.7,475,541.9,404.7,406.2,454,0.6846,0
154,6.668,THUMB,1,593.1,476.8,544.5,412.9,405,451.2,0.6545,0
155,6.698,THUMB,1,595.8,477.2,550.1,416,412.3,446.4,0.6113,0
156,6.725,THUMB,1,600.6,481,556,417.4,424.9,431.6,0.6954,0
157,6.76,THUMB,1,602.6,486.1,563.9,417.5,432.1,424.3,0.7235,0
158,6.828,THUMB,1,606.1,490.3,571,416.5,438.1,419.5,0.7596,0
159,6.864,THUMB,1,608.7,487.9,581.8,410.5,461.3,386.5,0.8067,0
160,6.902,THUMB,1,613.3,489.9,591.2,402.9,466.7,385.2,0.8693,0
161,6.932,THUMB,1,618,490.3,596.7,397.9,468,384.3,0.9251,0
162,6.959,THUMB,1,619.8,489.9,596.9,392.9,467.8,383.9,1.0046,0
163,6.993,THUMB,1,621.8,487.9,597.4,384.8,465.3,383.7,1.0649,0
164,7.027,THUMB,1,622.2,487,595.4,383.7,464.6,388.3,1.0682,0
165,7.062,THUMB,1,621.5,486.8,595.4,383.1,465,390.9,1.0851,0
166,7.097,THUMB,1,618.9,486.5,593.9,385.1,458,400.4,1.0452,0
167,7.134,THUMB,1,617.4,486.7,591.3,388.9,457,403.1,1.0116,0
168,7.165,THUMB,1,616,488,589.5,391,456,400.3,0.9631,0
169,7.193,THUMB,1,612.8,489.1,584,390.9,451.9,397.1,1.0656,0
170,7.226,THUMB,1,611.1,489.9,577,391.7,448.6,400.8,1.0729,0
171,7.261,THUMB,1,608,490.3,570.8,392.7,444.5,397.4,1.0375,0
172,7.295,THUMB,1,607,487.9,567.2,396.6,441.7,412.1,0.9339,0
173,7.331,THUMB,1,605.8,485.2,562.3,399.6,437.7,416,0.908,0
174,7.367,THUMB,1,605.1,483.2,560.5,404.8,434.3,421.2,0.8069,0
175,7.399,THUMB,1,603.5,484.8,559.6,406.2,431.4,422.2,0.7954,0
176,7.426,THUMB,1,600.3,486.3,558.5,407.2,430.8,414,0.8349,0
177,7.46,THUMB,1,598.7,486.1,557,410.3,430.6,415,0.8317,0
178,7.495,THUMB,1,593.5,487.3,557.8,412.6,436.5,422.6,0.8365,0
179,7.528,THUMB,1,592.8,487.6,560.2,411.8,444.3,423.6,0.8377,0
180,7.564,THUMB,1,495.5,492.9,530.2,414.7,458.8,427.8,1.2983,0
181,7.602,THUMB,1,334.1,455.6,402.1,416.4,476,420,0.4454,0
182,7.632,THUMB,1,471,462.7,447,415.7,479.4,421.6,0.5394,0
183,7.659,THUMB,1,606.7,467.7,547,414.8,494.5,424.1,0.6565,0
184,7.693,THUMB,1,668,476.1,609.3,412.8,516,412.6,0.7465,0
185,7.728,THUMB,1,699.8,483.6,634.2,412.4,519.3,425.6,0.811,0
186,7.761,THUMB,1,723.9,481.6,659.6,414.3,529,432.1,0.7046,0
187,7.798,THUMB,1,740.8,481.7,672.6,417.4,528.1,432.1,0.6324,0
188,7.834,THUMB,1,761,484.9,676.9,423.4,518.6,437.8,0.5352,0
189,7.865,THUMB,1,762,488.5,676.5,425.6,512.6,434.5,0.5551,0
190,7.893,THUMB,1,771.3,488.5,684.5,426.6,522.1,421.8,0.5381,0
191,7.927,THUMB,1,775.3,489.9,683.2,427.2,517,420.6,0.5873,0
192,7.961,THUMB,1,748.8,478.5,671.8,429.7,511.1,418.5,0.46,0
193,7.995,THUMB,1,499,451.3,544.2,424.6,533.6,417.2,0.1981,0
194,8.031,THUMB,1,422.6,431.7,490.5,414.7,545.1,414.3,0.1047,0
195,8.068,THUMB,1,497.7,418.2,511.2,404.3,545.2,407.3,0.0953,0
196,8.099,THUMB,1,464.3,417.5,496.5,401.3,551.5,401.8,0.1121,0
197,8.126,THUMB,1,606.8,417.2,538.4,388.1,523.4,399.4,0.2463,0
198,8.16,THUMB,0,,,,,,,,0
199,8.202,THUMB,1,751.3,496.9,692.6,420.4,577.4,387,0.8832,0
200,8.229,THUMB,1,759,492.7,696.1,404.9,574,358.6,0.9502,0
201,8.264,THUMB,1,765.2,491.2,697.5,398.1,557.7,371,0.9123,0
202,8.301,THUMB,1,766.6,484.4,699,397.2,552.4,378.6,0.8301,0
203,8.333,THUMB,1,761.6,467.3,699.4,392.5,559.8,374.5,0.7664,0
204,8.359,THUMB,1,758.7,442.2,698.3,389.2,552,383.2,0.5449,0
205,8.393,THUMB,1,744.1,420,694.8,385.8,550.1,389.7,0.3679,0
206,8.428,THUMB,1,660,426.9,668.6,391,544.2,371.6,0.4535,0
207,8.461,THUMB,0,,,,,,,,0
208,8.509,THUMB,1,413.5,436.2,479.3,418,542.2,357.9,0.1442,0
209,8.534,THUMB,1,680.1,452.5,588.1,424.9,466.7,395.5,0.2162,0
210,8.565,THUMB,1,687.1,445.3,611.1,417.4,525.8,399,0.2297,0
211,8.593,THUMB,0,,,,,,,,0
212,8.634,THUMB,1,774.9,412.6,678.5,381.8,508.9,361.1,0.2861,0
213,8.66,THUMB,1,765.4,405.1,664.8,380.8,466.1,394.2,0.2245,0
214,8.695,THUMB,1,747.7,397.5,646.5,380.3,450.7,398.4,0.1481,0
215,8.731,THUMB,1,725.4,386.7,626.1,381.3,443.7,415,0.0455,0
216,8.766,THUMB,1,637.9,364,548.2,379.2,454.9,413.8,-0.1021,0
217,8.799,THUMB,0,,,,,,,,0
218,8.833,THUMB,1,652,438.5,591.6,386.2,497.8,381.4,0.7681,0
219,8.86,THUMB,1,645.8,440.3,573.3,383.3,438.1,397.2,0.5322,0
220,8.894,THUMB,1,309.1,415.6,357.9,383.8,422.5,386.8,0.3409,0
221,8.929,THUMB,1,455.2,424.1,443,387,381.3,385.3,0.3759,0
222,8.964,THUMB,1,476,434.1,463.2,388,361.9,403.9,0.4841,0
223,8.999,THUMB,1,492.9,444,464.2,395.8,339.2,415.7,0.4794,0
224,9.032,THUMB,1,381.8,491.7,409.8,417.4,320,426,0.8766,0
225,9.06,THUMB,1,198.3,469.6,268.2,407.4,340.8,375.1,0.5545,0
226,9.093,THUMB,1,305.1,468.3,357.3,408,320.8,405.5,0.5769,0
227,9.128,THUMB,1,390.8,471.6,376.5,405.8,306.1,413.5,0.6452,0
228,9.163,THUMB,1,418.5,472.5,386.1,406.2,306.5,428.4,0.6368,0
229,9.197,THUMB,1,421.1,474.1,390.3,407.2,303.6,425.6,0.6307,0
230,9.236,THUMB,1,418.6,474.1,396.1,412.4,306.2,425.8,0.5588,0
231,9.266,THUMB,1,415.3,474.9,398.2,416.6,305,424.2,0.5409,0
232,9.293,THUMB,1,414.2,475.6,399.6,419.7,306,428.3,0.5038,0
233,9.327,THUMB,1,414.4,476.2,402.5,422,314.8,425.5,0.4979,0
234,9.362,THUMB,1,415,476.9,404.6,422.8,313,423.3,0.4892,0
235,9.395,THUMB,1,414.7,477.5,405.1,422.7,309.2,419.5,0.4919,0
236,9.431,THUMB,1,414.9,477.6,406.2,421.7,304.3,422.1,0.503,0
237,9.469,THUMB,1,414.3,477.8,408.3,419.6,313.3,422.6,0.4895,0
238,9.499,THUMB,1,413.7,477.8,408.5,419.8,309.2,430.4,0.5098,0
239,9.526,THUMB,1,413.4,478,407,419.9,307.5,430.3,0.528,0
240,9.561,THUMB,1,413.1,478,405.5,421,307.8,437.2,0.5393,0
241,9.594,THUMB,1,412.7,477.5,406.3,422.3,312.7,438.9,0.4722,0
242,9.629,THUMB,1,412.5,477.2,407.7,423.9,321,438.1,0.4809,0
243,9.665,THUMB,1,412.4,478.2,410.6,427.2,325.6,436.5,0.4587,0
244,9.701,THUMB,1,414.4,479.2,415,428,335.5,435.1,0.4878,0
245,9.733,THUMB,1,415.1,479.2,419.3,428.2,342.9,428.3,0.4885,0
246,9.76,THUMB,1,416.9,479,420.9,428.1,343.1,418.5,0.5112,0
247,9.794,THUMB,1,417.4,478.3,424.2,429.6,350.1,421.8,0.48,0
248,9.828,THUMB,1,417.5,477.5,427.3,431.2,344.5,421.2,0.4397,0
249,9.862,THUMB,1,417.3,478.6,427.7,432.5,337,417.7,0.4446,0
250,9.897,THUMB,1,416.5,481.7,427.6,431.1,336.8,418,0.5174,0
251,9.935,THUMB,1,416,481.6,425.3,432.7,323.4,424.9,0.4242,0
252,9.966,THUMB,1,414.3,481.5,422.3,432.9,316.3,426.2,0.4324,0
253,9.994,THUMB,1,414.3,482.1,414.9,432.9,309.5,422.9,0.4498,0
254,10.027,THUMB,1,414.5,481.4,407.4,433.3,311.6,429.3,0.4578,0
255,10.062,THUMB,1,413.3,481,405,432.2,308.8,436.5,0.4535,0
256,10.095,THUMB,1,413.7,479.7,405.3,431.6,318.5,434.9,0.4548,0
257,10.132,THUMB,1,414.9,480.3,405.4,431.9,319.9,432.5,0.4864,0
