frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.03,THUMB,0,,,,,,,,0
1,0.062,THUMB,0,,,,,,,,0
2,0.1,THUMB,0,,,,,,,,0
3,0.134,THUMB,0,,,,,,,,0
4,0.165,THUMB,0,,,,,,,,0
5,0.196,THUMB,0,,,,,,,,0
6,0.23,THUMB,0,,,,,,,,0
7,0.265,THUMB,0,,,,,,,,0
8,0.302,THUMB,0,,,,,,,,0
9,0.332,THUMB,0,,,,,,,,0
10,0.363,THUMB,0,,,,,,,,0
11,0.397,THUMB,0,,,,,,,,0
12,0.431,THUMB,0,,,,,,,,0
13,0.468,THUMB,0,,,,,,,,0
14,0.499,THUMB,0,,,,,,,,0
15,0.529,THUMB,0,,,,,,,,0
16,0.563,THUMB,0,,,,,,,,0
17,0.598,THUMB,0,,,,,,,,0
18,0.649,THUMB,0,,,,,,,,0
19,0.667,THUMB,1,131.9,192.7,249.3,252.9,175.6,342.9,-0.4422,0
20,0.695,THUMB,1,162.8,196.9,261.2,255.3,208.8,355.2,-0.41,0
21,0.727,THUMB,1,288.2,227.3,307.9,275,247.7,346.2,-0.3553,0
22,0.763,THUMB,1,377,250,359.1,299.6,287.6,342.9,-0.357,0
23,0.796,THUMB,1,441.1,269.5,396.1,315.8,321.5,347.2,-0.3273,0
24,0.833,THUMB,1,499.1,289.2,433.2,325.7,360.7,355.1,-0.3081,0
25,0.87,THUMB,1,552.5,305,473.6,338,393,358.4,-0.2857,0
26,0.9,THUMB,1,584.4,314.4,501.5,340.8,418.4,362.7,-0.2675,0
27,0.928,THUMB,1,632,325,540.3,345.2,445.1,366.4,-0.2108,0
28,0.962,THUMB,1,671.9,336.7,576.4,348.9,473.8,378.9,-0.1366,0
29,0.996,THUMB,1,702.6,349.9,604.4,356.6,493.5,387.3,-0.0733,0
30,1.03,THUMB,1,730.5,360.3,629.5,364.5,513.2,395.3,-0.0466,0
31,1.066,THUMB,1,744.8,373.8,643,370.5,525.1,401.3,0.0373,0
32,1.104,THUMB,1,756.8,384.8,655.8,377.9,538.1,410.4,0.0798,0
33,1.134,THUMB,1,763.7,394.3,663.4,382.3,540.8,409.6,0.1407,0
34,1.161,THUMB,1,770,401.8,669.8,385.4,547.4,404,0.1866,0
35,1.195,THUMB,1,775.8,407.8,676.7,387.1,555,403.8,0.2348,0
36,1.229,THUMB,1,778.6,412.1,680.4,390.4,557.3,406.9,0.2497,0
37,1.263,THUMB,1,777.7,418.1,683.3,394.7,561.9,409.1,0.2713,0
38,1.299,THUMB,1,775.9,426.9,684.9,400.7,561.7,414.1,0.3011,0
39,1.335,THUMB,1,774.3,438,687.9,406.9,567,417.8,0.3583,0
40,1.367,THUMB,1,775.9,448.9,691.7,411.5,571,422,0.4241,0
41,1.395,THUMB,1,778.2,454.3,695.5,416.8,580.1,423.1,0.4339,0
42,1.428,THUMB,1,780.9,456.2,697.8,419.7,577.8,423.8,0.4125,0
43,1.462,THUMB,1,786.3,458.8,703,423.7,582.6,429.5,0.393,0
44,1.497,THUMB,1,792.1,462.4,709.2,427.8,589.3,433.6,0.3858,0
45,1.532,THUMB,1,796.7,472.3,713.6,431.4,584.5,437,0.4438,0
46,1.569,THUMB,1,797.5,485.4,715.7,438.2,584,438.9,0.4904,0
47,1.601,THUMB,1,798.8,491,716.7,443.3,577.7,443.8,0.4801,0
48,1.629,THUMB,1,797.5,489.9,715.3,443.7,585.2,443,0.4957,0
49,1.662,THUMB,1,795.9,491.9,714,444.5,581.8,440.4,0.4922,0
50,1.696,THUMB,1,793.5,493.6,712,444.2,580.7,446.6,0.5286,0
51,1.731,THUMB,1,788.2,493.7,709.1,442.1,574.7,437.2,0.5671,0
52,1.766,THUMB,1,779.1,493.9,703.3,439.8,558.4,434.1,0.5609,0
53,1.803,THUMB,1,769.8,494.3,692.8,439.4,547.3,438.4,0.5612,0
54,1.834,THUMB,1,754.6,494.2,681.3,437.6,542.8,436.2,0.5991,0
55,1.861,THUMB,1,732.4,493.7,659.6,437.3,517.2,437.5,0.6016,0
56,1.895,THUMB,1,712.5,492.8,643.6,436.1,511.3,441.9,0.6114,0
57,1.93,THUMB,1,691.6,492,620.8,434.8,493.3,434.3,0.6523,0
58,1.964,THUMB,1,672.6,491.1,601.9,433,477.7,432.2,0.6479,0
59,2,THUMB,1,650.4,489.8,585.7,430,464.1,429,0.6685,0
60,2.036,THUMB,1,632.1,488.1,565.5,429.2,452.8,429.8,0.6829,0
61,2.068,THUMB,1,609.7,489,549.5,430.8,435.4,428.2,0.5868,0
