frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.033,THUMB,0,,,,,,,,0
1,0.066,THUMB,0,,,,,,,,0
2,0.102,THUMB,0,,,,,,,,0
3,0.133,THUMB,0,,,,,,,,0
4,0.164,THUMB,0,,,,,,,,0
5,0.197,THUMB,0,,,,,,,,0
6,0.232,THUMB,0,,,,,,,,0
7,0.269,THUMB,0,,,,,,,,0
8,0.3,THUMB,0,,,,,,,,0
9,0.33,THUMB,0,,,,,,,,0
10,0.364,THUMB,0,,,,,,,,0
11,0.401,THUMB,0,,,,,,,,0
12,0.433,THUMB,0,,,,,,,,0
13,0.464,THUMB,0,,,,,,,,0
14,0.498,THUMB,0,,,,,,,,0
15,0.533,THUMB,0,,,,,,,,0
16,0.569,THUMB,0,,,,,,,,0
17,0.6,THUMB,0,,,,,,,,0
18,0.642,THUMB,0,,,,,,,,0
19,0.676,THUMB,0,,,,,,,,0
20,0.711,THUMB,0,,,,,,,,0
21,0.747,THUMB,0,,,,,,,,0
22,0.768,THUMB,0,,,,,,,,0
23,0.8,THUMB,0,,,,,,,,0
24,0.831,THUMB,0,,,,,,,,0
25,0.864,THUMB,0,,,,,,,,0
26,0.899,THUMB,0,,,,,,,,0
27,0.95,THUMB,1,369.1,72.2,343.1,211.5,165.8,267.9,-0.9219,0
28,0.962,THUMB,1,385.6,74.2,351.1,209.5,264.5,273.8,-0.9355,0
29,0.995,THUMB,1,435.9,77.4,384.4,205.1,290.4,272.1,-0.9244,0
30,1.029,THUMB,1,478.2,84.5,415.1,204,317.4,270.4,-0.893,0
31,1.065,THUMB,1,507.4,90.7,438.7,203.4,334.3,261.2,-0.8462,0
32,1.099,THUMB,1,530.7,95.9,457.7,204,353.9,252.2,-0.7907,0
33,1.134,THUMB,1,551.2,103.3,473.9,204.4,367.8,253.8,-0.783,0
34,1.172,THUMB,1,566.7,114.5,487.2,206.1,383.7,258.2,-0.7573,0
35,1.202,THUMB,1,581.1,126.5,497.1,209.4,392.4,257.4,-0.6657,0
36,1.229,THUMB,1,593.6,144.3,506.5,215.5,405.8,258.7,-0.5761,0
37,1.263,THUMB,1,605,162.5,514.2,224.1,411.6,261.3,-0.4942,0
38,1.297,THUMB,1,610,176.4,519.3,231,417.1,263.6,-0.5003,0
39,1.331,THUMB,1,612.1,188.7,518.4,237.1,414.5,262.9,-0.4521,0
40,1.367,THUMB,1,611.6,200,519.2,245.3,418.3,271.8,-0.4366,0
41,1.403,THUMB,1,610.8,212,518.8,254.5,417.7,277.6,-0.41,0
42,1.434,THUMB,1,609.4,221.7,517.4,261.4,410.7,279,-0.377,0
43,1.462,THUMB,1,606.5,231.8,516.2,267.5,410.8,283.8,-0.3413,0
44,1.496,THUMB,1,603,243,514.8,276,407.8,290.4,-0.2998,0
45,1.53,THUMB,1,601,258.3,513.1,286.2,404.7,299.8,-0.2602,0
46,1.564,THUMB,1,599,273.4,511.1,297.5,399.4,312.6,-0.2191,0
47,1.601,THUMB,1,596.5,290.3,508.5,310,395.9,323.8,-0.184,0
48,1.638,THUMB,1,593.8,305.6,505.8,321.2,394.7,335,-0.1532,0
49,1.668,THUMB,1,592.4,320.9,503.8,329.1,388.7,337.5,-0.08,0
50,1.696,THUMB,1,590.9,335.4,501.9,336.3,387.9,346.7,-0.0092,0
51,1.73,THUMB,1,589.2,345.9,500.5,345.8,384.4,352.2,0.0009,0
52,1.764,THUMB,1,588.2,347.3,501.2,347.8,388.2,350.1,-0.0045,0
53,1.798,THUMB,1,587.8,343.5,501.3,346.4,383.6,343.7,-0.0261,0
54,1.834,THUMB,1,587.9,339.4,501.6,342.4,386.7,338.1,-0.028,0
55,1.87,THUMB,1,587.1,330.7,501.3,337.2,389.7,329.7,-0.0587,0
56,1.902,THUMB,1,586.8,321.8,501.9,333.4,399.7,319.8,-0.1034,0
57,1.929,THUMB,1,586.4,303.4,502.8,322.9,407.3,306.7,-0.1737,0
58,1.963,THUMB,1,585.6,272.8,505.3,303.6,409.3,291.4,-0.2648,0
59,1.997,THUMB,1,586.4,244,507.2,282.6,410.5,281,-0.3735,0
60,2.032,THUMB,1,586.2,218.5,508.2,263.9,410.5,271.4,-0.4444,0
61,2.067,THUMB,1,584.3,194.9,508.9,247.1,412.2,256.8,-0.5116,0
62,2.105,THUMB,1,583,174.8,510.1,230.7,412.9,246.9,-0.5341,0
63,2.136,THUMB,1,581.8,161.7,510.4,219.6,413.5,239.7,-0.5054,0
64,2.163,THUMB,1,579.8,147.5,509.8,211.3,411.1,241.1,-0.5817,0
65,2.197,THUMB,1,576.7,138,509.4,204.4,412,237.4,-0.6186,0
66,2.231,THUMB,1,574,132.2,508.6,201,411.9,231.8,-0.6158,0
67,2.265,THUMB,1,571.5,130.9,508.1,199.5,411.8,232.6,-0.6461,0
68,2.301,THUMB,1,570.8,133.4,507.9,200.2,412,232.5,-0.6114,0
69,2.339,THUMB,1,572.8,140.9,508.3,204.5,412.6,235.5,-0.5818,0
70,2.369,THUMB,1,574.3,149.1,508.5,210.1,417.7,248.4,-0.6196,0
71,2.396,THUMB,1,576,163.2,508.9,216.6,415.9,254.7,-0.5493,0
72,2.43,THUMB,1,580.4,189.5,509,231.2,411.8,264.6,-0.425,0
73,2.464,THUMB,1,583.4,212.6,509.3,246,413.4,272,-0.3203,0
74,2.499,THUMB,1,586.1,235.4,509.6,261.2,410.5,279.8,-0.236,0
75,2.534,THUMB,1,587.9,254.8,509.5,275.2,409,288.6,-0.1874,0
76,2.57,THUMB,1,588.9,270.2,509.2,286.5,404.5,300.2,-0.148,0
77,2.602,THUMB,1,588.4,280.2,507.7,294.5,397.1,304.6,-0.1244,0
78,2.63,THUMB,1,587,286.3,506.6,301.5,397.9,313.7,-0.1365,0
79,2.663,THUMB,1,585.7,291,505.9,306.4,397.5,318.1,-0.1367,0
80,2.698,THUMB,1,584.9,293.8,505.5,308.6,397.6,318.8,-0.1308,0
81,2.732,THUMB,1,583.7,292.4,505.5,309.1,400.6,314.8,-0.1461,0
82,2.768,THUMB,1,583.8,287.4,506.3,306.7,406.3,310.3,-0.1737,0
83,2.804,THUMB,1,585.3,281.1,508.9,301.9,411.2,299.9,-0.1818,0
84,2.836,THUMB,1,588.8,275.1,515,297.5,421.1,293.3,-0.1861,0
85,2.863,THUMB,1,596.4,262.5,523.2,289.9,433.1,287.4,-0.2462,0
86,2.897,THUMB,1,610.9,246.5,536.3,279.8,443.5,275.7,-0.3044,0
87,2.931,THUMB,1,630.4,232,551.2,268.2,453.6,267.9,-0.3322,0
88,2.965,THUMB,1,649.7,220,566.7,259,465,268.6,-0.3804,0
89,3.001,THUMB,1,669.2,211.1,581.9,250.6,476.7,266.1,-0.3998,0
90,3.038,THUMB,1,685.1,200.1,597.5,241.6,488.3,264.5,-0.4171,0
91,3.069,THUMB,1,700.6,191.2,612.6,234.6,499.6,259.7,-0.4296,0
92,3.096,THUMB,1,715.5,183,624.2,228.2,507.6,258.6,-0.4531,0
93,3.13,THUMB,1,729.2,176.7,635.7,222.5,511.1,255.9,-0.4505,0
94,3.165,THUMB,1,742.1,172.2,646.4,218.9,521.4,255.4,-0.4593,0
95,3.198,THUMB,1,753.8,170.3,655.3,217.7,527.1,256.1,-0.4642,0
96,3.234,THUMB,1,762.1,170.4,662.7,217.4,535.2,257.1,-0.4623,0
97,3.272,THUMB,1,769.5,172.6,668.3,218.2,538.5,260.5,-0.4587,0
98,3.303,THUMB,1,775.4,176.7,672.8,220.4,542.5,261.4,-0.4367,0
99,3.33,THUMB,1,779.6,182.3,676.2,223.6,545.1,270.6,-0.4187,0
100,3.363,THUMB,1,782.7,197.9,677.9,231.2,543.7,278,-0.3325,0
101,3.398,THUMB,1,785.3,217.5,679.3,243,543.6,288.7,-0.2557,0
102,3.432,THUMB,1,786,236.7,678.6,254.4,539.3,297.7,-0.1791,0
103,3.467,THUMB,1,784.8,250.3,676.6,265.4,536.5,306.4,-0.1536,0
104,3.504,THUMB,1,783,258.9,674.5,273.7,533.5,311.3,-0.1537,0
105,3.535,THUMB,1,781.4,264,672.8,279,529.4,313.8,-0.1534,0
106,3.563,THUMB,1,779.7,265.9,671,282.7,520.5,317.6,-0.1663,0
107,3.596,THUMB,1,777.2,263.2,669.5,284.3,523.8,316.4,-0.2146,0
108,3.631,THUMB,1,774.2,260.9,667.3,283.1,524.2,314.9,-0.2248,0
109,3.666,THUMB,1,770.6,257.4,663.8,281.2,520.4,312.7,-0.2408,0
110,3.701,THUMB,1,764.4,255,658.6,279.1,517.4,307.9,-0.2487,0
111,3.738,THUMB,1,756.7,251.4,652.8,276.6,512.2,300,-0.2563,0
112,3.769,THUMB,1,748,244.8,647.6,274.2,509.8,297.4,-0.3006,0
113,3.797,THUMB,1,739.1,232.7,642.4,268.9,509.4,293.1,-0.3703,0
114,3.83,THUMB,1,729.2,218.1,636,260.3,502.5,289.2,-0.4333,0
115,3.865,THUMB,1,717.4,200.8,629.1,251.5,497.8,290.6,-0.5093,0
116,3.899,THUMB,1,706.8,184.1,621.5,241.1,490.6,287.2,-0.5698,0
117,3.934,THUMB,1,696,169,614.3,233.5,486.1,283.1,-0.6481,0
118,3.97,THUMB,1,684.3,156.7,609.4,227.2,482.2,278.6,-0.6905,0
119,4.002,THUMB,1,679,151.1,604.6,221.6,483.2,277.5,-0.6985,0
120,4.03,THUMB,1,673.9,149.4,601.6,219.9,488.7,280.7,-0.7006,0
121,4.064,THUMB,1,670.5,152.8,599,220.3,483.8,276.7,-0.6726,0
122,4.099,THUMB,1,666.9,158.9,595.9,222.7,478.8,280.4,-0.6441,0
123,4.132,THUMB,1,662.4,164.6,591.1,226,473,281.3,-0.6572,0
124,4.168,THUMB,1,658.4,171,582.5,230,460.6,282.7,-0.6616,0
125,4.205,THUMB,1,656.2,182.1,576.1,235.7,456.9,280.1,-0.605,0
126,4.236,THUMB,1,656,195.2,570.9,241.7,450.1,285.6,-0.5229,0
127,4.264,THUMB,1,654.5,209.9,566.3,248.8,447.4,288.9,-0.4401,0
128,4.297,THUMB,1,652.6,227.3,558.5,254.8,436.3,283.4,-0.3071,0
129,4.331,THUMB,1,649.3,246.7,550.4,259.3,425.4,285.2,-0.1397,0
130,4.366,THUMB,1,644.3,260.5,543.7,261.1,418.1,280.6,-0.0061,0
131,4.402,THUMB,1,638,262.7,538.6,258.7,412.6,279.3,0.0438,0
132,4.438,THUMB,1,633.1,260.3,533.5,254,405.8,277.9,0.0667,0
133,4.469,THUMB,1,626.6,253.2,530,245.9,410.9,272,0.0763,0
134,4.497,THUMB,1,621.8,246.8,528.2,232.3,411.4,259.4,0.1487,0
135,4.531,THUMB,1,615.2,236.8,525,218,405.5,245.3,0.1938,0
136,4.565,THUMB,1,612.2,220.9,523.7,208.6,410.4,240.8,0.1277,0
137,4.599,THUMB,1,610.2,207.4,522,198.6,406.2,233.1,0.0898,0
138,4.635,THUMB,1,607,191,520.7,191.2,405.5,230.3,-0.002,0
139,4.672,THUMB,1,605.8,180.8,518.8,186.7,400.3,222.7,-0.0588,0
140,4.702,THUMB,1,604.4,174.1,517.9,183.6,401.8,220.5,-0.0967,0
141,4.73,THUMB,1,603.4,171.5,517.3,181.2,400.4,218.7,-0.0966,0
142,4.764,THUMB,1,601.5,170.5,516.6,181,403.7,220.3,-0.1055,0
143,4.799,THUMB,1,598.4,173.5,514,183.6,402.7,226,-0.1025,0
144,4.832,THUMB,1,593,177.9,511.2,186.7,400.6,229.2,-0.0903,0
145,4.868,THUMB,1,586.7,183.6,507.7,190.5,392.5,233.8,-0.0713,0
146,4.905,THUMB,1,582.1,197.1,503.4,198.3,385.5,248.6,-0.0126,0
147,4.936,THUMB,1,577.2,216.3,500.5,203.9,382.1,251.5,0.1252,0
148,4.964,THUMB,1,574.3,242.8,499,211.1,378,258.6,0.3206,0
149,4.998,THUMB,1,573,265,497.7,220.4,377.1,264,0.4368,0
150,5.032,THUMB,1,572.4,279.5,496.4,231.3,376.7,270.3,0.484,0
151,5.066,THUMB,1,571.1,290.1,496.4,240.1,372.3,277.5,0.483,0
152,5.102,THUMB,1,568.5,293.9,497.8,245.9,373.4,283.5,0.4563,0
153,5.138,THUMB,1,566.7,292.6,497.9,248.1,376.4,284.3,0.4334,0
154,5.17,THUMB,1,566.8,289,496.6,249.8,378.3,280.3,0.3888,0
155,5.198,THUMB,1,568.1,284.1,496.3,249.3,377.4,274.5,0.3455,0
156,5.232,THUMB,1,570.8,277.5,494.5,255.1,381.7,273.3,0.2178,0
157,5.265,THUMB,1,573.1,269.1,494.1,257.9,391.6,270.6,0.1049,0
158,5.3,THUMB,1,576.3,257.3,493.7,258.4,390.2,264.5,-0.011,0
159,5.337,THUMB,1,580.2,246.8,495.2,256,400.2,264.7,-0.0976,0
160,5.372,THUMB,1,582.2,234.8,495.9,253.4,393.8,263.6,-0.1952,0
161,5.403,THUMB,1,585.6,227.8,497.2,251.9,396.6,265.9,-0.2532,0
162,5.431,THUMB,1,588.7,224.1,498.6,251,396.6,266.6,-0.2813,0
163,5.464,THUMB,1,591.6,220.9,501,250.4,401.7,268.1,-0.3081,0
164,5.499,THUMB,1,593.8,220.2,503.1,250.9,402.5,271.3,-0.3163,0
165,5.533,THUMB,1,595.9,218.9,506.3,251.6,405.6,276.5,-0.34,0
166,5.569,THUMB,1,598.2,219.5,509.4,253.3,406.1,277.8,-0.349,0
167,5.605,THUMB,1,600.1,221.7,511.3,256,405.9,282.7,-0.3547,0
168,5.637,THUMB,1,601.9,224.8,512,260.6,405.8,292.1,-0.3662,0
169,5.664,THUMB,1,602.7,229.3,512.8,266.7,407,297.8,-0.3872,0
170,5.698,THUMB,1,602.7,239.4,512.9,276.4,404.4,305.4,-0.3748,0
171,5.732,THUMB,1,603,252,512.8,287.4,405.1,315.8,-0.3849,0
172,5.766,THUMB,1,601.5,264.5,511.6,296.7,401.4,321.3,-0.3534,0
173,5.802,THUMB,1,599.9,275.4,509.9,304.7,397.2,329,-0.3302,0
174,5.839,THUMB,1,598.7,288.8,508.2,312.9,390.8,338.1,-0.2644,0
175,5.87,THUMB,1,597.2,298.5,504.4,315.8,382,337.8,-0.1845,0
176,5.898,THUMB,1,594.9,306.7,500.5,318.8,377.5,331.4,-0.1235,0
177,5.931,THUMB,1,592.4,309.4,497.8,317.3,380.3,322.1,-0.0837,0
178,5.966,THUMB,1,588.5,307.5,494.6,314.4,377.3,324.6,-0.0723,0
179,6,THUMB,1,584.7,301.7,491.5,309.5,378.4,314.9,-0.0864,0
180,6.036,THUMB,1,581.3,294.4,490.8,303.4,384.2,312.8,-0.0937,0
181,6.072,THUMB,1,581.2,277.9,490.4,294.5,380.9,302.5,-0.1624,0
182,6.104,THUMB,1,581.6,259,489.9,284.7,379.7,293.4,-0.2547,0
183,6.131,THUMB,1,579.7,241.1,490.2,274,387.7,285.7,-0.3343,0
184,6.165,THUMB,1,579.2,220,491.2,262.1,389.4,276.1,-0.414,0
185,6.199,THUMB,1,578.5,204.4,492.5,252.2,391.9,271.1,-0.472,0
186,6.234,THUMB,1,578.8,192.2,493.6,243.7,393.9,265.6,-0.5043,0
187,6.269,THUMB,1,579.3,184.1,494.5,237.4,396.8,258.7,-0.5217,0
188,6.307,THUMB,1,579.9,179.1,495.6,232.4,398.4,258.4,-0.5347,0
189,6.338,THUMB,1,580.6,178.9,496.6,231.1,399.4,258.3,-0.5157,0
190,6.365,THUMB,1,581.1,182.5,497,232.3,398,261.1,-0.5099,0
191,6.398,THUMB,1,582,188.6,497.4,236.8,396.9,267.5,-0.4961,0
192,6.433,THUMB,1,582.7,195,498.1,241.9,400.1,278.7,-0.4946,0
193,6.468,THUMB,1,583.4,208.9,497.3,251.9,394.1,288.2,-0.4472,0
194,6.502,THUMB,1,582.1,228.6,495.1,265.4,388.9,297.9,-0.3772,0
195,6.539,THUMB,1,580.7,248.2,492.3,278.8,385.1,306.3,-0.3083,0
196,6.571,THUMB,1,579.1,263,489.9,290.2,385,311.8,-0.2714,0
197,6.597,THUMB,1,577.1,272.3,487.8,295.3,381.9,313.4,-0.2345,0
198,6.632,THUMB,1,574.6,277.4,485.5,300.6,380.1,315.8,-0.2335,0
199,6.666,THUMB,1,571.3,276.2,483.6,301.6,377.7,309.4,-0.2567,0
200,6.701,THUMB,1,569,272.9,480.9,298.6,374.9,299.1,-0.2561,0
201,6.734,THUMB,1,566,267.5,477.5,294.4,376.3,291.6,-0.2579,0
202,6.77,THUMB,1,559.5,262.1,476.4,291.1,380.7,285.7,-0.273,0
203,6.807,THUMB,1,557.3,252,475.5,283.1,381.5,277.7,-0.2973,0
204,6.837,THUMB,1,556,240.2,475.8,272.9,383.8,266.9,-0.3164,0
205,6.865,THUMB,1,555,227.2,476.9,262.2,382.2,258.1,-0.3277,0
206,6.899,THUMB,1,555.3,212.4,478.5,250.2,386.6,255.1,-0.358,0
207,6.933,THUMB,1,556.7,201.8,480.4,240.7,388.8,251.8,-0.3701,0
208,6.967,THUMB,1,558.3,193.1,482.6,232.7,393.3,250.3,-0.402,0
209,7.003,THUMB,1,560,187,485,226.1,393.8,244.7,-0.3995,0
210,7.039,THUMB,1,561.9,182.8,487.6,221.3,398.7,243.9,-0.3918,0
211,7.071,THUMB,1,563.3,178.6,490.2,218.6,402.3,242.2,-0.4073,0
212,7.099,THUMB,1,564.3,178.8,491.3,217.9,403.5,241.3,-0.4026,0
213,7.132,THUMB,1,564.1,182.8,491.6,219.6,400.5,244,-0.3893,0
214,7.166,THUMB,1,563.3,188.2,491.3,223.3,398.6,247.9,-0.3717,0
215,7.201,THUMB,1,562.7,196.9,490.5,227.6,396.1,252.4,-0.3126,0
216,7.237,THUMB,1,561.8,211.3,489.1,233.9,394.5,257.6,-0.2368,0
217,7.273,THUMB,1,559.1,227.7,487.4,244.9,386.3,266.3,-0.1792,0
218,7.304,THUMB,1,557.4,244.3,485.3,254,383.9,277.5,-0.1051,0
219,7.332,THUMB,1,554.5,259.6,482.3,262,379.6,287.1,-0.0266,0
220,7.365,THUMB,1,551.2,276.2,479.3,267.4,376.5,290.9,0.0971,0
221,7.4,THUMB,1,547.3,290.7,476.2,272.8,370.4,295.1,0.1886,0
222,7.434,THUMB,1,544,298.4,473.2,276.4,368.1,296.8,0.2425,0
223,7.47,THUMB,1,538.8,302.2,469.2,278.5,364.6,295.7,0.2591,0
224,7.506,THUMB,1,536.6,304.5,466.1,278.5,363.5,295.2,0.2949,0
225,7.538,THUMB,1,534.1,302.2,463.9,277,361.5,290,0.2745,0
226,7.565,THUMB,1,531.7,296.7,462.9,275.1,365.1,286.9,0.2384,0
227,7.599,THUMB,1,529.2,290.4,460.7,272.4,363.8,278.8,0.1985,0
228,7.634,THUMB,1,527.6,279,458.4,269.3,363.1,271.3,0.1025,0
229,7.668,THUMB,1,525.6,259.6,455.6,263.3,361.3,260.4,-0.038,0
230,7.704,THUMB,1,524.1,237,455.9,253.6,368.1,251.1,-0.1619,0
231,7.741,THUMB,1,524.6,216.4,457.1,240.3,373.5,246,-0.2361,0
232,7.771,THUMB,1,524.8,197.3,459,228.2,376,239,-0.2995,0
233,7.799,THUMB,1,525.9,182.5,460.2,217.2,378.3,227.4,-0.3478,0
234,7.832,THUMB,1,527.4,168.9,462.6,206.4,382.5,222.9,-0.3683,0
235,7.867,THUMB,1,527.7,156.1,465.4,197.5,387.3,217.2,-0.4039,0
236,7.901,THUMB,1,528.3,150.1,468.3,192.1,391.9,217.9,-0.4277,0
237,7.937,THUMB,1,528.8,147,471.5,189.5,390.7,214.5,-0.4275,0
238,7.973,THUMB,1,530.3,148.1,474,190.1,393.2,216.6,-0.4471,0
239,8.005,THUMB,1,532.1,154,475.1,193,389.5,222.7,-0.4185,0
240,8.032,THUMB,1,533.7,160.1,475.2,197,386.5,230.8,-0.3933,0
241,8.066,THUMB,1,533.8,169.4,473.9,202.4,383.3,240.7,-0.379,0
242,8.101,THUMB,1,532.7,190,471.7,215,377.2,250.3,-0.2672,0
243,8.134,THUMB,1,531.4,215.7,468.7,230.9,373.4,262.6,-0.1678,0
244,8.17,THUMB,1,530,239.6,467.4,246.1,373.1,275.8,-0.07,0
245,8.208,THUMB,1,529.1,258.9,464.5,255.1,367.4,284.2,0.0419,0
246,8.238,THUMB,1,528.6,273.1,463.1,259.9,364.4,292.2,0.1405,0
247,8.266,THUMB,1,527.8,282.5,459.7,262.9,354.7,292.1,0.2093,0
248,8.299,THUMB,1,525.9,291.1,456.7,264.6,353.5,290.8,0.2879,0
249,8.334,THUMB,1,522.6,296.7,453.6,265.3,349.5,289.4,0.3346,0
250,8.367,THUMB,1,519,297.5,450.3,265.8,345.9,287.9,0.3483,0
251,8.404,THUMB,1,516.6,294.1,448.4,264.2,348.5,285.6,0.3154,0
252,8.44,THUMB,1,513.2,289.2,445.3,260.9,346.5,280.3,0.295,0
253,8.471,THUMB,1,510.8,283.8,442,259,343.2,270.2,0.2567,0
254,8.499,THUMB,1,506.6,275.4,439.3,257.2,344.1,267.9,0.1892,0
255,8.533,THUMB,1,501.6,259.4,435,253.7,343.4,261.6,0.061,0
256,8.567,THUMB,1,495.6,244.8,428.2,249.1,337.2,250.8,-0.0474,0
257,8.602,THUMB,1,488,230.5,424.8,242.4,335.5,240.2,-0.1194,0
258,8.638,THUMB,1,482.1,217.4,421.5,234.5,334.3,234.1,-0.1674,0
259,8.673,THUMB,1,477.8,205.3,419.1,227.4,338.3,231.3,-0.2206,0
260,8.705,THUMB,1,472.4,195.3,414.6,220.8,333.4,224.2,-0.2671,0
261,8.732,THUMB,1,468.3,187.6,412.9,215.6,334.4,220.3,-0.2851,0
262,8.765,THUMB,1,464.9,181.1,411.8,211.1,336.3,219,-0.3094,0
263,8.8,THUMB,1,462.4,177.2,410.4,209.2,334.4,219.7,-0.3385,0
264,8.835,THUMB,1,461,176.7,410,208.6,330.9,219.9,-0.3282,0
265,8.87,THUMB,1,459.6,179.6,408.3,211,326.2,225.2,-0.3288,0
266,8.906,THUMB,1,458.4,185.1,406,214.2,322.4,225.3,-0.3093,0
267,8.939,THUMB,1,457,190.2,405,218,319,238,-0.2852,0
268,8.966,THUMB,1,457.5,202.4,403.3,221.6,315.4,251.3,-0.2052,0
269,8.999,THUMB,1,457,218.8,399.5,224.9,298.5,254.2,-0.0669,0
270,9.043,THUMB,1,455.7,243.6,397.3,226.3,293.8,264.1,0.1823,0
271,9.077,THUMB,1,457.7,268.4,394.3,230.3,292.8,272.3,0.4343,0
272,9.109,THUMB,1,457.9,281.3,391.9,235.8,290.5,275.1,0.5343,0
273,9.143,THUMB,1,458.4,295.5,391.6,240.3,286.9,274.5,0.6549,0
274,9.177,THUMB,1,457.6,298.3,390.6,245.3,288.8,285.2,0.604,0
275,9.21,THUMB,1,456.1,298,389.8,244.9,289.6,281,0.6051,0
276,9.242,THUMB,1,453.2,296.7,389.3,244.6,289.1,276.1,0.5818,0
277,9.276,THUMB,1,450.6,290.6,387.6,242.6,284.2,271.4,0.5259,0
278,9.31,THUMB,1,445.9,284.7,385.5,239.5,284.1,262.8,0.4925,0
279,9.343,THUMB,1,444,279.8,385,233.5,286.1,245.1,0.5015,0
280,9.377,THUMB,1,441.9,265.9,385.7,223.2,289.7,239.9,0.4458,0
281,9.411,THUMB,1,442.7,245.7,387.1,215.9,295.2,230.8,0.3183,0
282,9.443,THUMB,1,442.9,227.1,389,210.8,301.6,219.5,0.1679,0
283,9.477,THUMB,1,443.1,209,390.1,205,303.6,208.7,0.043,0
284,9.51,THUMB,1,443,193.9,391.4,202.2,307.6,205.2,-0.0859,0
285,9.543,THUMB,1,443.6,183.9,391.6,196.9,309.4,196.8,-0.1387,0
286,9.577,THUMB,1,443.8,173.2,393,190.9,318,193.5,-0.1985,0
287,9.61,THUMB,1,443,163.3,394,186.1,317.8,191.4,-0.2486,0
288,9.642,THUMB,1,442.8,155.5,395.7,181.1,320,188.8,-0.2746,0
289,9.677,THUMB,1,443.3,151.5,397.3,177.9,322.8,188.3,-0.2848,0
290,9.711,THUMB,1,443.8,150,398.1,178,324.6,189.1,-0.3177,0
291,9.743,THUMB,1,444.7,153.5,398.1,181.6,318.9,194.5,-0.325,0
292,9.777,THUMB,1,446.5,160,398.9,184.9,320.2,200.9,-0.2892,0
293,9.81,THUMB,1,447.9,166.6,399.6,189.5,316,210.5,-0.2521,0
294,9.843,THUMB,1,449,183.9,399,195.4,310,218.9,-0.1279,0
295,9.877,THUMB,1,450.1,213,396.6,202.1,294.7,228.8,0.1235,0
296,9.911,THUMB,1,448.4,237.2,394.6,208.2,290.9,237.8,0.32,0
297,9.943,THUMB,1,447.4,261.6,392.3,214.1,293.2,246.6,0.5493,0
298,9.979,THUMB,1,448,286.8,391.2,222.9,290.8,246.3,0.7663,0
299,10.01,THUMB,1,448.3,303.6,391.7,232.4,293.2,248,0.8796,0
300,10.044,THUMB,1,450.2,307.8,391.7,239.6,293.5,256.7,0.831,0
301,10.077,THUMB,1,449.8,300.7,392,242.2,292.8,257.9,0.7154,0
302,10.11,THUMB,1,449,295.8,391.1,242.9,292.2,248.5,0.6661,0
303,10.144,THUMB,1,449.1,287.1,390.3,237.3,292.5,238.7,0.5824,0
304,10.176,THUMB,1,447.7,281.3,391.2,228.9,296.5,222.1,0.5729,0
305,10.21,THUMB,1,448.4,263.9,392.7,215.8,297.6,218.2,0.5217,0
306,10.244,THUMB,1,449.1,244.1,393.5,202,303.7,205.7,0.4707,0
307,10.276,THUMB,1,451.1,224.8,395.1,191.2,306.9,189.8,0.3519,0
308,10.311,THUMB,1,451,206.1,396.6,185.4,304.5,176.7,0.2203,0
309,10.344,THUMB,1,451.2,191.3,397.8,178.9,305.8,168.9,0.1335,0
310,10.377,THUMB,1,450.1,173.9,398.4,173.3,310.3,172.2,0.0068,0
311,10.411,THUMB,1,448.9,160.4,398.6,168.1,312.8,166.3,-0.0817,0
312,10.444,THUMB,1,448.1,154.6,398.4,162.9,315.9,155.1,-0.0875,0
313,10.476,THUMB,1,446.5,150.2,397.3,158.6,311.8,151.9,-0.0883,0
314,10.511,THUMB,1,446.3,145.3,397.2,154.4,314.9,155.1,-0.0969,0
315,10.544,THUMB,1,446.8,144.7,396.5,152.7,314.6,157.4,-0.0889,0
316,10.577,THUMB,1,447,147,395.4,155,309.5,159.3,-0.0889,0
317,10.61,THUMB,1,447.3,151.8,396.4,157.8,315.9,170,-0.0664,0
318,10.644,THUMB,1,448.5,157.7,396.7,160.7,309.5,170.9,-0.0347,0
319,10.677,THUMB,1,450.2,167.2,397.4,165,304,185.1,0.0234,0
