frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.02,THUMB,1,1284.1,368.4,1222.4,395.4,1149.6,443.7,-0.4805,0
1,0.043,THUMB,1,1282.5,367.7,1220.5,392.8,1148.7,443.1,-0.385,0
2,0.055,THUMB,1,1284.5,376,1222.6,400.6,1153.6,444.3,-0.4502,0
3,0.067,THUMB,1,1286.5,393.1,1226.1,413.8,1154.2,444.6,-0.3821,0
4,0.083,THUMB,1,1289.5,410.4,1231.7,425.3,1154.5,446.7,-0.2763,0
5,0.117,THUMB,1,1293.4,419.9,1240.1,433.7,1158.1,446.2,-0.2624,0
6,0.134,THUMB,1,1294.3,430.4,1243.6,441.7,1164.2,445.2,-0.2288,0
7,0.15,THUMB,1,1296.3,436.6,1243.9,448.5,1167.9,438.4,-0.2474,0
8,0.169,THUMB,1,1300.9,435.3,1246,449,1175.9,438.9,-0.3054,0
9,0.203,THUMB,1,1304,440.8,1246.6,450.5,1179.9,441.4,-0.2368,0
10,0.218,THUMB,1,1301.4,442.8,1243.3,449.9,1172.6,444,-0.1991,0
11,0.239,THUMB,1,1300.6,447.1,1241.6,450.5,1179.3,447.4,-0.0964,0
12,0.256,THUMB,0,,,,,,,,0
13,0.284,THUMB,0,,,,,,,,0
14,0.315,THUMB,0,,,,,,,,0
15,0.345,THUMB,0,,,,,,,,0
16,0.382,THUMB,0,,,,,,,,0
17,0.414,THUMB,0,,,,,,,,0
18,0.426,THUMB,0,,,,,,,,0
19,0.438,THUMB,0,,,,,,,,0
20,0.451,THUMB,0,,,,,,,,0
21,0.462,THUMB,0,,,,,,,,0
22,0.479,THUMB,0,,,,,,,,0
23,0.496,THUMB,0,,,,,,,,0
24,0.513,THUMB,0,,,,,,,,0
25,0.529,THUMB,0,,,,,,,,0
26,0.546,THUMB,0,,,,,,,,0
27,0.563,THUMB,0,,,,,,,,0
28,0.579,THUMB,0,,,,,,,,0
29,0.597,THUMB,0,,,,,,,,0
30,0.614,THUMB,0,,,,,,,,0
31,0.632,THUMB,0,,,,,,,,0
32,0.649,THUMB,0,,,,,,,,0
33,0.666,THUMB,0,,,,,,,,0
34,0.693,THUMB,1,418.5,265,398.3,297.1,307.5,331.1,-0.2309,0
35,0.707,THUMB,1,431.8,266.3,400.5,303.2,322.2,344.8,-0.2911,0
36,0.722,THUMB,1,465.4,268.8,413.9,309.5,352.8,356,-0.3393,0
37,0.74,THUMB,1,514.4,277.6,443.7,322.3,364.5,343.7,-0.3337,0
38,0.76,THUMB,1,559.1,288.5,477.8,330.3,390.6,369.5,-0.3562,0
39,0.78,THUMB,1,601.2,300,513.5,336.7,413.3,377,-0.3378,0
40,0.794,THUMB,1,632.7,311.1,534.9,344.3,421.3,382.6,-0.3022,0
41,0.803,THUMB,1,657.7,321.7,551.6,350,446.5,397.3,-0.2708,0
42,0.813,THUMB,1,683.8,334.7,568.7,354.6,448.4,397.2,-0.1971,0
43,0.83,THUMB,1,709.4,353.8,595.2,361.2,477.4,403.4,-0.0766,0
44,0.847,THUMB,1,726.4,370,613.1,369.3,486.9,403.2,0.0079,0
45,0.863,THUMB,1,742.9,378.6,625,380.1,495.3,418.4,-0.0152,0
46,0.88,THUMB,1,752.1,386.4,639.4,387.4,511.1,420.9,-0.0092,0
47,0.897,THUMB,1,761.2,395.8,653,390.7,532,422.1,0.0509,0
48,0.913,THUMB,1,765.7,399.7,658.1,395.1,531.4,417.1,0.0442,0
49,0.931,THUMB,1,769.9,405.5,662.8,400.5,540,429.3,0.0482,0
50,0.948,THUMB,1,771.3,409.2,663.8,404.6,538.1,426.6,0.0456,0
51,0.965,THUMB,1,766.8,408.5,661.4,405.8,535.4,439,0.027,0
52,0.982,THUMB,1,764.7,407.4,662.7,404.9,542.4,435.2,0.0251,0
53,0.999,THUMB,1,762.4,404.3,661.5,404.3,540.7,435.1,0.0008,0
54,1.016,THUMB,1,757.9,399.6,659.6,403.2,538,432.1,-0.0357,0
55,1.033,THUMB,1,759,396.4,659,401.1,542.5,432.6,-0.0487,0
56,1.051,THUMB,1,759.3,392.8,658.5,399,543.2,433.5,-0.0651,0
57,1.068,THUMB,1,759.5,390.6,658,398.6,542.3,434.5,-0.0842,0
58,1.085,THUMB,1,756.5,390.2,656.6,399.4,543.5,439.5,-0.0994,0
59,1.102,THUMB,1,753.6,393.1,654.6,401.5,537,433.7,-0.091,0
60,1.12,THUMB,1,749.5,403.4,652,404.3,531.1,433.9,-0.0101,0
61,1.139,THUMB,1,746.7,426.3,649.5,410.9,529.5,437.1,0.1648,0
62,1.158,THUMB,1,742.9,458.3,646.9,418.9,524.1,432.8,0.4382,0
63,1.179,THUMB,1,740.6,478.9,646.3,429.9,525.5,439.4,0.522,0
64,1.197,THUMB,1,736.7,487,646.6,433.2,519.9,437.6,0.5428,1
65,1.214,THUMB,1,735.4,490.9,648.5,435.3,525.5,431.8,0.5197,0
66,1.229,THUMB,1,731.6,494.6,649.3,436.6,529,435.8,0.5744,0
67,1.244,THUMB,1,729.9,494,648.7,437.1,526,430.9,0.5781,0
68,1.259,THUMB,1,729.3,488.5,647.9,437.5,524.9,439.5,0.5154,0
69,1.274,THUMB,1,730.2,481.4,647,435.7,525.6,437,0.4767,0
70,1.289,THUMB,1,731.3,473.4,646.1,433,526.1,441.8,0.4385,0
71,1.304,THUMB,1,732.4,468,645.1,430,521.8,436.4,0.4072,0
72,1.32,THUMB,1,733.1,458.7,643.7,428.4,528,440,0.3294,0
73,1.337,THUMB,1,733.1,446.4,641.6,426.7,523.8,432,0.2097,0
74,1.354,THUMB,1,732.8,436.1,639.7,425,523.4,434.7,0.1169,0
75,1.37,THUMB,1,732.2,428.9,637.7,423.3,518,430.1,0.0587,0
76,1.387,THUMB,1,731.8,423.2,635.1,422.2,516.4,436.8,0.0109,0
77,1.403,THUMB,1,730.9,420.8,632.8,420.7,517,434.3,0.0005,0
78,1.42,THUMB,1,728.8,417.6,630.5,419.5,516.8,435.1,-0.0201,0
79,1.436,THUMB,1,726.6,416.9,629,418.7,515.7,435.3,-0.0187,0
80,1.454,THUMB,1,724.1,420.3,624.7,417.4,504.7,431.1,0.0303,0
81,1.471,THUMB,1,721.5,427.6,620.4,419.3,497.7,432.6,0.0875,0
82,1.487,THUMB,1,717.7,441.5,616.4,422.3,493.8,437.9,0.2106,0
83,1.504,THUMB,1,713,460.1,613.8,427.9,488.8,444.7,0.3447,0
84,1.521,THUMB,1,707,471.5,614.5,430.7,487.6,444.5,0.4105,1
85,1.537,THUMB,1,704.3,480.7,615.4,433.6,491,440.7,0.4495,0
86,1.554,THUMB,1,703.8,487.2,615.4,435.9,482.3,436.2,0.4711,0
87,1.571,THUMB,1,703,486.2,613.3,437.3,480.7,442.9,0.4838,0
88,1.588,THUMB,1,702.6,484.6,610.3,439.2,477.4,436,0.4498,0
89,1.606,THUMB,1,704.7,479.1,607.6,436.8,483.3,427.7,0.4384,0
90,1.623,THUMB,1,706.1,472.7,605.4,434.8,478.6,435.9,0.3863,0
91,1.64,THUMB,1,705.9,463.9,603.8,432.8,482.3,436.5,0.3189,0
92,1.657,THUMB,1,704.8,448.2,602,430.9,486,440.3,0.1811,0
93,1.675,THUMB,1,703.3,429.1,600.1,427.3,487.6,437.9,0.0191,0
94,1.694,THUMB,1,701.3,413.1,598.4,423.3,488.1,438.5,-0.1034,0
95,1.712,THUMB,1,699.8,401.4,598.3,420.6,492.1,440.9,-0.196,0
96,1.729,THUMB,1,699,394.8,598.7,418.9,489,439.5,-0.2321,0
97,1.745,THUMB,1,698.5,392.8,598.6,418,490.5,443.7,-0.2485,0
98,1.763,THUMB,1,697.2,395.7,597.5,418.6,485.5,444,-0.2255,0
99,1.78,THUMB,1,695.7,402.9,595.6,419.8,478.8,442.3,-0.162,0
100,1.797,THUMB,1,694.8,413.1,592.6,422.4,468.2,439.1,-0.0903,0
101,1.815,THUMB,1,693.4,436.1,588.8,429.5,462.2,447.8,0.0665,1
102,1.832,THUMB,1,692.5,458.7,586.9,436.2,458.7,451.8,0.2352,0
103,1.85,THUMB,1,692.6,475.5,587.9,441.1,464.6,464.4,0.3447,0
104,1.867,THUMB,1,690.7,480.7,587.8,443.9,464.6,451.4,0.3597,0
105,1.881,THUMB,1,690.3,482.3,586.8,447.3,456.4,451.9,0.335,0
106,1.896,THUMB,1,690.1,480.7,585.9,446.7,463,450.9,0.3498,0
107,1.91,THUMB,1,689.4,475.1,584.5,446.4,462.9,441.8,0.2899,0
108,1.926,THUMB,1,687.8,468.3,583,443.4,466,442.6,0.2607,0
109,1.941,THUMB,1,685.3,463.2,581.6,441.2,465.5,439.6,0.2218,0
110,1.956,THUMB,1,682.2,454.1,579.6,439.2,466.3,442,0.1526,0
111,1.972,THUMB,1,677,438.9,577.8,437,465.9,440.9,0.0201,0
112,1.987,THUMB,1,672,426.5,576.4,434.5,462.1,436.9,-0.0794,0
113,2.005,THUMB,1,666.3,419.7,573.1,431,456.4,433,-0.1118,0
114,2.022,THUMB,1,661.3,419.7,568.9,428,448.6,430.3,-0.0829,0
115,2.038,THUMB,1,653.8,426.5,564.4,425.7,445.5,428.5,0.0078,0
116,2.055,THUMB,1,646.8,434.9,558,425.3,439.4,423.7,0.0943,0
117,2.072,THUMB,1,638.6,452.7,553.5,425.8,432.4,423.5,0.2663,0
118,2.089,THUMB,1,634.3,467.8,550.5,427.1,426.5,437.9,0.4119,0
119,2.105,THUMB,1,631.3,475.4,547.7,427.7,420.4,434.2,0.455,1
120,2.122,THUMB,1,629.8,480.5,545.5,427.3,415.1,429.2,0.4884,0
121,2.14,THUMB,1,628.4,483.4,542.8,427.4,412.9,433.6,0.5298,0
122,2.157,THUMB,1,629.7,481.2,539.5,428.8,411.3,432.7,0.5075,0
123,2.174,THUMB,1,630.9,478.1,537.4,429.8,419.3,435.7,0.4654,0
124,2.191,THUMB,1,629.4,471.9,535,429.9,422.9,437.4,0.4211,0
125,2.209,THUMB,1,624.8,464.3,532.7,428.7,424.2,433.7,0.364,0
126,2.229,THUMB,1,618.1,448.4,530.1,426.5,423.6,430.4,0.2199,0
127,2.246,THUMB,1,611.2,431.9,528.1,424.4,429.6,430.2,0.0754,0
128,2.264,THUMB,1,603.6,417.9,526.2,422.5,431.7,424.3,-0.0456,0
129,2.282,THUMB,1,595.5,411.3,522.7,419.5,424.8,420.5,-0.0785,0
130,2.3,THUMB,1,586.3,408.5,517.7,417.7,418.3,420.4,-0.0869,0
131,2.319,THUMB,1,574.9,409.7,511.5,417.3,411,420.2,-0.0716,0
132,2.335,THUMB,1,564.8,412.9,505.8,417.6,404.8,421.2,-0.0458,0
133,2.349,THUMB,1,553,418.1,503.6,418,410.2,421.2,0.0008,0
134,2.363,THUMB,1,544.9,423.2,501,418.7,411.3,422.5,0.041,0
